scope,net_pnl,sharpe,sortino,profit_factor,expectancy,max_drawdown,n_trades,hit_rate,avg_win,avg_loss,n_days_traded,pct_days_traded,avg_trades_per_day,mean_daily_pnl,median_daily_pnl,worst_day,pct_days_gt_plus_1r,pct_days_lt_minus_1r,longest_losing_streak_daily,longest_losing_streak_trade,cut_day_freq,hard_loss_cap_freq,profit_lock_freq,giveback_freq,daily_loss_limit_breach_freq,expected_profit_per_trading_day
overall,13864.33999999999,0.7849595502028903,0.7822603961485615,1.158146897800644,12.22604938271604,-2669.999999999989,1134,0.4691358024691358,190.8492857142857,-145.62704318936878,1134,0.6491127647395535,0.6491127647395535,7.9360847166571205,0.0,-461.74,0.12020606754436176,0.012020606754436176,8,11,0.2678878076702919,0.2678878076702919,0.0,0.0,0.0,12.22604938271604
is,6836.699999999993,0.57164597456065,0.5747029954859103,1.1126896002895739,8.599622641509425,-2138.559999999985,795,0.45534591194968554,186.47823204419888,-140.11182448036953,795,0.6505728314238952,0.6505728314238952,5.594680851063824,0.0,-372.24,0.11538461538461539,0.009819967266775777,8,11,0.2823240589198036,0.2823240589198036,0.0,0.0,0.0,8.599622641509425
oos,7027.639999999997,1.2374478873154824,1.2029995708717542,1.26029202498161,20.730501474926243,-2669.999999999989,339,0.5014749262536873,200.15705882352938,-159.75775147928996,339,0.6457142857142857,0.6457142857142857,13.385980952380946,0.0,-461.74,0.13142857142857142,0.017142857142857144,5,5,0.2342857142857143,0.2342857142857143,0.0,0.0,0.0,20.730501474926243
