name,family,mode,execution_profile,symbol,initial_capital_usd,notes,overall_n_trades,overall_net_pnl,overall_profit_factor,overall_sharpe_ratio,overall_sortino_ratio,overall_max_drawdown,overall_max_daily_drawdown,overall_worst_day,overall_worst_losing_days_streak,overall_worst_losing_trades_streak,overall_avg_trades_per_day,overall_max_trades_per_day,overall_expectancy_per_trade,overall_expectancy_per_day,overall_pct_green_days,overall_avg_gain_loss_ratio,overall_hit_rate,overall_avg_time_in_position_min,overall_days_to_target_pct,overall_daily_loss_limit_breach_freq,overall_trailing_drawdown_breach_freq,overall_empirical_prob_red_streak_ge_threshold,overall_profit_to_drawdown_ratio,is_n_trades,is_net_pnl,is_profit_factor,is_sharpe_ratio,is_sortino_ratio,is_max_drawdown,is_max_daily_drawdown,is_worst_day,is_worst_losing_days_streak,is_worst_losing_trades_streak,is_avg_trades_per_day,is_max_trades_per_day,is_expectancy_per_trade,is_expectancy_per_day,is_pct_green_days,is_avg_gain_loss_ratio,is_hit_rate,is_avg_time_in_position_min,is_days_to_target_pct,is_daily_loss_limit_breach_freq,is_trailing_drawdown_breach_freq,is_empirical_prob_red_streak_ge_threshold,is_profit_to_drawdown_ratio,oos_n_trades,oos_net_pnl,oos_profit_factor,oos_sharpe_ratio,oos_sortino_ratio,oos_max_drawdown,oos_max_daily_drawdown,oos_worst_day,oos_worst_losing_days_streak,oos_worst_losing_trades_streak,oos_avg_trades_per_day,oos_max_trades_per_day,oos_expectancy_per_trade,oos_expectancy_per_day,oos_pct_green_days,oos_avg_gain_loss_ratio,oos_hit_rate,oos_avg_time_in_position_min,oos_days_to_target_pct,oos_daily_loss_limit_breach_freq,oos_trailing_drawdown_breach_freq,oos_empirical_prob_red_streak_ge_threshold,oos_profit_to_drawdown_ratio,selection_score
vwap_pullback_continuation,prop_variant,discrete,repo_realistic,MNQ,50000.0,Trend continuation after a contained pullback inside a valid VWAP regime.,4690,96790.41071428581,1.8632436734236908,4.108514775266762,8.14756733357142,-1612.7821428571333,-2379.7928571428565,-453.4535714285739,13,18,2.6846021751574125,3,20.637614224794415,55.40378403794265,0.4745277618775043,4.058575675035821,0.31343283582089554,77.35181236673775,207.0,0.0,0.0,0.23922413793103448,60.01456002161347,3298,59503.0321428572,1.8633516619527632,4.164654815912166,8.440168688610218,-1324.3750000000036,-877.0,-383.4857142857145,13,18,2.6988543371522096,3,18.042156501775985,48.693152326397055,0.4607201309328969,4.193463690711516,0.30624620982413586,76.1579745300182,207.0,0.0,0.0,0.24242424242424243,44.92914177846685,1392,37287.37857142861,1.8630714017522232,4.203054526852658,7.98029907772264,-1612.7821428571333,-2379.7928571428565,-453.4535714285739,8,13,2.6514285714285712,3,26.786909893267683,71.0235782312926,0.5066666666666667,3.76259420049525,0.33045977011494254,80.18031609195403,37.0,0.0,0.0,0.23134328358208955,23.11991035898497,17.301273769295
vwap_reclaim,prop_variant,discrete,repo_realistic,MNQ,50000.0,"VWAP reclaim after compression, confirmed by positive or negative VWAP slope.",76,1746.3660714285725,2.354156425896055,0.6695385559254462,0.4047788580784407,-242.2767857142826,-312.5,-111.0,2,8,0.04350314825414997,2,22.97850093984964,0.9996371330444033,0.017744705208929592,3.4173238440426603,0.40789473684210525,48.9078947368421,,0.0,0.0,0.0,7.208144462870928,57,842.3125,2.1519788016069747,0.7737207692839309,0.3762784390522771,-170.0,-312.5,-111.0,2,8,0.046644844517184945,2,14.777412280701755,0.6892900981996727,0.01800327332242226,3.4236026389201872,0.38596491228070173,41.78947368421053,,0.0,0.0,0.0,4.954779411764706,19,904.0535714285725,2.618872509832768,0.7298105852320257,0.43844409267504514,-242.2767857142826,-265.0,-106.0,1,4,0.03619047619047619,1,47.58176691729329,1.7220068027210904,0.017142857142857144,2.909858344258631,0.47368421052631576,70.26315789473684,,0.0,0.0,0.0,3.7314906946748265,14.099544876380541
vwap_reclaim_with_prop_overlay,prop_variant,discrete,repo_realistic,MNQ,50000.0,"Reclaim variant with time filter, hard daily stop, trade cap, and position deleveraging after a losing streak.",2,-13.5,0.0,-0.4976642316533691,-0.016830292444376747,-9.5,-64.0,-9.5,1,2,0.0011448196908986834,1,-6.75,-0.007727532913566113,0.0,0.0,0.0,12.0,,0.0,0.0,0.0,-1.4210526315789473,2,-13.5,0.0,-0.5951671951296681,-0.024060982733491144,-9.5,-64.0,-9.5,1,2,0.0016366612111292963,1,-6.75,-0.01104746317512275,0.0,0.0,0.0,12.0,,0.0,0.0,0.0,-1.4210526315789473,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,inf,0.0,0.0,,0.0,0.0,0.0,inf,0.0
vwap_baseline_with_killswitch,prop_variant,target_position,repo_realistic,MNQ,50000.0,Paper signal with daily loss and trade-count controls.,6492,-2032.0,0.9848411378098727,-0.11082222281627654,-0.2035977783151198,-6117.0,-2121.5,-489.5,19,23,3.7160847166571265,7,-0.31300061614294516,-1.1631368059530625,0.27876359473382945,3.209972661814799,0.23398028342575478,19.13339494762785,,0.0,0.4253005151688609,0.5055555555555555,-0.33218898152689225,4521,-971.5,0.9884301162347561,-0.08043850515007632,-0.1517956416230992,-3719.0,-700.5,-381.0,19,23,3.699672667757774,7,-0.21488608714886087,-0.7950081833060556,0.27577741407528644,3.264557155625393,0.23158593231585933,18.959079849590797,,0.0,0.24877250409165302,0.5,-0.26122613605808015,1971,-1060.5,0.9788234589348829,-0.1712196625446486,-0.3012580836134933,-3544.0,-2121.5,-489.5,14,19,3.7542857142857144,7,-0.5380517503805176,-2.02,0.2857142857142857,3.0961513224359747,0.23947234906139014,19.533231861998985,,0.0,0.3961904761904762,0.5135135135135135,-0.29923814898419865,-21.37191858363957
vwap_time_filtered_baseline,prop_variant,target_position,repo_realistic,MNQ,50000.0,Paper signal with allowed entries and reversals only in the profitable time buckets.,18054,-14847.5,0.965614629096543,-0.40546186883101676,-0.41023569485047806,-23908.5,-3843.0,-1641.0,12,52,10.334287349742416,38,-0.8223939293231417,-8.498855180309102,0.47796222095020036,3.9545389153690627,0.19574609504818877,37.0091946383073,699.0,0.008586147681740127,0.7103606182026331,0.2336842105263158,-0.6210134471004036,12539,-2022.0,0.9923254873903811,-0.09305805494906032,-0.09544094846619329,-10557.5,-1727.5,-1456.0,7,52,10.261047463175123,38,-0.16125687853895845,-1.6546644844517184,0.4795417348608838,4.036878229205458,0.19674615200574208,37.27960762421246,699.0,0.004909983633387889,0.5859247135842881,0.23283582089552238,-0.19152261425526876,5515,-12825.5,0.9238062705143247,-0.9074928966143325,-0.9072172415799958,-14511.0,-3843.0,-1641.0,12,37,10.504761904761905,32,-2.325566636446056,-24.42952380952381,0.4742857142857143,3.841544913094713,0.19347234814143247,36.39437896645512,,0.017142857142857144,0.7695238095238095,0.2357142857142857,-0.8838467369581696,-28.120816598331686
