sensitivity_tag,variant_name,cost_multiplier,atr_buffer,slope_threshold,max_trades_per_day,time_windows,oos_n_trades,oos_net_pnl,oos_profit_factor,oos_sharpe_ratio,oos_sortino_ratio,oos_max_drawdown,oos_max_daily_drawdown,oos_worst_day,oos_worst_losing_days_streak,oos_worst_losing_trades_streak,oos_avg_trades_per_day,oos_max_trades_per_day,oos_expectancy_per_trade,oos_expectancy_per_day,oos_pct_green_days,oos_avg_gain_loss_ratio,oos_hit_rate,oos_avg_time_in_position_min,oos_days_to_target_pct,oos_daily_loss_limit_breach_freq,oos_trailing_drawdown_breach_freq,oos_empirical_prob_red_streak_ge_threshold,oos_profit_to_drawdown_ratio
cost_x_0p75,vwap_pullback_continuation,0.75,0.3,0.0,3,,1392,38157.37857142861,1.8952324724385081,4.304276346947832,8.237844023796608,-1600.9071428571333,-2377.9178571428565,-451.5785714285739,8,13,2.6514285714285712,3,27.411909893267683,72.68072108843545,0.5085714285714286,3.766062810038752,0.33477011494252873,80.18031609195403,37,0.0,0.0,0.22388059701492538,23.834848099515174
cost_x_1p0,vwap_pullback_continuation,1.0,0.3,0.0,3,,1392,37287.37857142861,1.8630714017522232,4.203054526852658,7.98029907772264,-1612.7821428571333,-2379.7928571428565,-453.4535714285739,8,13,2.6514285714285712,3,26.786909893267683,71.0235782312926,0.5066666666666667,3.76259420049525,0.33045977011494254,80.18031609195403,37,0.0,0.0,0.23134328358208955,23.11991035898497
cost_x_1p25,vwap_pullback_continuation,1.25,0.3,0.0,3,,1392,36417.37857142861,1.8317176602398924,4.101974154595074,7.726928408311267,-1624.6571428571333,-2381.6678571428565,-455.3285714285739,8,17,2.6514285714285712,3,26.161909893267683,69.36643537414975,0.5047619047619047,3.72329537473599,0.3297413793103448,80.18031609195403,38,0.0,0.0,0.22962962962962963,22.415423913617097
atr_buffer_0p15,vwap_pullback_continuation,1.0,0.15,0.0,3,,1385,34202.51250000005,1.8144815250403437,3.9488817504416267,7.6885109388665605,-1630.4517857142855,-2271.146428571432,-446.97678571428696,8,21,2.638095238095238,3,24.694954873646243,65.14764285714296,0.4838095238095238,3.955068024627109,0.3133574007220217,78.4115523465704,37,0.0,0.0,0.2462686567164179,20.977322236496708
atr_buffer_0p25,vwap_pullback_continuation,1.0,0.25,0.0,3,,1387,36730.89285714283,1.8634922207492015,4.1549015344284586,8.14644586991142,-1511.9017857142826,-2305.91071428571,-451.29464285714494,8,16,2.6419047619047618,3,26.482258729014298,69.96360544217683,0.49142857142857144,3.8424220126952564,0.32588320115356884,79.86733958183129,37,0.0,0.0,0.22962962962962963,24.294496642709962
atr_buffer_0p4,vwap_pullback_continuation,1.0,0.4,0.0,3,,1404,35589.18571428571,1.8199552573885045,4.042540675362286,7.552533002341171,-1727.7428571428536,-2414.557142857142,-453.38571428571595,8,19,2.6742857142857144,3,25.348422873422873,67.78892517006803,0.49333333333333335,3.5479548807194847,0.3383190883190883,78.53347578347578,37,0.0,0.0,0.2556390977443609,20.598658861272387
slope_threshold_0p0,vwap_pullback_continuation,1.0,0.3,0.0,3,,1392,37287.37857142861,1.8630714017522232,4.203054526852658,7.98029907772264,-1612.7821428571333,-2379.7928571428565,-453.4535714285739,8,13,2.6514285714285712,3,26.786909893267683,71.0235782312926,0.5066666666666667,3.76259420049525,0.33045977011494254,80.18031609195403,37,0.0,0.0,0.23134328358208955,23.11991035898497
slope_threshold_0p01,vwap_pullback_continuation,1.0,0.3,0.01,3,,1391,37293.37857142861,1.8633301789123864,4.203752234905088,7.981583206462733,-1612.7821428571333,-2379.7928571428565,-453.4535714285739,8,13,2.6495238095238096,3,26.810480640854504,71.03500680272117,0.5066666666666667,3.759066100066727,0.33069734004313445,80.23580158159598,37,0.0,0.0,0.23134328358208955,23.12363063827165
slope_threshold_0p02,vwap_pullback_continuation,1.0,0.3,0.02,3,,1391,37293.37857142861,1.8633301789123864,4.203752234905088,7.981583206462733,-1612.7821428571333,-2379.7928571428565,-453.4535714285739,8,13,2.6495238095238096,3,26.810480640854504,71.03500680272117,0.5066666666666667,3.759066100066727,0.33069734004313445,80.23580158159598,37,0.0,0.0,0.23134328358208955,23.12363063827165
max_trades_1,vwap_pullback_continuation,1.0,0.3,0.0,1,,525,18146.300000000003,2.0947531627623572,3.308731696279442,8.373787315273674,-1057.625,-2012.0,-270.557142857142,10,10,1.0,1,34.56438095238096,34.56438095238096,0.38095238095238093,3.3830263578612074,0.38095238095238093,89.0247619047619,98,0.0,0.0,0.375,17.157593665051415
