setup_id,signal_time,direction,entry_time,entry_price,stop_price,target_price,evaluation_end_time,mfe_ticks_1m,mae_ticks_1m,mfe_usd_1m,mae_usd_1m,first_touch,first_touch_time,first_touch_minutes_after_entry,baseline_exit_level_touched_before_hybrid_exit,hybrid_stop_touched_before_baseline_target,hybrid_target_touched_before_baseline_stop,min_low_before_target,max_high_before_stop,adverse_excursion_before_favorable_excursion,favorable_excursion_before_adverse_excursion,time_to_mfe_minutes,time_to_mae_minutes,stop_touch_time,target_touch_time,ambiguous_policy_applied
short|2019-05-17 09:30:00-0400,2019-05-17 09:30:00-04:00,short,2019-05-17 10:31:00-04:00,7567.5,7578.75,7529.4875,2019-05-17 12:31:00-04:00,81.0,209.0,40.5,104.5,stop,2019-05-17 10:44:00-04:00,13.0,True,False,False,7547.25,7579.0,True,False,104,37,2019-05-17 10:44:00-04:00,,
short|2019-06-04 09:30:00-0400,2019-06-04 09:30:00-04:00,short,2019-06-04 10:31:00-04:00,7089.75,7092.25,7040.7125,2019-06-04 12:31:00-04:00,80.0,212.0,40.0,106.0,stop,2019-06-04 11:00:00-04:00,29.0,False,False,False,7069.75,7092.25,False,True,15,79,2019-06-04 11:00:00-04:00,,
long|2019-06-25 09:30:00-0400,2019-06-25 09:30:00-04:00,long,2019-06-25 10:31:00-04:00,7716.5,7700.75,7747.5375,2019-06-25 12:31:00-04:00,0.0,145.0,0.0,72.5,stop,2019-06-25 10:38:00-04:00,7.0,True,False,False,7680.25,7716.5,False,True,0,26,2019-06-25 10:38:00-04:00,,
long|2019-07-01 09:30:00-0400,2019-07-01 09:30:00-04:00,long,2019-07-01 10:31:00-04:00,7809.25,7802.75,7838.4875,2019-07-01 12:31:00-04:00,23.0,98.0,11.5,49.0,stop,2019-07-01 10:34:00-04:00,3.0,True,False,False,7784.75,7809.25,False,True,16,115,2019-07-01 10:34:00-04:00,,
long|2019-07-05 09:30:00-0400,2019-07-05 09:30:00-04:00,long,2019-07-05 10:31:00-04:00,7804.25,7803.75,7826.3125,2019-07-05 12:31:00-04:00,150.0,29.0,75.0,14.5,stop,2019-07-05 10:31:00-04:00,0.0,False,True,False,7797.0,7807.5,True,False,115,15,2019-07-05 10:31:00-04:00,,
long|2019-07-08 09:30:00-0400,2019-07-08 09:30:00-04:00,long,2019-07-08 10:31:00-04:00,7791.0,7777.75,7816.95,2019-07-08 12:31:00-04:00,75.0,39.0,37.5,19.5,none,,,True,False,False,7781.25,7809.75,False,True,41,94,,,
short|2019-07-09 09:30:00-0400,2019-07-09 09:30:00-04:00,short,2019-07-09 10:31:00-04:00,7811.75,7815.5,7785.075,2019-07-09 12:31:00-04:00,3.0,108.0,1.5,54.0,stop,2019-07-09 10:33:00-04:00,2.0,True,False,False,7811.0,7819.75,False,True,0,110,2019-07-09 10:33:00-04:00,,
short|2019-07-18 09:30:00-0400,2019-07-18 09:30:00-04:00,short,2019-07-18 10:31:00-04:00,7898.5,7905.5,7876.9625,2019-07-18 12:31:00-04:00,213.0,6.0,106.5,3.0,target,2019-07-18 10:55:00-04:00,24.0,False,False,False,7875.25,7900.0,True,False,76,0,,2019-07-18 10:55:00-04:00,
short|2019-07-22 09:30:00-0400,2019-07-22 09:30:00-04:00,short,2019-07-22 10:31:00-04:00,7904.75,7919.5,7873.1375,2019-07-22 12:31:00-04:00,67.0,28.0,33.5,14.0,none,,,True,False,False,7888.0,7911.75,True,False,49,9,,,
long|2019-07-23 09:30:00-0400,2019-07-23 09:30:00-04:00,long,2019-07-23 10:31:00-04:00,7925.5,7913.5,7955.6375,2019-07-23 12:31:00-04:00,78.0,69.0,39.0,34.5,stop,2019-07-23 12:03:00-04:00,92.0,True,False,False,7908.25,7945.0,False,True,26,93,2019-07-23 12:03:00-04:00,,
long|2019-07-25 09:30:00-0400,2019-07-25 09:30:00-04:00,long,2019-07-25 10:31:00-04:00,7961.75,7944.25,7986.425,2019-07-25 12:31:00-04:00,96.0,47.0,48.0,23.5,none,,,False,False,False,7950.0,7985.75,False,True,27,98,,,
long|2019-08-01 13:30:00-0400,2019-08-01 13:30:00-04:00,long,2019-08-01 14:31:00-04:00,7807.5,7795.5,7857.25,2019-08-01 16:31:00-04:00,156.0,122.0,78.0,61.0,stop,2019-08-01 14:33:00-04:00,2.0,True,False,False,7777.0,7817.25,True,False,69,12,2019-08-01 14:33:00-04:00,,
