timeframe,bar_minutes,strategy_id,positive_oos_splits,total_splits,mean_oos_net_pnl,mean_oos_profit_factor,mean_oos_sharpe_ratio,worst_oos_split_net_pnl,best_oos_split_net_pnl,pass_fail_splits
1m,1,paper_vwap_baseline,0,4,-5460.125,0.5853485023322378,-0.9507297982085116,-12137.5,0.0,False
1m,1,baseline_futures_adapted,0,4,-22906.875,0.8936102175497538,-1.5212529643971267,-29804.0,-16787.5,False
1m,1,vwap_reclaim,1,4,-38.69642857142753,0.973630160688747,-0.02924798721919252,-117.94642857142753,151.05357142857247,False
5m,5,paper_vwap_baseline,0,4,-5094.625,0.9709240294354557,-0.32372411056544204,-9865.0,-815.0,False
5m,5,baseline_futures_adapted,0,4,-5094.625,0.9709240294354557,-0.32372411056544204,-9865.0,-815.0,False
5m,5,vwap_reclaim,0,4,-1553.3229166666752,0.8226033275587481,-0.5271567261076033,-1776.0416666666788,-1303.9166666666788,False
