simulation_mode,simulation_id,config_id,plan,challenge_strategy,challenge_source_variant_name,challenge_leverage_factor,funded_strategy,funded_source_variant_name,funded_leverage_factor,attempts,first_attempt_pass,eventual_pass,avg_attempt_pass_proxy,resets,challenge_days_to_pass,challenge_days_total,challenge_timeout_count,last_challenge_status,last_challenge_failure_reason,funded_status,funded_failure_reason,funded_days,payouts,at_least_one_payout,realized_payout_value_usd,funded_profit_usd,subscription_cost_usd,reset_cost_usd,activation_fee_usd,total_cost_usd,net_profit_usd,total_days,net_profit_per_day
block_bootstrap_business,0,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,27.0,27,0,pass,,breach,trailing_drawdown,42,6,True,6000.0,3903.0,44.1,0.0,149.0,193.1,5806.9,69,84.15797101449274
block_bootstrap_business,1,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,21.0,21,0,pass,,breach,trailing_drawdown,13,0,False,0.0,-2086.7999999999884,34.3,0.0,149.0,183.3,-183.3,34,-5.391176470588236
block_bootstrap_business,2,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,10.0,10,0,pass,,breach,trailing_drawdown,24,1,True,1000.0,-349.1999999999971,16.333333333333332,0.0,149.0,165.33333333333334,834.6666666666666,34,24.549019607843135
block_bootstrap_business,3,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,10.0,10,0,pass,,survived,,60,3,True,3000.0,2317.7999999999956,16.333333333333332,0.0,149.0,165.33333333333334,2834.6666666666665,70,40.49523809523809
block_bootstrap_business,4,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,3,False,True,0.3333333333333333,2,95.0,95,0,pass,,breach,trailing_drawdown,33,0,False,0.0,-1438.7999999999956,155.16666666666666,98.0,149.0,402.16666666666663,-402.16666666666663,128,-3.141927083333333
block_bootstrap_business,5,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,24.0,24,0,pass,,breach,trailing_drawdown,27,3,True,3000.0,1105.7999999999956,39.2,0.0,149.0,188.2,2811.8,51,55.13333333333334
block_bootstrap_business,6,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2,False,True,0.5,1,13.0,13,0,pass,,survived,,60,1,True,1000.0,394.8000000000102,21.233333333333334,49.0,149.0,219.23333333333335,780.7666666666667,73,10.695433789954338
block_bootstrap_business,7,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2,False,True,0.5,1,18.0,18,0,pass,,breach,trailing_drawdown,8,0,False,0.0,-2395.7999999999956,29.4,49.0,149.0,227.4,-227.4,26,-8.746153846153847
block_bootstrap_business,8,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,4,False,True,0.25,3,52.0,52,0,pass,,breach,trailing_drawdown,45,6,True,6000.0,3886.800000000003,84.93333333333334,147.0,149.0,380.93333333333334,5619.066666666667,97,57.92852233676976
block_bootstrap_business,9,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2,False,True,0.5,1,44.0,44,0,pass,,breach,trailing_drawdown,43,4,True,4000.0,2313.600000000006,71.86666666666666,49.0,149.0,269.8666666666667,3730.133333333333,87,42.875095785440614
block_bootstrap_business,0,standard__nominal__nominal,standard,nominal,nominal,1.0,nominal,nominal,1.0,2,False,True,0.5,1,48.0,48,0,pass,,breach,trailing_drawdown,11,0,False,0.0,-1840.0,78.4,49.0,149.0,276.4,-276.4,59,-4.684745762711864
block_bootstrap_business,1,standard__nominal__nominal,standard,nominal,nominal,1.0,nominal,nominal,1.0,3,False,True,0.3333333333333333,2,76.0,76,0,pass,,breach,trailing_drawdown,8,0,False,0.0,-2256.0,124.13333333333333,98.0,149.0,371.1333333333333,-371.1333333333333,84,-4.4182539682539685
block_bootstrap_business,2,standard__nominal__nominal,standard,nominal,nominal,1.0,nominal,nominal,1.0,1,True,True,1.0,0,16.0,16,0,pass,,breach,trailing_drawdown,54,12,True,12000.0,9814.5,26.133333333333333,0.0,149.0,175.13333333333333,11824.866666666667,70,168.92666666666668
block_bootstrap_business,3,standard__nominal__nominal,standard,nominal,nominal,1.0,nominal,nominal,1.0,3,False,True,0.3333333333333333,2,56.0,56,0,pass,,survived,,60,5,True,5000.0,5190.0,91.46666666666667,98.0,149.0,338.4666666666667,4661.533333333333,116,40.18563218390804
block_bootstrap_business,4,standard__nominal__nominal,standard,nominal,nominal,1.0,nominal,nominal,1.0,1,True,True,1.0,0,13.0,13,0,pass,,breach,trailing_drawdown,15,0,False,0.0,-1891.0,21.233333333333334,0.0,149.0,170.23333333333335,-170.23333333333335,28,-6.079761904761905
block_bootstrap_business,5,standard__nominal__nominal,standard,nominal,nominal,1.0,nominal,nominal,1.0,2,False,True,0.5,1,21.0,21,0,pass,,survived,,60,11,True,11000.0,11029.5,34.3,49.0,149.0,232.3,10767.7,81,132.93456790123457
block_bootstrap_business,6,standard__nominal__nominal,standard,nominal,nominal,1.0,nominal,nominal,1.0,2,False,True,0.5,1,46.0,46,0,pass,,breach,trailing_drawdown,26,3,True,3000.0,1793.5,75.13333333333333,49.0,149.0,273.1333333333333,2726.866666666667,72,37.87314814814815
block_bootstrap_business,7,standard__nominal__nominal,standard,nominal,nominal,1.0,nominal,nominal,1.0,1,True,True,1.0,0,4.0,4,0,pass,,survived,,60,8,True,8000.0,7466.0,6.533333333333333,0.0,149.0,155.53333333333333,7844.466666666666,64,122.56979166666666
block_bootstrap_business,8,standard__nominal__nominal,standard,nominal,nominal,1.0,nominal,nominal,1.0,1,True,True,1.0,0,16.0,16,0,pass,,survived,,60,14,True,14000.0,14797.5,26.133333333333333,0.0,149.0,175.13333333333333,13824.866666666667,76,181.9061403508772
