ruleset_name,nominal_bootstrap_pass_rate,sizing_bootstrap_pass_rate,nominal_bootstrap_fail_rate,sizing_bootstrap_fail_rate,nominal_bootstrap_inconsistency_rate,sizing_bootstrap_inconsistency_rate,nominal_bootstrap_delayed_pass_rate,sizing_bootstrap_delayed_pass_rate,nominal_bootstrap_failed_after_target_rate,sizing_bootstrap_failed_after_target_rate,pass_rate_edge_sizing_minus_nominal,fail_rate_edge_sizing_minus_nominal,speed_edge_nominal_minus_sizing_days_to_pass,inconsistency_edge_sizing_minus_nominal,verdict
topstepx_50k_extended_60d,0.5515,0.635,0.448,0.3595,0.0,0.0,0.0,0.0,0.0,0.0,0.08350000000000002,-0.08850000000000002,-7.0,0.0,TopstepX 50K favorise sizing_3state
topstepx_50k_main_35d,0.532,0.5835,0.4605,0.3185,0.0,0.0,0.0,0.0,0.0,0.0,0.05149999999999999,-0.14200000000000002,-7.0,0.0,TopstepX 50K favorise sizing_3state
