variant_name,risk_profile,stress_profile,followup_path_count,followup_started_rate,followup_breach_rate,followup_complete_rate,followup_expected_profit_per_trading_day,followup_expected_net_pnl,followup_median_max_drawdown_usd,followup_big_negative_day_rate,followup_daily_loss_hit_rate,followup_median_risk_intensity_ratio_post_vs_pre
baseline_3state,assertive,slippage_nominal,177,1.0,0.8135593220338984,0.1864406779661017,77.32492254998985,3306.2305084745767,-2359.800000000003,0.06388935178064892,0.0,1.0347791860190507
baseline_3state,assertive,slippage_x2,174,1.0,0.8793103448275862,0.1206896551724138,75.204349437883,3219.651724137932,-2370.600000000006,0.06523496070743899,0.0,1.0388706930465288
baseline_3state,assertive,slippage_x3,173,1.0,0.8786127167630058,0.12138728323699421,72.21386770885316,3129.1040462427745,-2381.399999999994,0.06525595374092447,0.0,1.0419488796606784
baseline_3state,base,slippage_nominal,156,1.0,0.782051282051282,0.21794871794871795,46.696571126160286,2397.846153846154,-2088.0,0.0,0.0,1.0306719865138032
baseline_3state,base,slippage_x2,153,1.0,0.7843137254901961,0.21568627450980393,44.38568402411465,2309.6633986928105,-2125.0,0.0,0.0,1.0321918671970836
baseline_3state,base,slippage_x3,149,1.0,0.825503355704698,0.174496644295302,41.56259051095559,2250.0805369127515,-2094.5,0.0,0.0,1.0140890131766045
baseline_3state,conservative,slippage_nominal,134,1.0,0.5671641791044776,0.43283582089552236,46.266665199825866,3225.1287313432836,-2021.625,0.0,0.0,0.9348855017226883
baseline_3state,conservative,slippage_x2,131,1.0,0.5725190839694656,0.42748091603053434,43.91189190769475,3160.986641221374,-2035.125,0.0,0.0,0.9336344060294294
baseline_3state,conservative,slippage_x3,127,1.0,0.5826771653543307,0.41732283464566927,40.920120693289086,3035.952755905512,-2048.625,0.0,0.0,0.9309033376943439
baseline_3state_vvix_modulator,assertive,slippage_nominal,168,1.0,0.9345238095238095,0.06547619047619048,-16.090561301180543,865.8464285714288,-2359.800000000003,0.08611997534039274,0.0,1.1140986952901644
baseline_3state_vvix_modulator,assertive,slippage_x2,167,1.0,0.9341317365269461,0.0658682634730539,-20.495606581185903,785.8958083832341,-2370.600000000006,0.08660856551545877,0.0,1.114825169657483
baseline_3state_vvix_modulator,assertive,slippage_x3,164,1.0,0.9329268292682927,0.06707317073170732,-23.65211531679608,755.1219512195123,-2381.399999999994,0.08758196217944801,0.0,1.1416015866585054
