variant_name,risk_profile,stress_profile,attempt_count,pass_rate,breach_rate,expire_rate,goal_before_breach_rate,median_days_to_pass,mean_days_to_pass,median_days_to_breach,mean_days_to_breach,expected_profit_per_trading_day,expected_net_profit_per_attempt,average_drawdown_before_pass,worst_drawdown_path_usd,worst_drawdown_start_session_date,daily_loss_hit_or_near_day_rate,near_limit_day_rate,p25_final_pnl_usd,median_final_pnl_usd,p75_final_pnl_usd,followup_path_count,followup_started_rate,followup_breach_rate,followup_complete_rate,followup_expected_profit_per_trading_day,followup_expected_net_pnl,followup_median_max_drawdown_usd,followup_big_negative_day_rate,followup_daily_loss_hit_rate,followup_median_risk_intensity_ratio_post_vs_pre,is_core_variant,is_primary_business_scenario
baseline_3state,base,slippage_nominal,282,0.5531914893617021,0.3546099290780142,0.09219858156028368,0.5531914893617021,16.0,17.608974358974358,15.5,16.08,101.24425054773212,1581.9078014184397,-922.1923076923077,-2541.0,2025-06-13,0.0,0.030389363722697058,-530.625,3036.25,3270.375,156,1.0,0.782051282051282,0.21794871794871795,46.696571126160286,2397.846153846154,-2088.0,0.0,0.0,1.0306719865138032,True,True
baseline_3state_vvix_modulator,base,slippage_nominal,282,0.524822695035461,0.32269503546099293,0.1524822695035461,0.524822695035461,16.0,17.445945945945947,11.0,13.131868131868131,94.15660879448308,1713.962765957447,-949.2364864864865,-2654.5,2024-09-18,0.0,0.02953426732298372,-290.5,3026.0,3309.0,148,1.0,0.6756756756756757,0.32432432432432434,35.27339117547635,2105.114864864865,-2068.5,0.0,0.0,1.1341028023368276,True,True
baseline_vvix_modulator,base,slippage_nominal,282,0.475177304964539,0.5212765957446809,0.0035460992907801418,0.475177304964539,11.0,12.149253731343284,11.0,13.210884353741497,111.63228858016042,1186.4645390070923,-893.9626865671642,-2692.5,2025-08-28,0.0,0.056588072122052704,-645.0,743.25,3449.25,134,1.0,0.9402985074626866,0.05970149253731343,-0.9001261956934571,2331.7276119402986,-2458.0,0.0,0.0,1.0763866329849616,False,True
baseline_nominal,base,slippage_nominal,282,0.16666666666666666,0.1950354609929078,0.6382978723404256,0.16666666666666666,28.0,27.425531914893618,23.0,23.30909090909091,32.522092403485985,1187.3617021276596,-526.2021276595744,-2255.5,2025-05-30,0.0,0.012512681772066284,481.0,1385.5,2246.625,47,1.0,0.723404255319149,0.2765957446808511,-12.775222391152772,599.2340425531914,-2040.5,0.0,0.0,1.0082795789003378,False,True
baseline_3state,assertive,slippage_nominal,282,0.6276595744680851,0.34397163120567376,0.028368794326241134,0.6276595744680851,14.0,15.35593220338983,13.0,14.072164948453608,142.265584423182,1697.7659574468123,-1027.433898305084,-2742.600000000006,2024-09-09,0.0,0.04675681870272748,-671.8499999999931,3090.0000000000036,3389.850000000006,177,1.0,0.8135593220338984,0.1864406779661017,77.32492254998985,3306.2305084745767,-2359.800000000003,0.06388935178064892,0.0,1.0347791860190507,True,False
baseline_3state,assertive,slippage_x2,282,0.6170212765957447,0.35106382978723405,0.031914893617021274,0.6170212765957447,14.0,15.270114942528735,13.0,13.555555555555555,140.94880415895707,1709.700000000003,-1023.5551724137933,-2719.7999999999884,2025-06-16,0.0,0.04218822438572091,-536.8499999999985,3093.6000000000095,3382.350000000002,174,1.0,0.8793103448275862,0.1206896551724138,75.204349437883,3219.651724137932,-2370.600000000006,0.06523496070743899,0.0,1.0388706930465288,True,False
baseline_3state,assertive,slippage_x3,282,0.6134751773049646,0.35106382978723405,0.03546099290780142,0.6134751773049646,14.0,15.531791907514451,13.0,13.555555555555555,137.34785156680198,1683.5999999999995,-1040.7052023121391,-2745.0000000000073,2025-06-16,0.00890614295501256,0.05275176981045901,-574.2000000000007,3095.6999999999935,3381.300000000003,173,1.0,0.8786127167630058,0.12138728323699421,72.21386770885316,3129.1040462427745,-2381.399999999994,0.06525595374092447,0.0,1.0419488796606784,True,False
baseline_3state_vvix_modulator,assertive,slippage_nominal,282,0.5957446808510638,0.3900709219858156,0.014184397163120567,0.5957446808510638,12.0,14.386904761904763,10.0,12.272727272727273,133.23214668361607,1688.6659574468113,-928.6607142857157,-2742.600000000006,2024-09-09,0.0,0.03660097261325825,-527.6999999999953,3086.0999999999985,3454.9499999999935,168,1.0,0.9345238095238095,0.06547619047619048,-16.090561301180543,865.8464285714288,-2359.800000000003,0.08611997534039274,0.0,1.1140986952901644,True,False
baseline_3state_vvix_modulator,assertive,slippage_x2,282,0.5921985815602837,0.3900709219858156,0.01773049645390071,0.5921985815602837,12.0,14.431137724550899,10.0,12.254545454545454,131.15662284644924,1680.6744680851077,-936.1077844311358,-2666.4000000000015,2024-09-19,0.0,0.03585049580472922,-555.4500000000044,3122.4000000000015,3464.850000000002,167,1.0,0.9341317365269461,0.0658682634730539,-20.495606581185903,785.8958083832341,-2370.600000000006,0.08660856551545877,0.0,1.114825169657483,True,False
baseline_3state_vvix_modulator,assertive,slippage_x3,282,0.5815602836879432,0.3900709219858156,0.028368794326241134,0.5815602836879432,12.0,14.353658536585366,10.0,12.254545454545454,127.83209734611962,1647.5936170212747,-935.3817073170744,-2681.9999999999927,2024-09-19,0.011803114013058764,0.047965846308387745,-584.7000000000153,3112.2000000000007,3445.2000000000025,164,1.0,0.9329268292682927,0.06707317073170732,-23.65211531679608,755.1219512195123,-2381.399999999994,0.08758196217944801,0.0,1.1416015866585054,True,False
baseline_3state,base,slippage_x2,282,0.5425531914893617,0.35815602836879434,0.09929078014184398,0.5425531914893617,16.0,17.751633986928105,16.0,16.198019801980198,98.23151583041735,1549.6808510638298,-922.8137254901961,-2566.5,2025-06-23,0.0,0.03188297074268567,-569.125,3030.75,3278.0,153,1.0,0.7843137254901961,0.21568627450980393,44.38568402411465,2309.6633986928105,-2125.0,0.0,0.0,1.0321918671970836,True,False
baseline_3state,base,slippage_x3,282,0.5283687943262412,0.36879432624113473,0.10283687943262411,0.5283687943262412,16.0,17.697986577181208,16.0,16.307692307692307,95.05342857939569,1525.113475177305,-917.8221476510067,-2609.5,2025-06-23,0.0,0.02860882572924458,-590.25,3013.0,3296.25,149,1.0,0.825503355704698,0.174496644295302,41.56259051095559,2250.0805369127515,-2094.5,0.0,0.0,1.0140890131766045,True,False
