variant_name,risk_profile,risk_multiplier,stress_profile,stress_slippage_multiplier,start_session_date,pass_session_date,followup_started,followup_status,followup_breach,followup_breach_reason,followup_trading_days,followup_calendar_days,followup_net_pnl_usd,followup_profit_per_trading_day_usd,followup_daily_pnl_std_usd,followup_positive_day_rate,followup_max_drawdown_usd,followup_daily_loss_hit_rate,followup_near_daily_limit_rate,followup_big_negative_day_rate,followup_big_negative_threshold_usd,followup_risk_intensity_ratio_post_vs_pre,followup_large_loss_limit_usd
baseline_3state,conservative,0.75,slippage_nominal,1.0,2024-03-05,2024-04-25,True,complete,False,,60,60,9012.0,150.2,448.1021566702173,0.5833333333333334,-1705.125,0.0,0.0,0.0,-800.0,1.243772880960709,1000.0
baseline_3state,conservative,0.75,slippage_nominal,1.0,2024-03-06,2024-04-26,True,complete,False,,60,60,9957.0,165.95,462.50722190307476,0.5833333333333334,-1705.125,0.0,0.0,0.0,-800.0,1.3081794817382282,1000.0
baseline_3state,conservative,0.75,slippage_nominal,1.0,2024-03-07,2024-04-25,True,complete,False,,60,60,9012.0,150.2,448.1021566702173,0.5833333333333334,-1705.125,0.0,0.0,0.0,-800.0,1.2286245717082722,1000.0
baseline_3state,conservative,0.75,slippage_nominal,1.0,2024-03-08,2024-04-25,True,complete,False,,60,60,9012.0,150.2,448.1021566702173,0.5833333333333334,-1705.125,0.0,0.0,0.0,-800.0,1.2038864753134555,1000.0
baseline_3state,conservative,0.75,slippage_nominal,1.0,2024-03-11,2024-04-25,True,complete,False,,60,60,9012.0,150.2,448.1021566702173,0.5833333333333334,-1705.125,0.0,0.0,0.0,-800.0,1.1841340529116504,1000.0
baseline_3state,conservative,0.75,slippage_nominal,1.0,2024-03-12,2024-04-24,True,complete,False,,60,60,9694.5,161.575,442.95404918286954,0.6,-1705.125,0.0,0.0,0.0,-800.0,1.1741899126514512,1000.0
baseline_3state,conservative,0.75,slippage_nominal,1.0,2024-03-13,2024-04-25,True,complete,False,,60,60,9012.0,150.2,448.1021566702173,0.5833333333333334,-1705.125,0.0,0.0,0.0,-800.0,1.1893053919776901,1000.0
baseline_3state,conservative,0.75,slippage_nominal,1.0,2024-03-14,2024-04-25,True,complete,False,,60,60,9012.0,150.2,448.1021566702173,0.5833333333333334,-1705.125,0.0,0.0,0.0,-800.0,1.1513189546214375,1000.0
baseline_3state,conservative,0.75,slippage_nominal,1.0,2024-03-18,2024-04-24,True,complete,False,,60,60,9694.5,161.575,442.95404918286954,0.6,-1705.125,0.0,0.0,0.0,-800.0,1.1098091017555822,1000.0
baseline_3state,conservative,0.75,slippage_nominal,1.0,2024-03-19,2024-04-24,True,complete,False,,60,60,9694.5,161.575,442.95404918286954,0.6,-1705.125,0.0,0.0,0.0,-800.0,1.1005898406549872,1000.0
baseline_3state,conservative,0.75,slippage_nominal,1.0,2024-03-20,2024-04-24,True,complete,False,,60,60,9694.5,161.575,442.95404918286954,0.6,-1705.125,0.0,0.0,0.0,-800.0,1.0989451476793248,1000.0
