scope,config_name,policy_family,strategy_bucket,symbols_used_primary,m2k_comparison_available,net_pnl_primary,sharpe_primary,max_drawdown_primary,profit_factor_primary,avg_trade_primary,mean_symbol_sharpe_primary,min_symbol_sharpe_primary,profitable_symbols_primary,mnq_net_pnl,mes_net_pnl,mnq_sharpe,mes_sharpe,m2k_net_pnl,m2k_sharpe,quick_robust_score,rank_within_bucket
MNQ+MES,baseline_no_opposite_invalidation,baseline,baseline,"MNQ,MES",True,8609.25,0.25139753632968065,-8316.0,1.0344344174186937,3.484115742614326,0.2209262717086507,-0.2680660734237066,1,15540.5,-6931.25,0.709918616841008,-0.2680660734237066,-7579.499999996975,-0.3468547661879948,0.16514465439187248,1
MNQ+MES,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,reclaim_conservative,reclaim,"MNQ,MES",True,8734.75,0.25535437987031884,-8190.5,1.034999864764826,3.5392017828200975,0.2233937345951245,-0.2589711936245182,1,15428.5,-6693.75,0.7057586628147672,-0.2589711936245182,-7579.499999996975,-0.3468547661879948,0.17677996226405543,1
MNQ+MES,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_false,reclaim_conservative,reclaim,"MNQ,MES",True,8734.75,0.25535437987031884,-8190.5,1.034999864764826,3.5392017828200975,0.2233937345951245,-0.2589711936245182,1,15428.5,-6693.75,0.7057586628147672,-0.2589711936245182,-7579.499999996975,-0.3468547661879948,0.17677996226405543,2
MNQ+MES,allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_false,reclaim_conservative,reclaim,"MNQ,MES",True,8734.75,0.25535437987031884,-8190.5,1.034999864764826,3.5392017828200975,0.2233937345951245,-0.2589711936245182,1,15428.5,-6693.75,0.7057586628147672,-0.2589711936245182,-7579.499999996975,-0.3468547661879948,0.17677996226405543,3
MNQ+MES,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,reclaim_strict,reclaim,"MNQ,MES",True,7691.5,0.23467690561928597,-8003.25,1.0322279905639427,3.2591101694915254,0.2023484577824187,-0.2736931213804648,1,14574.0,-6882.5,0.6783900369453022,-0.2736931213804648,-6281.499999997082,-0.2916073802285737,0.12513108110630006,4
MNQ+MES,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,reclaim_strict,reclaim,"MNQ,MES",True,7072.25,0.21517888370944277,-7590.75,1.029505727692871,2.989116652578191,0.18975602646642564,-0.2912344573598009,1,14413.5,-7341.25,0.6707465102926522,-0.2912344573598009,-6281.499999997082,-0.2916073802285737,0.09428921133421492,5
MNQ+MES,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,reclaim_conservative,reclaim,"MNQ,MES",True,6939.5,0.2110008546157319,-7590.75,1.0289201866194908,2.9292950612072604,0.18666902951212672,-0.2914133357800611,1,14287.0,-7347.5,0.6647513948043146,-0.2914133357800611,-6281.499999997082,-0.2916073802285737,0.08420640725999312,6
MNQ+MES,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,reclaim_strict,reclaim,"MNQ,MES",True,6939.5,0.2110008546157319,-7590.75,1.0289201866194908,2.9292950612072604,0.18666902951212672,-0.2914133357800611,1,14287.0,-7347.5,0.6647513948043146,-0.2914133357800611,-6281.499999997082,-0.2916073802285737,0.08420640725999312,7
MNQ+MES,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,reclaim_strict,reclaim,"MNQ,MES",True,7001.25,0.21334111230617347,-8449.75,1.0292511883784887,2.9628650021159544,0.18785701784452502,-0.2924151281445244,1,14360.0,-7358.75,0.6681291638335745,-0.2924151281445244,-6654.999999997079,-0.3087522172889653,0.05858246014348756,8
MNQ+MES,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_3,reclaim_strict,reclaim,"MNQ,MES",True,6968.25,0.2123320532905072,-8449.75,1.0291093011282164,2.947652284263959,0.1870846246642442,-0.2924151281445244,1,14327.0,-7358.75,0.6665843774730128,-0.2924151281445244,-6782.499999997077,-0.3146229516101557,0.05595141381203772,9
