config_name,policy_family,strategy_tag,symbol,opposite_confirmation,opposite_breakout_buffer_ticks,opposite_breakout_confirm_bars,require_reclaim_vwap,require_reclaim_or_low_close,reclaim_confirm_bars,net_pnl,gross_pnl,number_of_trades,win_rate,avg_trade,profit_factor,Sharpe,Sortino,max_drawdown,max_daily_drawdown,average_daily_pnl,median_daily_pnl,worst_day,best_day,trade_frequency,exposure_days,prop_pass,daily_loss_limit_breaches,first_breakout_downside_count,first_breakout_upside_count,invalidated_days_count,invalidated_days_pct,trades_after_downside_first_breakout_count,pnl_after_downside_first_breakout,sharpe_after_downside_first_breakout,reclaim_trade_count,reclaim_trade_pnl,reclaim_trade_sharpe,strategy_bucket,rank_within_symbol
baseline_no_opposite_invalidation,baseline,orb_long_only,M2K,none,0,1,False,False,1,-7579.499999996975,3120.500000003025,1205,0.4522821576763485,-6.290041493773424,0.9339436828390651,-0.3468547661879948,-0.7458974268211862,-9815.999999997231,-9815.999999997231,-3.536864209051318,0.0,-250.0,464.0000000000009,0.5622958469435371,1205,False,0,882,863,0,0.0,385,-1414.999999999123,-0.1877357884576839,0,0.0,0.0,baseline,1
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,reclaim_conservative,failed_breakdown_reclaim_long,M2K,touch,0,1,True,True,1,-6281.499999997082,4028.5000000029177,1166,0.4519725557461406,-5.387221269294239,0.9432634683214132,-0.2916073802285737,-0.6131704804381296,-8765.499999998274,-8765.499999998274,-2.9311712552482883,0.0,-250.0,464.0000000000009,0.5440970601959869,1166,False,0,882,863,0,0.0,353,-1398.4999999991658,-0.1934373955936196,384,-1143.999999999072,-0.2294983117879886,reclaim,2
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,reclaim_strict,failed_breakdown_reclaim_long,M2K,touch,0,1,False,False,1,-6281.499999997082,4028.5000000029177,1166,0.4519725557461406,-5.387221269294239,0.9432634683214132,-0.2916073802285737,-0.6131704804381296,-8765.499999998274,-8765.499999998274,-2.9311712552482883,0.0,-250.0,464.0000000000009,0.5440970601959869,1166,False,0,882,863,0,0.0,353,-1398.4999999991658,-0.1934373955936196,384,-1143.999999999072,-0.2294983117879886,reclaim,3
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,reclaim_strict,failed_breakdown_reclaim_long,M2K,touch,0,1,False,False,2,-6281.499999997082,4028.5000000029177,1166,0.4519725557461406,-5.387221269294239,0.9432634683214132,-0.2916073802285737,-0.6131704804381296,-8765.499999998274,-8765.499999998274,-2.9311712552482883,0.0,-250.0,464.0000000000009,0.5440970601959869,1166,False,0,882,863,0,0.0,353,-1398.4999999991658,-0.1934373955936196,384,-1143.999999999072,-0.2294983117879886,reclaim,4
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,reclaim_strict,failed_breakdown_reclaim_long,M2K,touch,0,1,False,False,3,-6281.499999997082,4028.5000000029177,1166,0.4519725557461406,-5.387221269294239,0.9432634683214132,-0.2916073802285737,-0.6131704804381296,-8765.499999998274,-8765.499999998274,-2.9311712552482883,0.0,-250.0,464.0000000000009,0.5440970601959869,1166,False,0,882,863,0,0.0,353,-1398.4999999991658,-0.1934373955936196,384,-1143.999999999072,-0.2294983117879886,reclaim,5
allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_true,reclaim_conservative,failed_breakdown_reclaim_long,M2K,touch,1,1,True,True,1,-6654.999999997079,3662.50000000292,1168,0.4511986301369863,-5.697773972600238,0.940091999964017,-0.3087522172889653,-0.6505096235747787,-8765.499999998272,-8765.499999998272,-3.105459636022902,0.0,-250.0,464.0000000000009,0.5450303313112459,1168,False,0,874,871,0,0.0,348,-1544.4999999991726,-0.2171116889581598,379,-1289.9999999990794,-0.2632726116826679,reclaim,6
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,reclaim_strict,failed_breakdown_reclaim_long,M2K,touch,1,1,False,False,1,-6654.999999997079,3662.50000000292,1168,0.4511986301369863,-5.697773972600238,0.940091999964017,-0.3087522172889653,-0.6505096235747787,-8765.499999998272,-8765.499999998272,-3.105459636022902,0.0,-250.0,464.0000000000009,0.5450303313112459,1168,False,0,874,871,0,0.0,348,-1544.4999999991726,-0.2171116889581598,379,-1289.9999999990794,-0.2632726116826679,reclaim,7
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,reclaim_strict,failed_breakdown_reclaim_long,M2K,touch,1,1,False,False,2,-6654.999999997079,3662.50000000292,1168,0.4511986301369863,-5.697773972600238,0.940091999964017,-0.3087522172889653,-0.6505096235747787,-8765.499999998272,-8765.499999998272,-3.105459636022902,0.0,-250.0,464.0000000000009,0.5450303313112459,1168,False,0,874,871,0,0.0,348,-1544.4999999991726,-0.2171116889581598,379,-1289.9999999990794,-0.2632726116826679,reclaim,8
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,reclaim_strict,failed_breakdown_reclaim_long,M2K,touch,1,1,False,False,3,-6654.999999997079,3662.50000000292,1168,0.4511986301369863,-5.697773972600238,0.940091999964017,-0.3087522172889653,-0.6505096235747787,-8765.499999998272,-8765.499999998272,-3.105459636022902,0.0,-250.0,464.0000000000009,0.5450303313112459,1168,False,0,874,871,0,0.0,348,-1544.4999999991726,-0.2171116889581598,379,-1289.9999999990794,-0.2632726116826679,reclaim,9
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_true,reclaim_conservative,failed_breakdown_reclaim_long,M2K,touch,2,1,True,True,1,-6782.499999997077,3537.5000000029227,1169,0.4508126603934987,-5.80196749358176,0.9390142472429652,-0.3146229516101557,-0.6633006902117455,-8765.499999998276,-8765.499999998276,-3.164955669620661,0.0,-250.0,464.0000000000009,0.5454969668688754,1169,False,0,868,876,0,0.0,344,-1250.999999999185,-0.1777307661563882,376,-1236.4999999990896,-0.2545636379436509,reclaim,10
