scope,subset,trade_count,net_pnl,avg_trade,win_rate,sharpe,max_drawdown,worst_day,best_day,share_of_scope_pnl
MNQ,all_baseline,1117,15540.5,13.912712623097583,0.4628469113697404,0.9842203310062769,-2430.5,-250.0,489.0,1.0
MNQ,downside_first_breakout_only,396,-2305.5,-5.821969696969697,0.4444444444444444,-0.45014995701866994,-5400.0,-250.0,468.0,-0.1483543000546958
MNQ,no_downside_before_trade,721,17846.0,24.751733703190013,0.47295423023578365,1.6826585063348916,-2734.0,-250.0,489.0,1.1483543000546959
MES,all_baseline,1354,-6931.25,-5.119091580502215,0.41654357459379615,-0.3372715369464622,-8267.5,-250.0,472.5,1.0
MES,downside_first_breakout_only,539,-12947.5,-24.021335807050093,0.3877551020408163,-1.6859217877617025,-14731.25,-250.0,455.0,1.8679891794409378
MES,no_downside_before_trade,815,6016.25,7.381901840490798,0.43558282208588955,0.4697880829358348,-4357.5,-250.0,472.5,-0.8679891794409378
MNQ+MES,all_baseline,2471,8609.25,3.484115742614326,0.4374747065965196,0.25139753632968065,-8316.0,-497.5,917.0,1.0
MNQ+MES,downside_first_breakout_only,935,-15253.0,-16.31336898395722,0.4117647058823529,-1.2213988516292227,-17674.75,-494.5,917.0,-1.771699044632227
MNQ+MES,no_downside_before_trade,1536,23862.25,15.535319010416666,0.453125,1.0412827650593715,-5496.5,-497.5,902.5,2.771699044632227
M2K,all_baseline,1205,-7579.499999996973,-6.290041493773422,0.45228215767634855,-0.4626429430805778,-9815.999999997231,-250.0,464.0000000000009,1.0
M2K,downside_first_breakout_only,385,-1414.9999999991217,-3.675324675322394,0.44415584415584414,-0.2841778390753199,-4285.499999999494,-250.0,459.9999999999909,0.18668777623849683
M2K,no_downside_before_trade,820,-6164.499999997848,-7.517682926826644,0.4560975609756098,-0.5410171044511082,-9229.999999998745,-250.0,464.0000000000009,0.8133122237615027
