timestamp,open,high,low,close,volume,open interest
2026-02-17,24789.75,24922.25,24449.25,24767.75,752646,270655
2026-02-18,24773.75,25128.25,24700.75,24956.0,540796,264976
2026-02-19,24943.5,25054.0,24749.0,24858.75,515038,275393
2026-02-20,24837.75,25139.5,24678.5,25067.5,615358,268904
2026-02-23,25033.75,25059.75,24668.0,24762.75,594568,271314
2026-02-24,24788.0,25078.75,24694.5,25028.75,520239,267918
2026-02-25,25016.25,25494.75,24992.0,25382.0,417621,270023
2026-02-26,25388.25,25418.25,24861.75,25081.0,605581,272649
2026-02-27,25024.25,25098.75,24782.0,25004.75,561211,268705
2026-03-02,24682.5,25101.0,24477.0,25025.25,617466,0
