portfolio_variant_name,portfolio_name,portfolio_family,allocation_scheme,config_bundle,member_motor_keys,member_symbols,member_config_labels,motor_count,net_pnl_usd,return_pct,cagr_pct,sharpe,sortino,annualized_vol_pct,profit_factor,expectancy_usd,nb_trades,max_drawdown_usd,max_drawdown_pct,max_daily_drawdown_usd,worst_day_pnl_usd,worst_trade_pnl_usd,max_time_under_water_days,avg_time_under_water_days,percent_days_traded,nb_days_below_minus_250,nb_days_below_minus_500,nb_days_below_minus_1000,pass_target_3000_usd_without_breaching_2000_dd,days_to_3000_usd_if_reached,max_trailing_drawdown_observed_usd,max_static_drawdown_observed_usd,overlay_cap_hit_count,overlay_partial_scale_trade_count,overlay_rejected_trade_count,overlay_max_concurrent_risk_usd,mean_pairwise_daily_corr,mean_pairwise_weekly_corr,pct_days_multiple_motors_lose_together,pct_days_offsetting_pnl,pct_days_positive_offsetting,overlap_rate_pct,pnl_contribution_pct_MNQ,drawdown_contribution_pct_MNQ,pnl_contribution_pct_M2K,drawdown_contribution_pct_M2K,pnl_contribution_pct_MES,drawdown_contribution_pct_MES,portfolio_score
M2K_MES__capped_overlay__core_default,M2K_MES,pair,capped_overlay,core_default,M2K_default|MES_default,M2K|MES,M2K:default|MES:default,2,5660.953991788514,11.321907983577024,5.3185168243125025,1.5567681951287504,1.3167423664370792,3.490895978683275,2.639193279799824,89.85641256807165,63,537.9999999999854,0.9843341864877342,537.9999999999854,-258.99999999999864,-189.9999999999909,45,9.818181818181818,9.333333333333334,1,0,0,True,234.0,537.9999999999854,120.0,1,2,100,250.0,0.16788216792209062,0.1851341641442108,1.7142857142857144,0.19047619047619047,0.19047619047619047,28.57142857142857,,,54.21962119231834,72.11895910780561,45.780378807681636,27.881040892194065,8.929026772303596
M2K_MES__equal_weight_notional__core_default,M2K_MES,pair,equal_weight_notional,core_default,M2K_default|MES_default,M2K|MES,M2K:default|MES:default,2,5832.515625000218,11.665031250000437,5.475226982979753,2.090064106515686,2.6034780216976885,2.6789680673166414,2.212108715417672,35.7823044478541,163,457.7124999999869,0.8280290911446553,457.7124999999869,-143.49999999999454,-97.4999999999966,104,15.636363636363637,23.61904761904762,0,0,0,True,201.0,457.7124999999869,60.0,0,0,0,0.0,0.06735453785403223,0.015189148538529484,4.0,1.5238095238095237,1.5238095238095237,29.03225806451613,,,48.646462048699775,39.64551984050966,51.35353795130023,60.354480159490485,11.675353301063033
M2K_MES__equal_weight_risk_budget__core_default,M2K_MES,pair,equal_weight_risk_budget,core_default,M2K_default|MES_default,M2K|MES,M2K:default|MES:default,2,5864.093750000176,11.728187500000349,5.504044368435146,1.972205830535529,2.7707322612072485,2.8544333014528904,2.283803568496599,35.976035276074704,163,476.669999999991,0.8604150945069167,476.669999999991,-139.79999999999563,-77.99999999999729,119,17.6,23.61904761904762,0,0,0,True,191.0,476.669999999991,72.0,0,0,0,0.0,0.06735453785403235,0.015189148538529516,4.0,1.5238095238095237,1.5238095238095237,29.03225806451613,,,38.70760081214773,30.455031782993018,61.292399187852276,69.54496821700681,11.13123207214234
MNQ_M2K__capped_overlay__core_default,MNQ_M2K,pair,capped_overlay,core_default,MNQ_default|M2K_default,MNQ|M2K,MNQ:default|M2K:default,2,7127.450000000153,14.254900000000301,6.650121264439424,1.5378751158066195,1.8466749774998117,4.449224732016887,2.8393419354839615,103.2963768115964,69,709.9999999999782,1.332379399725503,709.9999999999782,-191.99999999999727,-189.9999999999909,25,10.384615384615385,10.666666666666668,0,0,0,True,234.0,709.9999999999782,168.0,0,0,108,240.9999999999918,0.35027300553960694,0.34372342831776154,1.3333333333333335,0.38095238095238093,0.38095238095238093,23.214285714285715,56.45216732491842,-58.35211267605649,43.54783267508158,11.478873239434218,,,9.373950463226752
MNQ_M2K__equal_weight_notional__core_default,MNQ_M2K,pair,equal_weight_notional,core_default,MNQ_default|M2K_default,MNQ|M2K,MNQ:default|M2K:default,2,6265.175000000197,12.530350000000398,5.869330766498915,2.0602512592314572,3.1118589835390105,2.9193371308720013,2.2165388349515323,35.39646892655479,177,527.599999999984,1.0534586328798223,527.599999999984,-142.99999999999943,-97.4999999999966,94,17.523809523809526,26.285714285714285,0,0,0,True,234.0,527.599999999984,444.94999999998254,0,0,0,0.0,0.2765063960132266,0.22620174433687687,3.619047619047619,1.9047619047619049,1.9047619047619049,26.811594202898554,54.712956940546334,39.329037149356765,45.287043059453666,60.67096285064324,,,11.604380036926113
MNQ_M2K__equal_weight_risk_budget__core_default,MNQ_M2K,pair,equal_weight_risk_budget,core_default,MNQ_default|M2K_default,MNQ|M2K,MNQ:default|M2K:default,2,6462.025000000118,12.924050000000237,6.048120340069341,1.9365420767513835,3.4602127367854423,3.2034129670999842,2.3307756993307556,36.50861581920971,177,531.4999999999854,1.0629999999999695,531.4999999999854,-129.83333333333297,-76.0,96,18.19047619047619,26.285714285714285,0,0,0,True,234.0,531.4999999999854,531.4999999999854,0,0,0,0.0,0.27650639601322646,0.22620174433687693,3.619047619047619,1.9047619047619049,1.9047619047619049,26.811594202898554,70.72834495894436,105.13954217623531,29.271655041055645,-5.139542176236027,,,11.28494330700573
MNQ_MES__capped_overlay__core_default,MNQ_MES,pair,capped_overlay,core_default,MNQ_default|MES_default,MNQ|MES,MNQ:default|MES:default,2,6648.271874999988,13.296543749999984,6.216983217020999,1.3382819193678088,1.6583501379466248,4.769055688217729,3.1645032964349626,118.71914062499978,56,735.9593749999985,1.3235258580042264,735.9593749999985,-217.25,-120.0,81,25.333333333333332,7.809523809523809,0,0,0,True,234.0,735.9593749999985,288.0,0,0,86,196.0,0.37957323246214775,0.3975596304628241,1.7142857142857144,0.19047619047619047,0.19047619047619047,36.58536585365854,60.52099065217593,11.15550705499182,,,39.47900934782407,-43.62715333302376,7.953622989971231
MNQ_MES__equal_weight_notional__core_default,MNQ_MES,pair,equal_weight_notional,core_default,MNQ_default|MES_default,MNQ|MES,MNQ:default|MES:default,2,6423.065624999984,12.846131249999962,6.012760979762843,1.7648665560098984,3.2665442644647964,3.4938295923861356,2.634627803403845,45.232856514084396,142,451.75,0.8111717017791453,451.75,-112.5,-62.5,81,24.11764705882353,19.80952380952381,0,0,0,True,191.0,451.75,144.0,0,0,0,0.0,0.4317424715988547,0.4203330845640255,4.380952380952381,0.9523809523809524,0.5714285714285714,35.57692307692308,53.368013035052705,38.84892086330935,,,46.631986964947295,61.15107913669065,10.997906849039579
MNQ_MES__equal_weight_risk_budget__core_default,MNQ_MES,pair,equal_weight_risk_budget,core_default,MNQ_default|MES_default,MNQ|MES,MNQ:default|MES:default,2,6484.874107142838,12.969748214285689,6.068852224332666,1.7748955809008777,3.270140583951109,3.5075185322717854,2.6303162738496013,45.66812751509041,142,437.35714285713766,0.7857298788391254,437.35714285713766,-111.42857142857144,-65.14285714285715,81,24.11764705882353,19.80952380952381,0,0,0,True,191.0,437.35714285713766,147.42857142857247,0,0,0,0.0,0.43174247159885554,0.42033308456402546,4.380952380952381,0.9523809523809524,0.5714285714285714,35.57692307692308,60.4106892151088,45.859872611465526,,,39.589310784891204,54.140127388535674,11.178992145032092
M2K_only__standalone__core_default,M2K_only,single,standalone,core_default,M2K_default,M2K,M2K:default,1,5674.625000000431,11.34925000000086,5.331013528745077,1.732727427153567,1.57385730470577,3.1439682402612563,1.9406755076669255,57.3194444444488,99,683.9999999999709,1.3529786360308327,683.9999999999709,-194.9999999999932,-194.9999999999932,139,26.071428571428573,18.476190476190478,0,0,0,True,282.0,683.9999999999709,274.699999999968,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,100.00000000000007,,,8.843534708614857
