portfolio_variant_name,portfolio_name,portfolio_family,allocation_scheme,config_bundle,scope,mean_pairwise_daily_corr,mean_pairwise_weekly_corr,pct_days_multiple_motors_lose_together,pct_days_offsetting_pnl,pct_days_positive_offsetting,overlap_rate_pct,pnl_contribution_pct_MNQ,drawdown_contribution_pct_MNQ,pnl_contribution_pct_M2K,drawdown_contribution_pct_M2K,pnl_contribution_pct_MES,drawdown_contribution_pct_MES
MNQ_only__standalone__core_default,MNQ_only,single,standalone,core_default,full,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,
MNQ_only__standalone__core_default,MNQ_only,single,standalone,core_default,oos,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,
M2K_only__standalone__core_default,M2K_only,single,standalone,core_default,full,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,74.58068247541696,,
M2K_only__standalone__core_default,M2K_only,single,standalone,core_default,oos,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,100.00000000000007,,
MES_only__standalone__core_default,MES_only,single,standalone,core_default,full,0.0,0.0,0.0,0.0,0.0,0.0,,,,,100.0,100.00000000000051
MES_only__standalone__core_default,MES_only,single,standalone,core_default,oos,0.0,0.0,0.0,0.0,0.0,0.0,,,,,100.0,100.0
MNQ_M2K__equal_weight_notional__core_default,MNQ_M2K,pair,equal_weight_notional,core_default,full,0.2215475295710492,0.2625197335811628,3.1482541499713794,1.7172295363480254,1.3737836290784202,23.52941176470588,67.13879498820653,5.439658651906048,32.86120501179346,55.55440235253014,,
MNQ_M2K__equal_weight_notional__core_default,MNQ_M2K,pair,equal_weight_notional,core_default,oos,0.2765063960132266,0.22620174433687687,3.619047619047619,1.9047619047619049,1.9047619047619049,26.811594202898554,54.712956940546334,39.329037149356765,45.287043059453666,60.67096285064324,,
MNQ_M2K__equal_weight_risk_budget__core_default,MNQ_M2K,pair,equal_weight_risk_budget,core_default,full,0.2215475295710488,0.2625197335811629,3.1482541499713794,1.7172295363480254,1.4882655981682884,23.52941176470588,80.33897216136315,8.348377048600417,19.661027838636855,42.630349368159706,,
MNQ_M2K__equal_weight_risk_budget__core_default,MNQ_M2K,pair,equal_weight_risk_budget,core_default,oos,0.27650639601322646,0.22620174433687693,3.619047619047619,1.9047619047619049,1.9047619047619049,26.811594202898554,70.72834495894436,105.13954217623531,29.271655041055645,-5.139542176236027,,
MNQ_M2K__capped_overlay__core_default,MNQ_M2K,pair,capped_overlay,core_default,full,0.17574862264744165,0.27338598888611354,2.289639381797367,1.0875787063537492,0.9158557527189467,23.717948717948715,75.11641073551414,-0.2694322677217286,24.883589264485853,64.10563455575542,,
MNQ_M2K__capped_overlay__core_default,MNQ_M2K,pair,capped_overlay,core_default,oos,0.35027300553960694,0.34372342831776154,1.3333333333333335,0.38095238095238093,0.38095238095238093,23.214285714285715,56.45216732491842,-58.35211267605649,43.54783267508158,11.478873239434218,,
MNQ_MES__equal_weight_notional__core_default,MNQ_MES,pair,equal_weight_notional,core_default,full,0.35998833600925845,0.35571707061033736,3.3772180881511162,0.7441327990841442,0.5151688609044075,29.49852507374631,72.50102479392508,66.87720818612122,,,27.498975206074928,33.12279181387927
MNQ_MES__equal_weight_notional__core_default,MNQ_MES,pair,equal_weight_notional,core_default,oos,0.4317424715988547,0.4203330845640255,4.380952380952381,0.9523809523809524,0.5714285714285714,35.57692307692308,53.368013035052705,38.84892086330935,,,46.631986964947295,61.15107913669065
MNQ_MES__equal_weight_risk_budget__core_default,MNQ_MES,pair,equal_weight_risk_budget,core_default,full,0.359988336009258,0.35571707061033747,3.3772180881511162,0.7441327990841442,0.5151688609044075,29.49852507374631,77.8532352591879,72.91508624018212,,,22.14676474081211,27.084913759817493
MNQ_MES__equal_weight_risk_budget__core_default,MNQ_MES,pair,equal_weight_risk_budget,core_default,oos,0.43174247159885554,0.42033308456402546,4.380952380952381,0.9523809523809524,0.5714285714285714,35.57692307692308,60.4106892151088,45.859872611465526,,,39.589310784891204,54.140127388535674
MNQ_MES__capped_overlay__core_default,MNQ_MES,pair,capped_overlay,core_default,full,0.3418869725034759,0.34618171443236684,2.289639381797367,0.5151688609044075,0.28620492272467085,28.57142857142857,74.97949626481157,63.226038482287365,,,25.02050373518841,36.773961517712635
MNQ_MES__capped_overlay__core_default,MNQ_MES,pair,capped_overlay,core_default,oos,0.37957323246214775,0.3975596304628241,1.7142857142857144,0.19047619047619047,0.19047619047619047,36.58536585365854,60.52099065217593,11.15550705499182,,,39.47900934782407,-43.62715333302376
M2K_MES__equal_weight_notional__core_default,M2K_MES,pair,equal_weight_notional,core_default,full,0.22944903033828495,0.1724361081095774,3.3199771036061825,0.7441327990841442,0.5724098454493417,24.634146341463413,,,56.34025301913831,52.136413050641025,43.65974698086171,47.863586949359274
M2K_MES__equal_weight_notional__core_default,M2K_MES,pair,equal_weight_notional,core_default,oos,0.06735453785403223,0.015189148538529484,4.0,1.5238095238095237,1.5238095238095237,29.03225806451613,,,48.646462048699775,39.64551984050966,51.35353795130023,60.354480159490485
M2K_MES__equal_weight_risk_budget__core_default,M2K_MES,pair,equal_weight_risk_budget,core_default,full,0.2294490303382853,0.17243610810957752,3.3199771036061825,0.7441327990841442,0.5151688609044075,24.634146341463413,,,46.24502300214861,42.068634358376336,53.7549769978514,57.93136564162401
M2K_MES__equal_weight_risk_budget__core_default,M2K_MES,pair,equal_weight_risk_budget,core_default,oos,0.06735453785403235,0.015189148538529516,4.0,1.5238095238095237,1.5238095238095237,29.03225806451613,,,38.70760081214773,30.455031782993018,61.292399187852276,69.54496821700681
M2K_MES__capped_overlay__core_default,M2K_MES,pair,capped_overlay,core_default,full,0.15897796285711596,0.09538861512850706,2.2323983972524326,0.5151688609044075,0.45792787635947335,24.06015037593985,,,49.76298535060921,60.28315225245954,50.23701464939078,27.398405147767242
M2K_MES__capped_overlay__core_default,M2K_MES,pair,capped_overlay,core_default,oos,0.16788216792209062,0.1851341641442108,1.7142857142857144,0.19047619047619047,0.19047619047619047,28.57142857142857,,,54.21962119231834,72.11895910780561,45.780378807681636,27.881040892194065
MNQ_M2K_MES__equal_weight_notional__core_default,MNQ_M2K_MES,three_way,equal_weight_notional,core_default,full,0.27032829863953084,0.26355763743369254,6.067544361763022,2.1751574127074984,1.6599885518030912,35.12476007677543,53.511915791562046,4.159955904643929,26.191504266784015,42.48499379908583,20.29657994165393,23.52542372881522
