portfolio_variant_name,portfolio_name,portfolio_family,allocation_scheme,config_bundle,member_motor_keys,member_symbols,member_config_labels,motor_count,description,full_net_pnl_usd,full_return_pct,full_cagr_pct,full_sharpe,full_sortino,full_annualized_vol_pct,full_profit_factor,full_expectancy_usd,full_nb_trades,full_max_drawdown_usd,full_max_drawdown_pct,full_max_daily_drawdown_usd,full_worst_day_pnl_usd,full_worst_trade_pnl_usd,full_max_time_under_water_days,full_avg_time_under_water_days,full_percent_days_traded,full_nb_days_below_minus_250,full_nb_days_below_minus_500,full_nb_days_below_minus_1000,full_pass_target_3000_usd_without_breaching_2000_dd,full_days_to_3000_usd_if_reached,full_max_trailing_drawdown_observed_usd,full_max_static_drawdown_observed_usd,full_overlay_cap_hit_count,full_overlay_partial_scale_trade_count,full_overlay_rejected_trade_count,full_overlay_max_concurrent_risk_usd,full_mean_pairwise_daily_corr,full_mean_pairwise_weekly_corr,full_pct_days_multiple_motors_lose_together,full_pct_days_offsetting_pnl,full_pct_days_positive_offsetting,full_overlap_rate_pct,full_pnl_contribution_pct_MNQ,full_drawdown_contribution_pct_MNQ,full_pnl_contribution_pct_M2K,full_drawdown_contribution_pct_M2K,full_pnl_contribution_pct_MES,full_drawdown_contribution_pct_MES,oos_net_pnl_usd,oos_return_pct,oos_cagr_pct,oos_sharpe,oos_sortino,oos_annualized_vol_pct,oos_profit_factor,oos_expectancy_usd,oos_nb_trades,oos_max_drawdown_usd,oos_max_drawdown_pct,oos_max_daily_drawdown_usd,oos_worst_day_pnl_usd,oos_worst_trade_pnl_usd,oos_max_time_under_water_days,oos_avg_time_under_water_days,oos_percent_days_traded,oos_nb_days_below_minus_250,oos_nb_days_below_minus_500,oos_nb_days_below_minus_1000,oos_pass_target_3000_usd_without_breaching_2000_dd,oos_days_to_3000_usd_if_reached,oos_max_trailing_drawdown_observed_usd,oos_max_static_drawdown_observed_usd,oos_overlay_cap_hit_count,oos_overlay_partial_scale_trade_count,oos_overlay_rejected_trade_count,oos_overlay_max_concurrent_risk_usd,oos_mean_pairwise_daily_corr,oos_mean_pairwise_weekly_corr,oos_pct_days_multiple_motors_lose_together,oos_pct_days_offsetting_pnl,oos_pct_days_positive_offsetting,oos_overlap_rate_pct,oos_pnl_contribution_pct_MNQ,oos_drawdown_contribution_pct_MNQ,oos_pnl_contribution_pct_M2K,oos_drawdown_contribution_pct_M2K,oos_pnl_contribution_pct_MES,oos_drawdown_contribution_pct_MES,full_portfolio_score,oos_portfolio_score
M2K_MES__capped_overlay__core_default,M2K_MES,pair,capped_overlay,core_default,M2K_default|MES_default,M2K|MES,M2K:default|MES:default,2,M2K_MES with capped_overlay on the default motor configs.,9164.835303757194,18.32967060751439,2.4793677454268748,0.7870451224706566,0.6441969627393596,3.3594073227153625,1.4264147443728328,27.114897348394067,338,2486.515624999869,4.821800065695414,2486.515624999869,-282.48031496062833,-190.24390243902113,557,75.52380952380952,15.22610188895249,6,0,0,False,1084.0,2486.515624999869,2407.8781249997483,3,6,188,250.0,0.15897796285711596,0.09538861512850706,2.2323983972524326,0.5151688609044075,0.45792787635947335,24.06015037593985,,,49.76298535060921,60.28315225245954,50.23701464939078,27.398405147767242,5660.953991788514,11.321907983577024,5.3185168243125025,1.5567681951287504,1.3167423664370792,3.490895978683275,2.639193279799824,89.85641256807165,63,537.9999999999854,0.9843341864877342,537.9999999999854,-258.99999999999864,-189.9999999999909,45,9.818181818181818,9.333333333333334,1,0,0,True,234.0,537.9999999999854,120.0,1,2,100,250.0,0.16788216792209062,0.1851341641442108,1.7142857142857144,0.19047619047619047,0.19047619047619047,28.57142857142857,,,54.21962119231834,72.11895910780561,45.780378807681636,27.881040892194065,-7.527655447616652,8.929026772303596
M2K_MES__equal_weight_notional__core_default,M2K_MES,pair,equal_weight_notional,core_default,M2K_default|MES_default,M2K|MES,M2K:default|MES:default,2,M2K_MES with equal_weight_notional on the default motor configs.,10184.259375000693,20.368518750001414,2.734443501655326,1.305019060158075,1.4335375407644406,2.2513873846514025,1.626897256163309,19.361709838404362,526,1303.6234374999185,2.5775532998880357,1303.6234374999185,-169.4999999999925,-97.4999999999966,240,30.266666666666666,23.46880366342301,0,0,0,True,823.0,1303.6234374999185,727.6203124998065,0,0,0,0.0,0.22944903033828495,0.1724361081095774,3.3199771036061825,0.7441327990841442,0.5724098454493417,24.634146341463413,,,56.34025301913831,52.136413050641025,43.65974698086171,47.863586949359274,5832.515625000218,11.665031250000437,5.475226982979753,2.090064106515686,2.6034780216976885,2.6789680673166414,2.212108715417672,35.7823044478541,163,457.7124999999869,0.8280290911446553,457.7124999999869,-143.49999999999454,-97.4999999999966,104,15.636363636363637,23.61904761904762,0,0,0,True,201.0,457.7124999999869,60.0,0,0,0,0.0,0.06735453785403223,0.015189148538529484,4.0,1.5238095238095237,1.5238095238095237,29.03225806451613,,,48.646462048699775,39.64551984050966,51.35353795130023,60.354480159490485,7.050147334382746,11.675353301063033
M2K_MES__equal_weight_risk_budget__core_default,M2K_MES,pair,equal_weight_risk_budget,core_default,M2K_default|MES_default,M2K|MES,M2K:default|MES:default,2,M2K_MES with equal_weight_risk_budget on the default motor configs.,9925.976250000553,19.851952500001104,2.6701683126969966,1.2630273438653918,1.5021299891233784,2.267243211820997,1.657767603907175,18.870677281369872,526,1292.4831249999334,2.5505600242053394,1292.4831249999334,-156.599999999994,-77.99999999999729,271,31.386363636363637,23.46880366342301,0,0,0,True,823.0,1292.4831249999334,617.9993749998466,0,0,0,0.0,0.2294490303382853,0.17243610810957752,3.3199771036061825,0.7441327990841442,0.5151688609044075,24.634146341463413,,,46.24502300214861,42.068634358376336,53.7549769978514,57.93136564162401,5864.093750000176,11.728187500000349,5.504044368435146,1.972205830535529,2.7707322612072485,2.8544333014528904,2.283803568496599,35.976035276074704,163,476.669999999991,0.8604150945069167,476.669999999991,-139.79999999999563,-77.99999999999729,119,17.6,23.61904761904762,0,0,0,True,191.0,476.669999999991,72.0,0,0,0,0.0,0.06735453785403235,0.015189148538529516,4.0,1.5238095238095237,1.5238095238095237,29.03225806451613,,,38.70760081214773,30.455031782993018,61.292399187852276,69.54496821700681,6.943452187961935,11.13123207214234
MNQ_M2K__capped_overlay__core_default,MNQ_M2K,pair,capped_overlay,core_default,MNQ_default|M2K_default,MNQ|M2K,MNQ:default|M2K:default,2,MNQ_M2K with capped_overlay on the default motor configs.,18367.95895522475,36.7359179104495,4.65822285778954,1.3539539676928312,1.459089984475418,3.913763984610836,1.8190551191059994,46.61918516554505,394,2338.249999999869,3.751829683860075,2338.249999999869,-266.79104477611725,-194.9999999999932,237,44.0,17.85918717801946,2,0,0,True,614.0,2338.249999999869,606.2249999998967,1,2,208,250.0,0.17574862264744165,0.27338598888611354,2.289639381797367,1.0875787063537492,0.9158557527189467,23.717948717948715,75.11641073551414,-0.2694322677217286,24.883589264485853,64.10563455575542,,,7127.450000000153,14.254900000000301,6.650121264439424,1.5378751158066195,1.8466749774998117,4.449224732016887,2.8393419354839615,103.2963768115964,69,709.9999999999782,1.332379399725503,709.9999999999782,-191.99999999999727,-189.9999999999909,25,10.384615384615385,10.666666666666668,0,0,0,True,234.0,709.9999999999782,168.0,0,0,108,240.9999999999918,0.35027300553960694,0.34372342831776154,1.3333333333333335,0.38095238095238093,0.38095238095238093,23.214285714285715,56.45216732491842,-58.35211267605649,43.54783267508158,11.478873239434218,,,1.5554408707720455,9.373950463226752
MNQ_M2K__equal_weight_notional__core_default,MNQ_M2K,pair,equal_weight_notional,core_default,MNQ_default|M2K_default,MNQ|M2K,MNQ:default|M2K:default,2,MNQ_M2K with equal_weight_notional on the default motor configs.,17460.825000000666,34.92165000000133,4.454994682093405,1.920680181603904,2.7832655480338313,2.6226922684162437,2.035052906132442,29.004692691031,602,1083.9374999998836,1.8386874339499593,1083.9374999998836,-155.4999999999925,-97.4999999999966,235,20.952380952380953,27.24670864338867,0,0,0,True,529.0,1083.9374999998836,303.112499999952,0,0,0,0.0,0.2215475295710492,0.2625197335811628,3.1482541499713794,1.7172295363480254,1.3737836290784202,23.52941176470588,67.13879498820653,5.439658651906048,32.86120501179346,55.55440235253014,,,6265.175000000197,12.530350000000398,5.869330766498915,2.0602512592314572,3.1118589835390105,2.9193371308720013,2.2165388349515323,35.39646892655479,177,527.599999999984,1.0534586328798223,527.599999999984,-142.99999999999943,-97.4999999999966,94,17.523809523809526,26.285714285714285,0,0,0,True,234.0,527.599999999984,444.94999999998254,0,0,0,0.0,0.2765063960132266,0.22620174433687687,3.619047619047619,1.9047619047619049,1.9047619047619049,26.811594202898554,54.712956940546334,39.329037149356765,45.287043059453666,60.67096285064324,,,10.721064476416256,11.604380036926113
MNQ_M2K__equal_weight_risk_budget__core_default,MNQ_M2K,pair,equal_weight_risk_budget,core_default,MNQ_default|M2K_default,MNQ|M2K,MNQ:default|M2K:default,2,MNQ_M2K with equal_weight_risk_budget on the default motor configs.,19455.875000000415,38.911750000000815,4.898935493351408,1.947485808875206,3.4663230800518456,2.8821335246417576,2.284018413005756,32.31872923588109,602,941.6999999999243,1.552737337806398,941.6999999999243,-129.83333333333297,-76.0,237,20.65625,27.24670864338867,0,0,0,True,463.0,941.6999999999243,181.99999999996362,0,0,0,0.0,0.2215475295710488,0.2625197335811629,3.1482541499713794,1.7172295363480254,1.4882655981682884,23.52941176470588,80.33897216136315,8.348377048600417,19.661027838636855,42.630349368159706,,,6462.025000000118,12.924050000000237,6.048120340069341,1.9365420767513835,3.4602127367854423,3.2034129670999842,2.3307756993307556,36.50861581920971,177,531.4999999999854,1.0629999999999695,531.4999999999854,-129.83333333333297,-76.0,96,18.19047619047619,26.285714285714285,0,0,0,True,234.0,531.4999999999854,531.4999999999854,0,0,0,0.0,0.27650639601322646,0.22620174433687693,3.619047619047619,1.9047619047619049,1.9047619047619049,26.811594202898554,70.72834495894436,105.13954217623531,29.271655041055645,-5.139542176236027,,,11.610593235501241,11.28494330700573
MNQ_MES__capped_overlay__core_default,MNQ_MES,pair,capped_overlay,core_default,MNQ_default|MES_default,MNQ|MES,MNQ:default|MES:default,2,MNQ_MES with capped_overlay on the default motor configs.,18392.22812499995,36.78445624999987,4.663628238753348,1.266705328257538,1.6073877958205431,4.188865145442365,2.2553565029690774,62.55859906462567,294,1390.25,2.2433912038974713,1390.25,-225.0,-125.0,216,41.77777777777778,12.821980538065256,0,0,0,True,614.0,1390.25,140.0,0,0,154,205.75,0.3418869725034759,0.34618171443236684,2.289639381797367,0.5151688609044075,0.28620492272467085,28.57142857142857,74.97949626481157,63.226038482287365,,,25.02050373518841,36.773961517712635,6648.271874999988,13.296543749999984,6.216983217020999,1.3382819193678088,1.6583501379466248,4.769055688217729,3.1645032964349626,118.71914062499978,56,735.9593749999985,1.3235258580042264,735.9593749999985,-217.25,-120.0,81,25.333333333333332,7.809523809523809,0,0,0,True,234.0,735.9593749999985,288.0,0,0,86,196.0,0.37957323246214775,0.3975596304628241,1.7142857142857144,0.19047619047619047,0.19047619047619047,36.58536585365854,60.52099065217593,11.15550705499182,,,39.47900934782407,-43.62715333302376,6.420446313030151,7.953622989971231
MNQ_MES__equal_weight_notional__core_default,MNQ_MES,pair,equal_weight_notional,core_default,MNQ_default|MES_default,MNQ|MES,MNQ:default|MES:default,2,MNQ_MES with equal_weight_notional on the default motor configs.,16169.409374999948,32.33881874999989,4.161608325746924,1.7108689875186778,2.7509992296466277,2.72655984250805,2.4574913804759286,36.09243164062489,448,750.0499999999956,1.283613936700756,750.0499999999956,-119.25,-62.5,262,24.51851851851852,19.404693760732687,0,0,0,True,581.0,750.0499999999956,70.0,0,0,0,0.0,0.35998833600925845,0.35571707061033736,3.3772180881511162,0.7441327990841442,0.5151688609044075,29.49852507374631,72.50102479392508,66.87720818612122,,,27.498975206074928,33.12279181387927,6423.065624999984,12.846131249999962,6.012760979762843,1.7648665560098984,3.2665442644647964,3.4938295923861356,2.634627803403845,45.232856514084396,142,451.75,0.8111717017791453,451.75,-112.5,-62.5,81,24.11764705882353,19.80952380952381,0,0,0,True,191.0,451.75,144.0,0,0,0,0.0,0.4317424715988547,0.4203330845640255,4.380952380952381,0.9523809523809524,0.5714285714285714,35.57692307692308,53.368013035052705,38.84892086330935,,,46.631986964947295,61.15107913669065,11.718200950074735,10.997906849039579
MNQ_MES__equal_weight_risk_budget__core_default,MNQ_MES,pair,equal_weight_risk_budget,core_default,MNQ_default|MES_default,MNQ|MES,MNQ:default|MES:default,2,MNQ_MES with equal_weight_risk_budget on the default motor configs.,17208.918749999946,34.41783749999991,4.398145147097088,1.7610333367306858,2.919647555904575,2.8191854041354087,2.538826693875982,38.41276506696418,448,786.2178571428594,1.3264565863785216,786.2178571428594,-114.50000000000001,-65.14285714285715,262,24.054545454545455,19.404693760732687,0,0,0,True,483.0,786.2178571428594,80.0,0,0,0,0.0,0.359988336009258,0.35571707061033747,3.3772180881511162,0.7441327990841442,0.5151688609044075,29.49852507374631,77.8532352591879,72.91508624018212,,,22.14676474081211,27.084913759817493,6484.874107142838,12.969748214285689,6.068852224332666,1.7748955809008777,3.270140583951109,3.5075185322717854,2.6303162738496013,45.66812751509041,142,437.35714285713766,0.7857298788391254,437.35714285713766,-111.42857142857144,-65.14285714285715,81,24.11764705882353,19.80952380952381,0,0,0,True,191.0,437.35714285713766,147.42857142857247,0,0,0,0.0,0.43174247159885554,0.42033308456402546,4.380952380952381,0.9523809523809524,0.5714285714285714,35.57692307692308,60.4106892151088,45.859872611465526,,,39.589310784891204,54.140127388535674,11.719935132637014,11.178992145032092
M2K_only__standalone__core_default,M2K_only,single,standalone,core_default,M2K_default,M2K,M2K:default,1,Standalone 50k sleeve for M2K_only.,11475.675000001409,22.95135000000283,3.052327290934853,1.133968667890358,0.9417749521011757,2.9195426009086667,1.5211241542165193,33.75198529412179,340,1556.0999999998821,3.0628203364689077,1556.0999999998821,-233.999999999985,-194.9999999999932,251,44.83870967741935,18.889524899828277,0,0,0,True,763.0,1556.0999999998821,1374.2749999996377,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,74.58068247541696,,,5674.625000000431,11.34925000000086,5.331013528745077,1.732727427153567,1.57385730470577,3.1439682402612563,1.9406755076669255,57.3194444444488,99,683.9999999999709,1.3529786360308327,683.9999999999709,-194.9999999999932,-194.9999999999932,139,26.071428571428573,18.476190476190478,0,0,0,True,282.0,683.9999999999709,274.699999999968,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,100.00000000000007,,,4.97732467156208,8.843534708614857
