variant_name,family,description,feature_key,horizon,context_key,parameters_json,skipped_trades,downscaled_trades,upscaled_trades,losers_avoided,winners_sacrificed,losers_avoided_usd,winners_sacrificed_usd,downscaled_losers,downscaled_winners,downsizing_loss_saved_usd,downsizing_profit_given_up_usd,upscaled_losers,upscaled_winners,upsizing_loss_added_usd,upsizing_profit_added_usd,overall_net_pnl,overall_sharpe,overall_sortino,overall_max_drawdown,overall_profit_factor,overall_win_rate,overall_average_trade,overall_trade_count,overall_n_days_traded,overall_participation_rate,overall_trades_per_month,overall_longest_losing_streak_trade,overall_longest_losing_streak_daily,is_net_pnl,is_sharpe,is_sortino,is_max_drawdown,is_profit_factor,is_win_rate,is_average_trade,is_trade_count,is_n_days_traded,is_participation_rate,is_trades_per_month,is_longest_losing_streak_trade,is_longest_losing_streak_daily,oos_net_pnl,oos_sharpe,oos_sortino,oos_max_drawdown,oos_profit_factor,oos_win_rate,oos_average_trade,oos_trade_count,oos_n_days_traded,oos_participation_rate,oos_trades_per_month,oos_longest_losing_streak_trade,oos_longest_losing_streak_daily,is_sharpe_delta_vs_baseline,oos_sharpe_delta_vs_baseline,is_profit_factor_delta_vs_baseline,oos_profit_factor_delta_vs_baseline,is_max_drawdown_improvement_vs_baseline,oos_max_drawdown_improvement_vs_baseline,is_trade_retention_vs_baseline,oos_trade_retention_vs_baseline,is_reference_variant,high_threshold,down_multiplier,low_threshold,up_multiplier,promotion_candidate,promotion_candidate_rank,oos_promotion_ready,support_cluster_count,is_screen_score
baseline,baseline,Unchanged audited M2K baseline after the existing ensemble selection.,baseline,baseline,,{},0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,267.5000000062537,0.004764866627367372,0.003741327559646262,-23820.99999999525,1.0010071194876917,0.4654320987654321,0.33024691358796754,810,810,0.4636519748139668,9.736691471093303,12,6,8425.00000000403,0.2190317992210799,0.16726256823386162,-19183.99999999895,1.047926639531964,0.4864376130198915,15.23508137432917,553,553,0.4525368248772504,9.503273322422258,7,4,-8157.499999997781,-0.46248920960504275,-0.38496075236395455,-14044.499999998035,0.9091789644787822,0.42023346303501946,-31.741245136178136,257,257,0.4895238095238095,10.28,12,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,,,,,False,,False,0.0,
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d50__high_atr,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,high_atr,"{""context_key"": ""high_atr"", ""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.85}",0,20,0,0,0,-0.0,0.0,10,10,3511.9999999999163,5398.49999999996,0,0,0.0,0.0,-1618.9999999937954,-0.029262099229930002,-0.022862630427606303,-25084.49999999527,0.993822897629527,0.4654320987654321,-1.9987654320911055,810,810,0.4636519748139668,9.736691471093303,12,6,6312.500000004036,0.1664093756789685,0.12618517105655305,-19276.499999998905,1.0362534207435852,0.4864376130198915,11.41500904159862,553,553,0.4525368248772504,9.503273322422258,7,4,-7931.499999997832,-0.4568646635278102,-0.38001080698603257,-13818.49999999809,0.9098442179925313,0.42023346303501946,-30.86186770427172,257,257,0.4895238095238095,10.28,12,6,-0.05262242354211141,0.005624546077232562,-0.011673218788378792,0.0006652535137491311,-0.0048217264386969045,0.0160917084979869,1.0,1.0,False,0.85,0.5,,,False,,False,0.0,0.04263206948086438
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d50__opening_gap,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,opening_gap,"{""context_key"": ""opening_gap"", ""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.85}",0,20,0,0,0,-0.0,0.0,12,8,4309.499999999902,4304.999999999998,0,0,0.0,0.0,272.00000000615273,0.004911035893150556,0.003851729942037463,-23472.999999995292,1.0010409510925438,0.4654320987654321,0.33580246914339845,810,810,0.4636519748139668,9.736691471093303,12,6,7425.50000000399,0.19550262551875447,0.1487147509317662,-19776.499999998894,1.0427357068038958,0.4864376130198915,13.427667269446637,553,553,0.4525368248772504,9.503273322422258,7,4,-7153.499999997837,-0.411792576499002,-0.3443097588868996,-13040.499999998094,0.9182882044194384,0.42023346303501946,-27.83463035018614,257,257,0.4895238095238095,10.28,12,6,-0.023529173702325434,0.05069663310604072,-0.005190932728068143,0.009109239940656155,-0.03088511259382704,0.07148705899106997,1.0,1.0,False,0.85,0.5,,,False,,False,0.0,0.059990083455147426
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d50__wide_or,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,wide_or,"{""context_key"": ""wide_or"", ""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.85}",0,7,0,0,0,-0.0,0.0,4,3,1249.4999999999834,1256.9999999999982,0,0,0.0,0.0,260.0000000062355,0.004647001758054318,0.003647882493590384,-23765.499999995256,1.0009835091986716,0.4654320987654321,0.3209876543286858,810,810,0.4636519748139668,9.736691471093303,12,6,8741.500000004022,0.2277451981344097,0.1740631733573041,-19183.99999999895,1.0499651332937274,0.4864376130198915,15.807414104889732,553,553,0.4525368248772504,9.503273322422258,7,4,-8481.499999997788,-0.4837646558553437,-0.4016462202160567,-14368.499999998043,0.905136593686234,0.42023346303501946,-33.00194552528322,257,257,0.4895238095238095,10.28,12,6,0.008713398913329784,-0.021275446250300922,0.00203849376176346,-0.004042370792548211,0.0,-0.023069528997120056,1.0,1.0,False,0.85,0.5,,,False,,False,0.0,0.10912109766568248
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d75__high_atr,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,high_atr,"{""context_key"": ""high_atr"", ""down_multiplier"": 0.75, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.85}",0,20,0,0,0,-0.0,0.0,10,10,1935.499999999954,2716.9999999999836,0,0,0.0,0.0,-513.9999999937809,-0.009236048075295442,-0.007233168197955966,-24402.4999999953,0.9980506194213911,0.4654320987654321,-0.63456790122689,810,810,0.4636519748139668,9.736691471093303,12,6,7472.0000000040245,0.19587766587267647,0.14901199569512152,-19234.99999999896,1.0427375603785531,0.4864376130198915,13.511754068723372,553,553,0.4525368248772504,9.503273322422258,7,4,-7985.999999997808,-0.4571170566085016,-0.3804226648295002,-13872.999999998065,0.9101070475804766,0.42023346303501946,-31.073929961080964,257,257,0.4895238095238095,10.28,12,6,-0.02315413334840344,0.005372152996541146,-0.005189079153410825,0.0009280831016943436,-0.0026584653878239006,0.012211185873473238,1.0,1.0,False,0.85,0.75,,,False,,False,0.0,0.07447881812700245
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d75__opening_gap,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,opening_gap,"{""context_key"": ""opening_gap"", ""down_multiplier"": 0.75, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.85}",0,20,0,0,0,-0.0,0.0,12,8,2250.499999999951,2146.999999999998,0,0,0.0,0.0,371.0000000061991,0.006661543185020294,0.005228179383487747,-23441.999999995238,1.001408726128096,0.4654320987654321,0.4580246913656779,810,810,0.4636519748139668,9.736691471093303,12,6,7950.500000004011,0.20823619746806313,0.15867415789628517,-19375.99999999889,1.0454982459955715,0.4864376130198915,14.377034358054269,553,553,0.4525368248772504,9.503273322422258,7,4,-7579.499999997809,-0.433649484376743,-0.3620423882397845,-13466.499999998057,0.9144675592870545,0.42023346303501946,-29.49221789882416,257,257,0.4895238095238095,10.28,12,6,-0.010795601753016776,0.02883972522829975,-0.002428393536392459,0.005288594808272262,-0.010008340283567155,0.04115490049485984,1.0,1.0,False,0.85,0.75,,,False,,False,0.0,0.08371454939792117
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d75__wide_or,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,wide_or,"{""context_key"": ""wide_or"", ""down_multiplier"": 0.75, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.85}",0,7,0,0,0,-0.0,0.0,4,3,542.499999999992,635.9999999999991,0,0,0.0,0.0,174.00000000624277,0.003105460223627136,0.0024377409230538776,-23856.499999995252,1.0006564390445651,0.4654320987654321,0.21481481482252193,810,810,0.4636519748139668,9.736691471093303,12,6,8493.500000004027,0.22106980842030308,0.16887553557674734,-19183.99999999895,1.0484089756231252,0.4864376130198915,15.358951175414154,553,553,0.4525368248772504,9.503273322422258,7,4,-8319.499999997784,-0.473376344361649,-0.3934253340393345,-14206.499999998043,0.9071624253042453,0.42023346303501946,-32.37159533073068,257,257,0.4895238095238095,10.28,12,6,0.002038009199223173,-0.010887134756606243,0.00048233609116121734,-0.0020165391745369243,0.0,-0.011534764498560286,1.0,1.0,False,0.85,0.75,,,False,,False,0.0,0.10213447641745542
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d50__high_atr,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,high_atr,"{""context_key"": ""high_atr"", ""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.9}",0,11,0,0,0,-0.0,0.0,5,6,1794.4999999999618,3798.499999999981,0,0,0.0,0.0,-1736.4999999937709,-0.031232824095955368,-0.024408280630614218,-25437.49999999529,0.9934177234382725,0.4654320987654321,-2.1438271604861368,810,810,0.4636519748139668,9.736691471093303,12,6,6105.000000004035,0.16036434023205634,0.12159204227460145,-19791.499999998956,1.0348771444730958,0.4864376130198915,11.039783001815616,553,553,0.4525368248772504,9.503273322422258,7,4,-7841.499999997806,-0.4482696804200776,-0.37321351403754705,-13728.499999998061,0.9116664695313469,0.42023346303501946,-30.511673151742436,257,257,0.4895238095238095,10.28,12,6,-0.05866745898902356,0.014219529184965163,-0.01304949505886821,0.002487505052564676,-0.031667014178484186,0.022499910997188847,1.0,1.0,False,0.9,0.5,,,False,,False,0.0,0.02288913490996071
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d50__opening_gap,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,opening_gap,"{""context_key"": ""opening_gap"", ""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.9}",0,13,0,0,0,-0.0,0.0,7,6,2626.999999999965,3124.999999999993,0,0,0.0,0.0,-230.49999999377633,-0.004143873513441906,-0.0032485822294909704,-23592.99999999524,0.9991235141568859,0.4654320987654321,-0.28456790122688436,810,810,0.4636519748139668,9.736691471093303,12,6,6545.000000004028,0.17207106449970502,0.13061535161617657,-19776.499999998894,1.0374782760565875,0.4864376130198915,11.835443037981968,553,553,0.4525368248772504,9.503273322422258,7,4,-6775.499999997808,-0.38607949631550287,-0.32378362056234217,-12662.499999998068,0.9233085259911371,0.42023346303501946,-26.363813229563455,257,257,0.4895238095238095,10.28,12,6,-0.04696073472137488,0.07640971328953988,-0.010448363475376476,0.014129561512354893,-0.03088511259382704,0.09840150948771124,1.0,1.0,False,0.9,0.5,,,False,,False,0.0,0.03550703628663632
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d50__wide_or,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,wide_or,"{""context_key"": ""wide_or"", ""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.9}",0,4,0,0,0,-0.0,0.0,2,2,493.49999999999795,521.0000000000036,0,0,0.0,0.0,240.0000000062446,0.0042794416942073645,0.0033600745530623904,-23441.499999995252,1.0009052658181294,0.4654320987654321,0.29629629630400567,810,810,0.4636519748139668,9.736691471093303,12,6,8397.500000004025,0.21865340399914626,0.16696833690841303,-19183.99999999895,1.04790468692956,0.4864376130198915,15.185352622068763,553,553,0.4525368248772504,9.503273322422258,7,4,-8157.499999997781,-0.46248920960504275,-0.38496075236395455,-14044.499999998035,0.9091789644787822,0.42023346303501946,-31.741245136178136,257,257,0.4895238095238095,10.28,12,6,-0.0003783952219336417,0.0,-2.1952602403896293e-05,0.0,0.0,0.0,1.0,1.0,False,0.9,0.5,,,False,,False,0.0,0.09961721425758559
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d75__high_atr,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,high_atr,"{""context_key"": ""high_atr"", ""down_multiplier"": 0.75, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.9}",0,11,0,0,0,-0.0,0.0,5,6,995.9999999999786,1916.9999999999936,0,0,0.0,0.0,-653.4999999937672,-0.01170811888574763,-0.00916919485910736,-24634.999999995285,0.9975303556514843,0.4654320987654321,-0.8067901234490954,810,810,0.4636519748139668,9.736691471093303,12,6,7287.500000004026,0.1906213619890946,0.14497724182592361,-19548.49999999896,1.0415535763160533,0.4864376130198915,13.178119349012706,553,553,0.4525368248772504,9.503273322422258,7,4,-7940.999999997795,-0.45249910801916376,-0.37678884999915235,-13827.99999999805,0.9110122482826851,0.42023346303501946,-30.898832684816323,257,257,0.4895238095238095,10.28,12,6,-0.028410437231985303,0.009990101585878985,-0.00637306321591069,0.0018332838039029076,-0.01900020850709085,0.015415287123074209,1.0,1.0,False,0.9,0.75,,,False,,False,0.0,0.06081484587128714
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d75__opening_gap,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,opening_gap,"{""context_key"": ""opening_gap"", ""down_multiplier"": 0.75, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.9}",0,13,0,0,0,-0.0,0.0,7,6,1430.4999999999814,1556.999999999996,0,0,0.0,0.0,141.0000000062346,0.0025254805418036775,0.0019815767800606143,-23501.999999995227,1.0005337300348296,0.4654320987654321,0.17407407408177109,810,810,0.4636519748139668,9.736691471093303,12,6,7531.500000004029,0.1971030895789462,0.1500133242633363,-19375.999999998898,1.042997339605646,0.4864376130198915,13.619349005432241,553,553,0.4525368248772504,9.503273322422258,7,4,-7390.4999999977945,-0.42033753824091574,-0.35152944663191715,-13277.49999999805,0.9169760662349339,0.42023346303501946,-28.75680933851282,257,257,0.4895238095238095,10.28,12,6,-0.021928709642133698,0.04215167136412701,-0.004929299926317965,0.00779710175615167,-0.010008340283567535,0.054612125743180084,1.0,1.0,False,0.9,0.75,,,False,,False,0.0,0.07208126023081896
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d75__wide_or,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,wide_or,"{""context_key"": ""wide_or"", ""down_multiplier"": 0.75, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.9}",0,4,0,0,0,-0.0,0.0,2,2,164.49999999999932,268.0000000000018,0,0,0.0,0.0,164.00000000625005,0.0029228761242599396,0.0022947344050369004,-23694.49999999525,1.000617831599473,0.4654320987654321,0.20246913581018525,810,810,0.4636519748139668,9.736691471093303,12,6,8321.500000004029,0.21651849287315567,0.1653145394055957,-19183.99999999895,1.0473822064057177,0.4864376130198915,15.04792043400367,553,553,0.4525368248772504,9.503273322422258,7,4,-8157.499999997781,-0.46248920960504275,-0.38496075236395455,-14044.499999998035,0.9091789644787822,0.42023346303501946,-31.741245136178136,257,257,0.4895238095238095,10.28,12,6,-0.002513306347924238,0.0,-0.000544433126246302,0.0,0.0,0.0,1.0,1.0,False,0.9,0.75,,,False,,False,0.0,0.09737780702682651
conditional_downsize_with_context__rs_minus_share_pct__30m__t95__d50__high_atr,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,high_atr,"{""context_key"": ""high_atr"", ""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.95}",0,3,0,0,0,-0.0,0.0,3,0,1094.4999999999754,0.0,0,0,0.0,0.0,1362.0000000062282,0.024291231347587903,0.019108965823693386,-23472.999999995256,1.005149056100918,0.4654320987654321,1.6814814814891705,810,810,0.4636519748139668,9.736691471093303,12,6,9171.500000004015,0.2387472882792199,0.1826668985620406,-19183.999999998952,1.0523956970573183,0.4864376130198915,16.58499095841594,553,553,0.4525368248772504,9.503273322422258,7,4,-7809.499999997788,-0.4432831970632044,-0.3696375935190115,-13696.499999998043,0.9127152221657397,0.42023346303501946,-30.387159533065322,257,257,0.4895238095238095,10.28,12,6,0.019715489058139996,0.019206012541838346,0.004469057525354314,0.0035362576869575335,-1.8963609294682613e-16,0.02477838299690565,1.0,1.0,False,0.95,0.5,,,False,,False,0.0,0.12060930056321077
conditional_downsize_with_context__rs_minus_share_pct__30m__t95__d50__opening_gap,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,opening_gap,"{""context_key"": ""opening_gap"", ""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.95}",0,4,0,0,0,-0.0,0.0,3,1,1159.4999999999811,90.0000000000091,0,0,0.0,0.0,1337.0000000062228,0.023849251200977417,0.01876477849170453,-23142.99999999527,1.0050557856982383,0.4654320987654321,1.6506172839582998,810,810,0.4636519748139668,9.736691471093303,12,6,9212.00000000402,0.2398310021839997,0.18352981882204444,-19183.999999998956,1.0526392480107667,0.4864376130198915,16.658227848108535,553,553,0.4525368248772504,9.503273322422258,7,4,-7874.999999997799,-0.44711513136508935,-0.37290023686910084,-13761.999999998057,0.9119590371952326,0.42023346303501946,-30.642023346294938,257,257,0.4895238095238095,10.28,12,6,0.02079920296291979,0.015374078239953404,0.004712608478802727,0.0027800727164504213,-3.7927218589365225e-16,0.02011463562248693,1.0,1.0,False,0.95,0.5,,,False,,False,0.0,0.12174172465868015
conditional_downsize_with_context__rs_minus_share_pct__30m__t95__d50__wide_or,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,wide_or,"{""context_key"": ""wide_or"", ""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.95}",0,0,0,0,0,-0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,267.5000000062537,0.004764866627367372,0.003741327559646262,-23820.99999999525,1.0010071194876917,0.4654320987654321,0.33024691358796754,810,810,0.4636519748139668,9.736691471093303,12,6,8425.00000000403,0.2190317992210799,0.16726256823386162,-19183.99999999895,1.047926639531964,0.4864376130198915,15.23508137432917,553,553,0.4525368248772504,9.503273322422258,7,4,-8157.499999997781,-0.46248920960504275,-0.38496075236395455,-14044.499999998035,0.9091789644787822,0.42023346303501946,-31.741245136178136,257,257,0.4895238095238095,10.28,12,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,0.95,0.5,,,False,,False,0.0,0.1
conditional_downsize_with_context__rs_minus_share_pct__30m__t95__d75__high_atr,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,high_atr,"{""context_key"": ""high_atr"", ""down_multiplier"": 0.75, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.95}",0,3,0,0,0,-0.0,0.0,3,0,587.4999999999864,0.0,0,0,0.0,0.0,855.0000000062391,0.015241683856228318,0.011981577828620896,-23646.999999995256,1.003226153349846,0.4654320987654321,1.055555555563258,810,810,0.4636519748139668,9.736691471093303,12,6,8838.500000004022,0.2299721304037835,0.1758327755579143,-19183.999999998956,1.0503974318036915,0.4864376130198915,15.982820976499136,553,553,0.4525368248772504,9.503273322422258,7,4,-7983.4999999977845,-0.4529376856450616,-0.3774038495987626,-13870.49999999804,0.9109436614219563,0.42023346303501946,-31.06420233462173,257,257,0.4895238095238095,10.28,12,6,0.0109403311827036,0.009551523959981156,0.002470792271727529,0.001764696943174049,-3.7927218589365225e-16,0.012389191498452825,1.0,1.0,False,0.95,0.75,,,False,,False,0.0,0.11143448963704893
conditional_downsize_with_context__rs_minus_share_pct__30m__t95__d75__opening_gap,conditional_downsize_with_context,Downsize only when downside semivariance is elevated and a context regime confirms it.,rs_minus_share_pct,30m,opening_gap,"{""context_key"": ""opening_gap"", ""down_multiplier"": 0.75, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.95}",0,4,0,0,0,-0.0,0.0,3,1,666.9999999999891,36.00000000000364,0,0,0.0,0.0,898.5000000062373,0.016019575709737704,0.01259558600021265,-23407.499999995263,1.0033913082863655,0.4654320987654321,1.1092592592669597,810,810,0.4636519748139668,9.736691471093303,12,6,8868.500000004024,0.23077431569513532,0.17647083621241774,-19183.999999998956,1.0505771446169527,0.4864376130198915,16.037070524419573,553,553,0.4525368248772504,9.503273322422258,7,4,-7969.99999999779,-0.45229476054428347,-0.3769856714830091,-13856.999999998046,0.911045135943591,0.42023346303501946,-31.01167315174237,257,257,0.4895238095238095,10.28,12,6,0.011742516474055414,0.01019444906075928,0.0026505050849887635,0.0018661714648088301,-3.7927218589365225e-16,0.013350421873332288,1.0,1.0,False,0.95,0.75,,,False,,False,0.0,0.11227261749105298
