variant_name,family,feature_key,horizon,context_key,high_threshold,low_threshold,up_multiplier,down_multiplier,promotion_candidate,oos_promotion_ready,support_cluster_count,is_screen_score,is_sharpe,oos_sharpe,oos_sharpe_delta_vs_baseline,oos_net_pnl,oos_max_drawdown,oos_max_drawdown_improvement_vs_baseline,oos_profit_factor,oos_trade_count
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d50__high_atr,conditional_downsize_with_context,rs_minus_share_pct,30m,high_atr,0.85,,,0.5,False,False,0.0,0.04263206948086438,0.1664093756789685,-0.4568646635278102,0.005624546077232562,-7931.499999997832,-13818.49999999809,0.0160917084979869,0.9098442179925313,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d50__opening_gap,conditional_downsize_with_context,rs_minus_share_pct,30m,opening_gap,0.85,,,0.5,False,False,0.0,0.059990083455147426,0.19550262551875447,-0.411792576499002,0.05069663310604072,-7153.499999997837,-13040.499999998094,0.07148705899106997,0.9182882044194384,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d50__wide_or,conditional_downsize_with_context,rs_minus_share_pct,30m,wide_or,0.85,,,0.5,False,False,0.0,0.10912109766568248,0.2277451981344097,-0.4837646558553437,-0.021275446250300922,-8481.499999997788,-14368.499999998043,-0.023069528997120056,0.905136593686234,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d75__high_atr,conditional_downsize_with_context,rs_minus_share_pct,30m,high_atr,0.85,,,0.75,False,False,0.0,0.07447881812700245,0.19587766587267647,-0.4571170566085016,0.005372152996541146,-7985.999999997808,-13872.999999998065,0.012211185873473238,0.9101070475804766,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d75__opening_gap,conditional_downsize_with_context,rs_minus_share_pct,30m,opening_gap,0.85,,,0.75,False,False,0.0,0.08371454939792117,0.20823619746806313,-0.433649484376743,0.02883972522829975,-7579.499999997809,-13466.499999998057,0.04115490049485984,0.9144675592870545,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d75__wide_or,conditional_downsize_with_context,rs_minus_share_pct,30m,wide_or,0.85,,,0.75,False,False,0.0,0.10213447641745542,0.22106980842030308,-0.473376344361649,-0.010887134756606243,-8319.499999997784,-14206.499999998043,-0.011534764498560286,0.9071624253042453,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d50__high_atr,conditional_downsize_with_context,rs_minus_share_pct,30m,high_atr,0.9,,,0.5,False,False,0.0,0.02288913490996071,0.16036434023205634,-0.4482696804200776,0.014219529184965163,-7841.499999997806,-13728.499999998061,0.022499910997188847,0.9116664695313469,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d50__opening_gap,conditional_downsize_with_context,rs_minus_share_pct,30m,opening_gap,0.9,,,0.5,False,False,0.0,0.03550703628663632,0.17207106449970502,-0.38607949631550287,0.07640971328953988,-6775.499999997808,-12662.499999998068,0.09840150948771124,0.9233085259911371,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d50__wide_or,conditional_downsize_with_context,rs_minus_share_pct,30m,wide_or,0.9,,,0.5,False,False,0.0,0.09961721425758559,0.21865340399914626,-0.46248920960504275,0.0,-8157.499999997781,-14044.499999998035,0.0,0.9091789644787822,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d75__high_atr,conditional_downsize_with_context,rs_minus_share_pct,30m,high_atr,0.9,,,0.75,False,False,0.0,0.06081484587128714,0.1906213619890946,-0.45249910801916376,0.009990101585878985,-7940.999999997795,-13827.99999999805,0.015415287123074209,0.9110122482826851,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d75__opening_gap,conditional_downsize_with_context,rs_minus_share_pct,30m,opening_gap,0.9,,,0.75,False,False,0.0,0.07208126023081896,0.1971030895789462,-0.42033753824091574,0.04215167136412701,-7390.4999999977945,-13277.49999999805,0.054612125743180084,0.9169760662349339,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d75__wide_or,conditional_downsize_with_context,rs_minus_share_pct,30m,wide_or,0.9,,,0.75,False,False,0.0,0.09737780702682651,0.21651849287315567,-0.46248920960504275,0.0,-8157.499999997781,-14044.499999998035,0.0,0.9091789644787822,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t95__d50__high_atr,conditional_downsize_with_context,rs_minus_share_pct,30m,high_atr,0.95,,,0.5,False,False,0.0,0.12060930056321077,0.2387472882792199,-0.4432831970632044,0.019206012541838346,-7809.499999997788,-13696.499999998043,0.02477838299690565,0.9127152221657397,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t95__d50__opening_gap,conditional_downsize_with_context,rs_minus_share_pct,30m,opening_gap,0.95,,,0.5,False,False,0.0,0.12174172465868015,0.2398310021839997,-0.44711513136508935,0.015374078239953404,-7874.999999997799,-13761.999999998057,0.02011463562248693,0.9119590371952326,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t95__d50__wide_or,conditional_downsize_with_context,rs_minus_share_pct,30m,wide_or,0.95,,,0.5,False,False,0.0,0.1,0.2190317992210799,-0.46248920960504275,0.0,-8157.499999997781,-14044.499999998035,0.0,0.9091789644787822,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t95__d75__high_atr,conditional_downsize_with_context,rs_minus_share_pct,30m,high_atr,0.95,,,0.75,False,False,0.0,0.11143448963704893,0.2299721304037835,-0.4529376856450616,0.009551523959981156,-7983.4999999977845,-13870.49999999804,0.012389191498452825,0.9109436614219563,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t95__d75__opening_gap,conditional_downsize_with_context,rs_minus_share_pct,30m,opening_gap,0.95,,,0.75,False,False,0.0,0.11227261749105298,0.23077431569513532,-0.45229476054428347,0.01019444906075928,-7969.99999999779,-13856.999999998046,0.013350421873332288,0.911045135943591,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t95__d75__wide_or,conditional_downsize_with_context,rs_minus_share_pct,30m,wide_or,0.95,,,0.75,False,False,0.0,0.1,0.2190317992210799,-0.46248920960504275,0.0,-8157.499999997781,-14044.499999998035,0.0,0.9091789644787822,257
