variant_name,family,description,feature_key,horizon,context_key,parameters_json,skipped_trades,downscaled_trades,upscaled_trades,losers_avoided,winners_sacrificed,losers_avoided_usd,winners_sacrificed_usd,downscaled_losers,downscaled_winners,downsizing_loss_saved_usd,downsizing_profit_given_up_usd,upscaled_losers,upscaled_winners,upsizing_loss_added_usd,upsizing_profit_added_usd,overall_net_pnl,overall_sharpe,overall_sortino,overall_max_drawdown,overall_profit_factor,overall_win_rate,overall_average_trade,overall_trade_count,overall_n_days_traded,overall_participation_rate,overall_trades_per_month,overall_longest_losing_streak_trade,overall_longest_losing_streak_daily,is_net_pnl,is_sharpe,is_sortino,is_max_drawdown,is_profit_factor,is_win_rate,is_average_trade,is_trade_count,is_n_days_traded,is_participation_rate,is_trades_per_month,is_longest_losing_streak_trade,is_longest_losing_streak_daily,oos_net_pnl,oos_sharpe,oos_sortino,oos_max_drawdown,oos_profit_factor,oos_win_rate,oos_average_trade,oos_trade_count,oos_n_days_traded,oos_participation_rate,oos_trades_per_month,oos_longest_losing_streak_trade,oos_longest_losing_streak_daily,is_sharpe_delta_vs_baseline,oos_sharpe_delta_vs_baseline,is_profit_factor_delta_vs_baseline,oos_profit_factor_delta_vs_baseline,is_max_drawdown_improvement_vs_baseline,oos_max_drawdown_improvement_vs_baseline,is_trade_retention_vs_baseline,oos_trade_retention_vs_baseline,is_reference_variant,high_threshold,down_multiplier,low_threshold,up_multiplier,promotion_candidate,promotion_candidate_rank,oos_promotion_ready,is_screen_score,support_cluster_count
downside_downsize__rs_minus_pct__session__t90__d50,downside_downsize,Reduce size when downside semivariance percentile is elevated.,rs_minus_pct,session,,"{""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_pct"", ""high_threshold"": 0.9}",0,57,0,0,0,-0.0,0.0,28,29,6830.499999999867,7660.50000000002,0,0,0.0,0.0,-562.4999999939027,-0.010207697530300494,-0.008008781440617585,-22637.49999999537,0.997826326375669,0.4654320987654321,-0.694444444436917,810,810,0.4636519748139668,9.736691471093303,12,6,9338.000000003945,0.24556283883216873,0.18823282573942673,-17746.499999998978,1.0543336591723929,0.4864376130198915,16.886075949374224,553,553,0.4525368248772504,9.503273322422258,7,4,-9900.49999999785,-0.5806219263684951,-0.4781023971891094,-15104.49999999808,0.8860892026071814,0.42023346303501946,-38.52334630349358,257,257,0.4895238095238095,10.28,12,6,0.026531039611088825,-0.11813271676345233,0.00640701964042889,-0.023089761871600833,0.07493223519599926,-0.07547438499057937,1.0,1.0,False,0.9,0.5,,,True,1,False,0.16527856113717423,4
downside_downsize__rs_minus_share_pct__90m__t95__d50,downside_downsize,Reduce size when downside semivariance percentile is elevated.,rs_minus_share_pct,90m,,"{""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.95}",0,38,0,0,0,-0.0,0.0,22,16,6876.499999999849,5748.000000000066,0,0,0.0,0.0,1396.0000000060336,0.0252975281149254,0.019899502917912166,-22545.99999999589,1.0053955339974918,0.4654320987654321,1.7234567901309057,810,810,0.4636519748139668,9.736691471093303,12,6,10014.000000003942,0.2637868881506449,0.20246354850201237,-18633.499999999407,1.0583608945873337,0.4864376130198915,18.108499095847996,553,553,0.4525368248772504,9.503273322422258,7,4,-8617.99999999791,-0.5013248523795932,-0.41515192703508724,-13684.999999998174,0.901107349819288,0.42023346303501946,-33.533073929952955,257,257,0.4895238095238095,10.28,12,6,0.04475508892956498,-0.03883564277455048,0.010434255055369768,-0.008071614659494242,0.02869578815677501,0.025597208871794085,1.0,1.0,False,0.95,0.5,,,True,2,False,0.16118983401902645,2
downside_downsize__rs_ratio_pct__90m__t95__d50,downside_downsize,Reduce size when downside semivariance percentile is elevated.,rs_ratio_pct,90m,,"{""down_multiplier"": 0.5, ""feature_key"": ""rs_ratio_pct"", ""high_threshold"": 0.95}",0,38,0,0,0,-0.0,0.0,22,16,6876.499999999849,5748.000000000066,0,0,0.0,0.0,1396.0000000060336,0.0252975281149254,0.019899502917912166,-22545.99999999589,1.0053955339974918,0.4654320987654321,1.7234567901309057,810,810,0.4636519748139668,9.736691471093303,12,6,10014.000000003942,0.2637868881506449,0.20246354850201237,-18633.499999999407,1.0583608945873337,0.4864376130198915,18.108499095847996,553,553,0.4525368248772504,9.503273322422258,7,4,-8617.99999999791,-0.5013248523795932,-0.41515192703508724,-13684.999999998174,0.901107349819288,0.42023346303501946,-33.533073929952955,257,257,0.4895238095238095,10.28,12,6,0.04475508892956498,-0.03883564277455048,0.010434255055369768,-0.008071614659494242,0.02869578815677501,0.025597208871794085,1.0,1.0,False,0.95,0.5,,,True,3,False,0.16118983401902645,2
downside_downsize__rs_minus_share_pct__session__t90__d50,downside_downsize,Reduce size when downside semivariance percentile is elevated.,rs_minus_share_pct,session,,"{""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.9}",0,80,0,0,0,-0.0,0.0,44,36,14110.999999999663,12503.500000000064,0,0,0.0,0.0,1875.0000000058499,0.03464753996008432,0.02731771304949372,-20611.49999999605,1.0074553276765854,0.4654320987654321,2.3148148148220367,810,810,0.4636519748139668,9.736691471093303,12,6,9040.500000003849,0.2418707608834615,0.18536670795029866,-18044.999999999436,1.053714183859923,0.4864376130198915,16.348101265829744,553,553,0.4525368248772504,9.503273322422258,7,4,-7165.499999998001,-0.4285796655190387,-0.3584748754625246,-12446.499999998246,0.9138663669529791,0.42023346303501946,-27.881322957190665,257,257,0.4895238095238095,10.28,12,6,0.022838961662381585,0.03390954408600405,0.005787544327959138,0.004687402474196856,0.05937239366136233,0.11378119548577824,1.0,1.0,False,0.9,0.5,,,True,4,True,0.15368266735865457,2
downside_downsize__rs_ratio_pct__session__t90__d50,downside_downsize,Reduce size when downside semivariance percentile is elevated.,rs_ratio_pct,session,,"{""down_multiplier"": 0.5, ""feature_key"": ""rs_ratio_pct"", ""high_threshold"": 0.9}",0,80,0,0,0,-0.0,0.0,44,36,14110.999999999663,12503.500000000064,0,0,0.0,0.0,1875.0000000058499,0.03464753996008432,0.02731771304949372,-20611.49999999605,1.0074553276765854,0.4654320987654321,2.3148148148220367,810,810,0.4636519748139668,9.736691471093303,12,6,9040.500000003849,0.2418707608834615,0.18536670795029866,-18044.999999999436,1.053714183859923,0.4864376130198915,16.348101265829744,553,553,0.4525368248772504,9.503273322422258,7,4,-7165.499999998001,-0.4285796655190387,-0.3584748754625246,-12446.499999998246,0.9138663669529791,0.42023346303501946,-27.881322957190665,257,257,0.4895238095238095,10.28,12,6,0.022838961662381585,0.03390954408600405,0.005787544327959138,0.004687402474196856,0.05937239366136233,0.11378119548577824,1.0,1.0,False,0.9,0.5,,,True,5,True,0.15368266735865457,2
downside_downsize__rs_minus_pct__30m__t85__d50,downside_downsize,Reduce size when downside semivariance percentile is elevated.,rs_minus_pct,30m,,"{""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_pct"", ""high_threshold"": 0.85}",0,76,0,0,0,-0.0,0.0,44,32,14723.499999999784,11842.000000000095,0,0,0.0,0.0,3149.000000005937,0.0582548740052759,0.04594916948973024,-19735.999999995503,1.012551542436713,0.4654320987654321,3.8876543209949843,810,810,0.4636519748139668,9.736691471093303,12,6,8864.000000003849,0.23785725985083941,0.18201506243327326,-17934.99999999897,1.0528216435254396,0.4864376130198915,16.028933092231192,553,553,0.4525368248772504,9.503273322422258,7,4,-5714.999999997912,-0.3408001165589009,-0.2863781787163133,-10417.999999998156,0.9312071549373995,0.42023346303501946,-22.237354085594987,257,257,0.4895238095238095,10.28,12,6,0.01882546062975951,0.12168909304614184,0.004895003993475644,0.02202819045861726,0.06510633861551536,0.2582149595927507,1.0,1.0,False,0.85,0.5,,,True,6,True,0.15235763073621233,4
downside_downsize__rs_minus_pct__session__t95__d50,downside_downsize,Reduce size when downside semivariance percentile is elevated.,rs_minus_pct,session,,"{""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_pct"", ""high_threshold"": 0.95}",0,26,0,0,0,-0.0,0.0,13,13,2897.9999999999495,3773.9999999999927,0,0,0.0,0.0,-608.4999999937954,-0.01093891613295908,-0.008570522885767795,-23808.499999995285,0.9976837665724166,0.4654320987654321,-0.7512345678935746,810,810,0.4636519748139668,9.736691471093303,12,6,9282.500000004009,0.2422333549342084,0.18533337977151312,-18299.99999999896,1.0532708564083084,0.4864376130198915,16.785714285721536,553,553,0.4525368248772504,9.503273322422258,7,4,-9890.999999997803,-0.5725033280576073,-0.47131561093304525,-15010.999999998046,0.8881867510739532,0.42023346303501946,-38.486381322948645,257,257,0.4895238095238095,10.28,12,6,0.023201555713128486,-0.11001411845256454,0.005344216876344454,-0.02099221340482904,0.04608006672227052,-0.06881697461640827,1.0,1.0,False,0.95,0.5,,,True,7,False,0.14731043244953265,4
downside_three_state__rs_minus_pct__30m__t85__lo25__u125__d50,downside_three_state,Conservative three-state sizing using low / neutral / high downside semivariance.,rs_minus_pct,30m,,"{""down_multiplier"": 0.5, ""feature_key"": ""rs_minus_pct"", ""high_threshold"": 0.85, ""low_threshold"": 0.25, ""up_multiplier"": 1.25}",0,76,232,0,0,-0.0,0.0,44,32,14723.499999999784,11842.000000000095,119,113,18180.499999999523,18982.500000000015,3951.0000000064238,0.0677351906438326,0.05339042949030059,-20172.99999999508,1.0146841295444484,0.4654320987654321,4.877777777785709,810,810,0.4636519748139668,9.736691471093303,12,6,9792.000000004151,0.2458584368892483,0.18785376123848768,-18482.999999998807,1.0548414738646343,0.4864376130198915,17.707052441237163,553,553,0.4525368248772504,9.503273322422258,7,4,-5840.999999997718,-0.3164468120821281,-0.2662388748717229,-11389.999999997974,0.9354692592388237,0.42023346303501946,-22.727626459135088,257,257,0.4895238095238095,10.28,12,6,0.026826637668168396,0.14604239752291465,0.006914834332670372,0.02629029476004152,0.03654086738950064,0.18900637260140504,1.0,1.0,False,0.85,0.5,0.25,1.25,True,8,True,0.1464800382294528,2
downside_downsize__rs_minus_pct__session__t90__d75,downside_downsize,Reduce size when downside semivariance percentile is elevated.,rs_minus_pct,session,,"{""down_multiplier"": 0.75, ""feature_key"": ""rs_minus_pct"", ""high_threshold"": 0.9}",0,57,0,0,0,-0.0,0.0,28,29,3712.9999999999313,3758.5000000000127,0,0,0.0,0.0,222.00000000616637,0.0039980191079686585,0.003140041980258276,-22887.499999995314,1.000847664721898,0.4654320987654321,0.2740740740816869,810,810,0.4636519748139668,9.736691471093303,12,6,9128.000000003987,0.238932429603135,0.18298010158976583,-18313.49999999897,1.0525759508799855,0.4864376130198915,16.506329113931262,553,553,0.4525368248772504,9.503273322422258,7,4,-8905.999999997819,-0.5149685808964535,-0.4263663841483735,-14374.999999998065,0.8991170190472633,0.42023346303501946,-34.65369649804599,257,257,0.4895238095238095,10.28,12,6,0.019900630382055084,-0.052479371291410726,0.00464931134802149,-0.010061945431518948,0.045376355296081416,-0.02353234362206382,1.0,1.0,False,0.9,0.75,,,True,9,False,0.1435186702997001,4
downside_downsize__rs_minus_share_pct__90m__t95__d75,downside_downsize,Reduce size when downside semivariance percentile is elevated.,rs_minus_share_pct,90m,,"{""down_multiplier"": 0.75, ""feature_key"": ""rs_minus_share_pct"", ""high_threshold"": 0.95}",0,38,0,0,0,-0.0,0.0,22,16,3522.499999999924,2952.0000000000337,0,0,0.0,0.0,838.0000000061373,0.01508097234860061,0.011853997395045014,-23108.999999995805,1.0031974176464875,0.4654320987654321,1.0345679012421447,810,810,0.4636519748139668,9.736691471093303,12,6,9317.000000003984,0.24412966882210024,0.1870155365934512,-18807.499999999407,1.0536713644232312,0.4864376130198915,16.84810126582999,553,553,0.4525368248772504,9.503273322422258,7,4,-8478.999999997843,-0.4881473480062306,-0.40496139065612335,-13955.999999998108,0.9041845117693138,0.42023346303501946,-32.99221789882429,257,257,0.4895238095238095,10.28,12,6,0.02509786960102034,-0.025658138401187858,0.0057447248912672055,-0.004994452709468411,0.019625729774789526,0.006301399124208026,1.0,1.0,False,0.95,0.75,,,True,10,False,0.13605967946666855,2
