scope,net_pnl,sharpe,sortino,profit_factor,expectancy,max_drawdown,n_trades,n_days_traded,pct_days_traded,worst_day,longest_losing_streak_daily,median_recovery_days,max_recovery_days,daily_loss_limit_breach_freq,days_to_profit_target,profit_target_reached_before_max_loss,max_loss_limit_buffer_usd
overall,41727.5,0.696199860936124,0.6589596893921045,1.1364611505544782,36.79673721340388,-11848.75,1134,1134,0.6491127647395535,-750.0,8,10.0,446.0,0.0,470.0,False,-1919.5
is,8206.0,0.19839338346959168,0.1854543816867014,1.036856052099708,10.322012578616352,-11848.75,795,795,0.6505728314238952,-750.0,8,24.5,403.0,0.0,470.0,False,-1919.5
oos,33521.5,1.8125349004549762,1.7566639389899024,1.4032273585700024,98.8834808259587,-9757.25,339,339,0.6457142857142857,-749.0,7,3.0,222.0,0.0,35.0,True,467.25
