variant_name,ema_fast,ema_slow,slope_lookback,pullback_lookback,pb_min_atr,target_r,asset_count,oos_positive_assets,oos_profit_factor_gt_1_assets,oos_total_trades,oos_total_net_pnl,oos_median_profit_factor,oos_median_sharpe,oos_mean_expectancy,oos_median_win_rate,oos_worst_max_drawdown,oos_median_holding_minutes,oos_median_time_in_market_pct,oos_median_top_5_day_contribution_pct,best_asset_symbol,best_asset_oos_total_trades,best_asset_oos_net_pnl,best_asset_oos_profit_factor,best_asset_oos_sharpe,best_asset_oos_average_trade,best_asset_oos_top_5_day_contribution_pct,best_asset_oos_pnl_excluding_top_5_days,worst_asset_symbol,worst_asset_oos_net_pnl,portfolio_pass,mono_asset_pass,pass_screening,screening_score
impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,4,0,0,997,-6126.713541666197,0.7564866777782435,-1.152745120615024,-5.899700863185217,0.3761366067608044,-2752.0255208332965,50.0,0.046630036630036634,0.6171786984698702,MES,225,-792.8437500000064,0.8367897021384715,-0.6245005592878456,-3.523750000000028,-1.321119585353357,-1840.2851562500155,MGC,-2521.7562499997825,False,False,False,-1.756735045579481
impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,4,0,0,1863,-10957.359114582463,0.6919444169603335,-1.8619041601396333,-5.779481847899895,0.35419976828864613,-4338.127083332904,45.0,0.08676434676434677,0.4327730299042889,MNQ,440,-1779.9734374999534,0.8966064218245053,-0.5938234415644391,-4.0453941761362575,-1.3204638763043604,-4130.364062499939,MGC,-4125.435416666198,False,False,False,-2.269970986936602
impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,4,0,0,1822,-10538.512239582487,0.6969092599024991,-1.760573917892225,-5.7123244756083436,0.3583341367010508,-3950.501041666248,45.0,0.08586080586080586,0.44049754009348396,MNQ,435,-1872.2322916666308,0.8908196548834352,-0.6256936365208978,-4.303982279693404,-1.2553947688337892,-4222.622916666616,MGC,-3726.0593749995382,False,False,False,-2.3397791086410313
impc_ef8_es21_sl5_pb5_pm0p5_tr2p0,8,21,5,5,0.5,2.0,4,0,0,774,-6531.752083333062,0.6964530302687357,-1.2390380599194937,-8.035145992025624,0.37355182926829267,-3256.8802083333285,45.0,0.033113553113553115,0.643185905962425,M2K,160,-474.6937499998853,0.7599245170895937,-0.9396701250545172,-2.966835937499283,-0.8345468350210477,-870.847916666562,MNQ,-2821.3656249999913,False,False,False,-2.398635721207775
impc_ef8_es21_sl5_pb5_pm0p3_tr2p0,8,21,5,5,0.3,2.0,4,0,0,777,-6555.086458333057,0.6984573009069417,-1.241498941512891,-8.042250561186597,0.3723678230571126,-3256.8802083333285,45.0,0.03332112332112332,0.636585731358192,M2K,161,-498.77812499988295,0.7507795507102704,-0.9851951535209712,-3.0980007763967885,-0.7942492800115676,-894.9322916665596,MNQ,-2821.3656249999913,False,False,False,-2.46259925335074
impc_ef12_es34_sl3_pb3_pm0p3_tr2p5,12,34,3,3,0.3,2.5,4,0,0,2215,-12284.501562498943,0.6929987520712397,-2.0854090125997304,-5.486536262095845,0.36623229897431653,-4187.80104166612,45.0,0.10333333333333333,0.27981101681962156,MNQ,535,-2037.3364583332877,0.9011535687916992,-0.6644459357215643,-3.8081055295949304,-1.0390780343821207,-4154.288020833272,MES,-4126.635416666686,False,False,False,-2.4713815526981824
impc_ef8_es21_sl5_pb5_pm0p5_tr1p5,8,21,5,5,0.5,1.5,4,0,0,777,-7009.264322916412,0.64341660015399,-1.539073170863823,-8.68504595071867,0.3942668909447715,-3105.2880208333154,37.5,0.03091575091575092,0.4469006938198706,M2K,161,-511.12708333323667,0.7391242397933717,-1.1077816373749636,-3.1747023809517807,-0.6186664683034286,-827.3442708332425,MNQ,-2948.0411458333183,False,False,False,-2.5804067163679605
impc_ef8_es21_sl5_pb5_pm0p5_tr2p5,8,21,5,5,0.5,2.5,4,0,0,771,-6653.185937499692,0.6745562789953838,-1.3980140721186785,-8.250800097986659,0.3581668516463189,-3526.286458333321,50.0,0.034505494505494505,0.5665089358888039,M2K,159,-558.5291666665296,0.7216195645289639,-1.1048518341187976,-3.5127620545064753,-0.7235876222520942,-962.6739583332073,MNQ,-3133.864583333314,False,False,False,-2.6236633511232177
impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,8,21,5,5,0.3,1.5,4,0,0,780,-7032.598697916407,0.6454199236162466,-1.5308577178896234,-8.689192483927329,0.39394760614272806,-3105.2880208333154,37.5,0.031123321123321123,0.44972240449819256,M2K,162,-535.2114583332343,0.7301488846779627,-1.1569723293435774,-3.303774434155767,-0.5908266397822936,-851.4286458332401,MNQ,-2948.0411458333183,False,False,False,-2.6380060128127294
impc_ef8_es21_sl5_pb5_pm0p3_tr2p5,8,21,5,5,0.3,2.5,4,0,0,774,-6676.520312499687,0.6702764710437188,-1.4205997523184009,-8.258860677922273,0.357046568627451,-3526.286458333321,50.0,0.03471306471306471,0.5515529192556967,M2K,160,-582.6135416665272,0.7130599486256337,-1.1500231945182426,-3.641334635415795,-0.6936755889858799,-986.758333333205,MNQ,-3133.864583333314,False,False,False,-2.674063432939717
