symbol,variant_name,ema_fast,ema_slow,slope_lookback,pullback_lookback,pb_min_atr,target_r,year,oos_sessions,n_trades,net_pnl,profit_factor,sharpe_ratio,win_rate,average_trade,max_drawdown
M2K,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2024,217,110,-506.08385416656233,0.6519762205963563,-1.9445798977167421,0.32727272727272727,-4.600762310605112,-494.65572916658516
M2K,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2025,253,90,-254.83437499992647,0.7760294646756777,-0.9761778457801991,0.37777777777777777,-2.8314930555547386,-360.38489583330033
M2K,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2026,55,22,-31.97239583331111,0.8849357640646915,-0.439348638444738,0.5,-1.4532907196959597,-157.9666666666617
MES,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2024,217,77,99.3294270833394,1.070861277797393,0.27677783951185714,0.4675324675324675,1.2899925595238884,-268.3958333333294
MES,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2025,253,122,-627.7669270833394,0.7824581272786333,-0.826396035416142,0.4016393442622951,-5.145630549863438,-923.6953125000036
MES,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2026,55,26,-264.40625000000637,0.5363983799604544,-2.593028413046577,0.38461538461538464,-10.169471153846398,-391.3489583333421
MGC,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2021,15,3,-2.7499999999940883,0.8307692307695472,-4.242640687119286,0.3333333333333333,-0.9166666666646961,-4.499999999998181
MGC,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2022,207,67,-394.73020833323517,0.5405973891201212,-2.571894565979379,0.417910447761194,-5.891495646764704,-434.08645833326773
MGC,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2023,214,61,-236.88749999990023,0.6609242532229419,-1.4303223610930136,0.3114754098360656,-3.8834016393426265,-415.31874999993306
MGC,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2024,222,87,-309.1239583331776,0.7453005405387935,-1.1935052753841542,0.40229885057471265,-3.553148946358363,-496.43437499986476
MGC,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2025,227,68,-274.72916666665697,0.7909115413277525,-0.8419429639621412,0.4117647058823529,-4.0401348039214255,-444.88333333333685
MGC,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2026,54,18,-1303.5354166668185,0.1292069858615125,-5.248319555796102,0.2222222222222222,-72.41863425926769,-1178.3333333334758
MNQ,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2024,217,80,375.4005208333692,1.1461207015392954,0.521622549261711,0.4125,4.6925065104171155,-543.2260416666468
MNQ,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2025,253,136,-2167.808854166644,0.633175070669135,-1.9299432963234753,0.34558823529411764,-15.93977098651944,-2350.2197916666482
MNQ,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,2026,55,30,-226.81458333333285,0.7943136862230938,-1.1491221413158959,0.4,-7.560486111111095,-300.1916666666657
M2K,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2024,217,189,-877.6749999998299,0.6396090897581621,-2.5994870765414477,0.3386243386243386,-4.643783068782168,-888.9380208332079
