session_date,meta_risk_variant,risk_multiplier,daily_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
2019-05-06,local_drawdown_scaling,1.0,0.0,50000.0,50000.0,0.0,0.0
2019-05-07,local_drawdown_scaling,1.0,0.0,50000.0,50000.0,0.0,0.0
2019-05-08,local_drawdown_scaling,1.0,-41.0,49959.0,50000.0,-41.0,0.00082
2019-05-09,local_drawdown_scaling,1.0,45.0,50004.0,50004.0,0.0,0.0
2019-05-10,local_drawdown_scaling,1.0,-64.0,49940.0,50004.0,-64.0,0.0012798976081913446
2019-05-13,local_drawdown_scaling,1.0,0.0,49940.0,50004.0,-64.0,0.0012798976081913446
2019-05-14,local_drawdown_scaling,1.0,0.0,49940.0,50004.0,-64.0,0.0012798976081913446
2019-05-15,local_drawdown_scaling,1.0,210.5,50150.5,50150.5,0.0,0.0
2019-05-16,local_drawdown_scaling,1.0,0.0,50150.5,50150.5,0.0,0.0
2019-05-17,local_drawdown_scaling,1.0,0.0,50150.5,50150.5,0.0,0.0
2019-05-20,local_drawdown_scaling,1.0,-55.5,50095.0,50150.5,-55.5,0.0011066689265311412
2019-05-21,local_drawdown_scaling,1.0,0.0,50095.0,50150.5,-55.5,0.0011066689265311412
2019-05-22,local_drawdown_scaling,1.0,-63.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-23,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-24,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-27,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-28,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-29,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-30,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-31,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-03,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-04,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-05,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-06,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-07,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-10,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-11,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-12,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-13,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-14,local_drawdown_scaling,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
