simulation_method,variant_name,variant_label,ruleset_name,run_id,start_session_date,status,pass,fail,expire,failure_reason,days_to_pass,days_to_fail,days_traded,calendar_days,final_pnl_usd,trailing_mll_breached,economic_target_hit,economic_target_day,economic_target_immediate_validation,economic_target_without_immediate_validation,delayed_pass_after_inconsistency,failed_after_economic_target,near_validation_then_fail,extra_traded_days_to_consistency,best_winning_day_usd,best_day_share_at_end,max_favorable_excursion_usd,max_adverse_excursion_usd,max_drawdown_usd
rolling_start,nominal,nominal_mnq_orb,topstepx_50k_main_35d,rolling_0,2024-02-23,fail,False,True,False,trailing_mll,,14.0,14,16,-1659.0,True,False,,False,False,False,False,False,,1302.0,,626.0,-1659.0,-2285.0
rolling_start,nominal,nominal_mnq_orb,topstepx_50k_main_35d,rolling_1,2024-02-26,fail,False,True,False,trailing_mll,,13.0,13,15,-2285.0,True,False,,False,False,False,False,False,,1302.0,,0.0,-2285.0,-2285.0
rolling_start,nominal,nominal_mnq_orb,topstepx_50k_main_35d,rolling_2,2024-02-27,fail,False,True,False,trailing_mll,,13.0,13,14,-2285.0,True,False,,False,False,False,False,False,,1302.0,,0.0,-2285.0,-2285.0
rolling_start,nominal,nominal_mnq_orb,topstepx_50k_main_35d,rolling_3,2024-02-28,fail,False,True,False,trailing_mll,,12.0,12,13,-1545.0,True,False,,False,False,False,False,False,,1302.0,,715.5,-1545.0,-2260.5
rolling_start,nominal,nominal_mnq_orb,topstepx_50k_main_35d,rolling_4,2024-02-29,fail,False,True,False,trailing_mll,,12.0,12,12,-1545.0,True,False,,False,False,False,False,False,,1302.0,,715.5,-1545.0,-2260.5
rolling_start,nominal,nominal_mnq_orb,topstepx_50k_main_35d,rolling_5,2024-03-01,fail,False,True,False,trailing_mll,,11.0,11,11,-958.5,True,False,,False,False,False,False,False,,1302.0,,1302.0,-958.5,-2260.5
rolling_start,nominal,nominal_mnq_orb,topstepx_50k_main_35d,rolling_6,2024-03-04,fail,False,True,False,trailing_mll,,10.0,10,10,-2260.5,True,False,,False,False,False,False,False,,504.0,,0.0,-2260.5,-2260.5
rolling_start,nominal,nominal_mnq_orb,topstepx_50k_main_35d,rolling_7,2024-03-05,pass,True,False,False,,26.0,,26,28,3964.5,False,True,26.0,True,False,False,False,False,,1415.0,0.3569176440913104,3964.5,-1532.5,-1973.5
rolling_start,nominal,nominal_mnq_orb,topstepx_50k_main_35d,rolling_8,2024-03-06,pass,True,False,False,,25.0,,25,27,3523.5,False,True,25.0,True,False,False,False,False,,1415.0,0.40158932879239395,3523.5,-1973.5,-1973.5
rolling_start,nominal,nominal_mnq_orb,topstepx_50k_main_35d,rolling_9,2024-03-07,pass,True,False,False,,24.0,,24,26,4095.0,False,True,24.0,True,False,False,False,False,,1415.0,0.34554334554334554,4095.0,-1402.0,-1865.5
