ruleset_name,nominal_rolling_pass_rate,sizing_rolling_pass_rate,nominal_rolling_fail_rate,sizing_rolling_fail_rate,nominal_bootstrap_pass_rate,sizing_bootstrap_pass_rate,nominal_bootstrap_fail_rate,sizing_bootstrap_fail_rate,nominal_bootstrap_inconsistency_rate,sizing_bootstrap_inconsistency_rate,nominal_bootstrap_delayed_pass_rate,sizing_bootstrap_delayed_pass_rate,nominal_bootstrap_failed_after_target_rate,sizing_bootstrap_failed_after_target_rate,rolling_pass_rate_edge_sizing_minus_nominal,rolling_fail_rate_edge_sizing_minus_nominal,pass_rate_edge_sizing_minus_nominal,fail_rate_edge_sizing_minus_nominal,speed_edge_nominal_minus_sizing_days_to_pass,inconsistency_edge_sizing_minus_nominal,consistency_inactive_in_sample,verdict
topstepx_50k_extended_60d,0.587467362924282,0.5274151436031331,0.412532637075718,0.4725848563968668,0.5515,0.635,0.448,0.3595,0.0,0.0,0.0,0.0,0.0,0.0,-0.0600522193211489,0.06005221932114879,0.08350000000000002,-0.08850000000000002,-7.0,0.0,True,"consistency neutre; nominal meilleur sur rolling reel, sizing meilleur en bootstrap"
topstepx_50k_main_35d,0.6009501187648456,0.5225653206650831,0.3990498812351544,0.3990498812351544,0.532,0.5835,0.4605,0.3185,0.0,0.0,0.0,0.0,0.0,0.0,-0.07838479809976251,0.0,0.05149999999999999,-0.14200000000000002,-7.0,0.0,True,"consistency neutre; nominal meilleur sur rolling reel, sizing meilleur en bootstrap"
