simulation_mode,simulation_id,config_id,plan,challenge_strategy,challenge_source_variant_name,challenge_leverage_factor,funded_strategy,funded_source_variant_name,funded_leverage_factor,attempts,first_attempt_pass,eventual_pass,avg_attempt_pass_proxy,resets,challenge_days_to_pass,challenge_days_total,challenge_timeout_count,last_challenge_status,last_challenge_failure_reason,funded_status,funded_failure_reason,funded_days,payouts,at_least_one_payout,realized_payout_value_usd,funded_profit_usd,subscription_cost_usd,reset_cost_usd,activation_fee_usd,total_cost_usd,net_profit_usd,total_days,net_profit_per_day
block_bootstrap_business,0,standard__nominal__sizing_3state,standard,nominal,nominal,1.0,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2,False,True,0.5,1,59.0,59,0,pass,,survived,,60,1,True,1000.0,1080.5,96.36666666666667,49.0,149.0,294.3666666666667,705.6333333333333,119,5.9296918767507005
block_bootstrap_business,1,standard__nominal__sizing_3state,standard,nominal,nominal,1.0,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,15.0,15,0,pass,,survived,,60,2,True,2000.0,620.5,24.5,0.0,149.0,173.5,1826.5,75,24.35333333333333
block_bootstrap_business,2,standard__nominal__sizing_3state,standard,nominal,nominal,1.0,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,19.0,19,0,pass,,breach,trailing_drawdown,40,2,True,2000.0,865.5,31.03333333333333,0.0,149.0,180.03333333333333,1819.9666666666667,59,30.84689265536723
block_bootstrap_business,3,standard__nominal__sizing_3state,standard,nominal,nominal,1.0,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,18.0,18,0,pass,,breach,trailing_drawdown,23,2,True,2000.0,-71.0,29.4,0.0,149.0,178.4,1821.6,41,44.42926829268293
block_bootstrap_business,4,standard__nominal__sizing_3state,standard,nominal,nominal,1.0,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,45.0,45,0,pass,,survived,,60,3,True,3000.0,2779.5,73.5,0.0,149.0,222.5,2777.5,105,26.452380952380953
block_bootstrap_business,0,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,27.0,27,0,pass,,breach,trailing_drawdown,42,6,True,6000.0,3903.0,44.1,0.0,149.0,193.1,5806.9,69,84.15797101449274
block_bootstrap_business,1,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,21.0,21,0,pass,,breach,trailing_drawdown,13,0,False,0.0,-2086.7999999999884,34.3,0.0,149.0,183.3,-183.3,34,-5.391176470588236
block_bootstrap_business,2,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,10.0,10,0,pass,,breach,trailing_drawdown,24,1,True,1000.0,-349.1999999999971,16.333333333333332,0.0,149.0,165.33333333333334,834.6666666666666,34,24.549019607843135
block_bootstrap_business,3,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,10.0,10,0,pass,,survived,,60,3,True,3000.0,2317.7999999999956,16.333333333333332,0.0,149.0,165.33333333333334,2834.6666666666665,70,40.49523809523809
block_bootstrap_business,4,standard__nominal__sizing_3state_x1.2,standard,nominal,nominal,1.0,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,3,False,True,0.3333333333333333,2,95.0,95,0,pass,,breach,trailing_drawdown,33,0,False,0.0,-1438.7999999999956,155.16666666666666,98.0,149.0,402.16666666666663,-402.16666666666663,128,-3.141927083333333
