overall_rank,plan,challenge_strategy,challenge_source_variant_name,challenge_leverage_factor,funded_strategy,funded_source_variant_name,funded_leverage_factor,run_count,pass_rate,first_attempt_pass_rate,avg_days_to_pass,avg_resets,avg_payouts,at_least_one_payout_rate,avg_profit_post_pass,avg_profit_post_pass_all_cycles,avg_subscription_cost_usd,avg_reset_cost_usd,avg_activation_fee_usd,total_cost,net_profit,expected_net_profit_per_cycle,expected_days_per_cycle,expected_net_profit_per_day,plan_rank
1,no_activation_fee,nominal,nominal,1.0,nominal,nominal,1.0,5,1.0,0.2,28.6,1.0,4.8,0.8,3242.5,3242.5,103.91333333333334,109.0,0.0,212.91333333333333,4587.086666666667,4587.086666666667,58.6,78.27792946530148,1
2,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,5,1.0,0.8,23.2,0.4,4.4,0.8,2958.840000000001,2958.840000000001,37.89333333333333,19.6,149.0,206.49333333333334,4193.506666666666,4193.506666666666,60.4,69.4289183222958,1
3,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,5,1.0,0.4,25.4,1.2,5.8,1.0,5805.4,5805.4,41.486666666666665,58.8,149.0,249.2866666666667,5550.713333333333,5550.713333333333,84.8,65.4565251572327,2
4,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,5,1.0,0.4,14.4,1.2,4.8,1.0,4399.9,4399.9,23.520000000000003,58.8,149.0,231.32,4568.68,4568.68,71.2,64.16685393258427,3
5,standard,nominal_x1.8,nominal,1.8,nominal,nominal,1.0,5,1.0,0.0,26.2,4.2,4.0,1.0,2674.1,2674.1,42.79333333333333,205.8,149.0,397.59333333333336,3602.4066666666668,3602.4066666666668,59.0,61.05774011299435,4
6,standard,nominal_x1.5,nominal,1.5,nominal,nominal,1.0,5,1.0,0.2,34.6,3.6,5.0,1.0,3822.3,3822.3,56.51333333333332,176.4,149.0,381.9133333333334,4618.086666666667,4618.086666666667,81.4,56.73325143325143,5
7,no_activation_fee,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,5,1.0,0.6,36.2,1.4,4.2,1.0,2847.0,2847.0,131.52666666666667,152.6,0.0,284.12666666666667,3915.873333333333,3915.873333333333,69.4,56.42468780019211,2
8,no_activation_fee,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,5,1.0,0.4,17.8,1.6,4.4,1.0,3571.6,3571.6,64.67333333333333,174.4,0.0,239.07333333333335,4160.926666666667,4160.926666666667,74.8,55.627361853832454,3
9,standard,nominal_x1.8,nominal,1.8,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,5,1.0,0.2,21.6,3.4,4.0,0.8,2658.600000000003,2658.600000000003,35.28000000000001,166.6,149.0,350.88,3649.12,3649.12,67.2,54.30238095238095,6
10,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,5,1.0,0.0,56.2,2.0,5.6,0.8,4186.3,4186.3,91.79333333333334,98.0,149.0,338.79333333333335,5261.206666666667,5261.206666666667,97.4,54.016495550992474,7
11,standard,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,5,1.0,0.2,16.0,1.6,3.0,0.6,1946.8800000000047,1946.8800000000047,26.133333333333333,78.4,149.0,253.5333333333333,2746.4666666666667,2746.4666666666667,56.2,48.86951364175563,8
12,no_activation_fee,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,5,1.0,0.4,29.4,3.0,3.4,1.0,1771.6800000000003,1771.6800000000003,106.82000000000002,327.0,0.0,433.82000000000005,2966.1799999999994,2966.1799999999994,62.2,47.687781350482304,4
13,no_activation_fee,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,5,1.0,0.4,49.0,2.2,5.0,1.0,4568.4,4568.4,178.03333333333333,239.8,0.0,417.8333333333333,4582.166666666667,4582.166666666667,100.2,45.730206254158354,5
14,standard,nominal,nominal,1.0,nominal,nominal,1.0,5,1.0,0.4,41.8,1.0,3.4,0.4,1803.5,1803.5,68.27333333333334,49.0,149.0,266.2733333333333,3133.7266666666665,3133.7266666666665,71.4,43.88972922502334,9
15,no_activation_fee,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,5,1.0,0.4,36.8,1.2,3.2,1.0,1351.8000000000015,1351.8000000000015,133.70666666666665,130.8,0.0,264.50666666666666,2935.4933333333333,2935.4933333333333,67.8,43.29636184857424,6
16,no_activation_fee,nominal_x1.5,nominal,1.5,nominal,nominal,1.0,5,1.0,0.4,28.8,3.4,2.8,0.6,1533.0,1533.0,104.64000000000001,370.6,0.0,475.23999999999995,2324.7599999999998,2324.7599999999998,55.2,42.11521739130434,7
17,no_activation_fee,nominal,nominal,1.0,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,5,1.0,0.6,33.4,0.8,3.6,1.0,3333.0,3333.0,121.35333333333332,87.2,0.0,208.55333333333334,3391.4466666666667,3391.4466666666667,93.4,36.31099214846538,8
18,standard,nominal_x1.8,nominal,1.8,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,5,1.0,0.2,18.6,3.6,2.6,0.8,1865.8,1865.8,30.380000000000003,176.4,149.0,355.78000000000003,2244.2200000000003,2244.2200000000003,64.0,35.065937500000004,10
19,no_activation_fee,nominal_x1.8,nominal,1.8,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,5,1.0,0.0,40.6,6.6,2.8,0.6,1297.6800000000017,1297.6800000000017,147.51333333333338,719.4,0.0,866.9133333333333,1933.0866666666666,1933.0866666666666,69.0,28.01574879227053,9
