phase,symbol,config_name,detail,seconds
backtest/evaluation,MNQ,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_5,,7.736015599919483
writing_exports,MNQ,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_5,checkpoint,3.2308784001506865
backtest/evaluation,MNQ,invalidate_on_opposite_close_5m__buffer_0,,7.294473699992523
writing_exports,MNQ,invalidate_on_opposite_close_5m__buffer_0,checkpoint,3.74161779996939
backtest/evaluation,MNQ,invalidate_on_opposite_close_5m__buffer_1,,8.012965000001714
writing_exports,MNQ,invalidate_on_opposite_close_5m__buffer_1,checkpoint,3.449221899965778
backtest/evaluation,MNQ,invalidate_on_opposite_close_5m__buffer_4,,7.542375800199807
writing_exports,MNQ,invalidate_on_opposite_close_5m__buffer_4,checkpoint,3.439777399878949
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,,11.257214799989015
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,checkpoint,3.436970700044185
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,,11.266673600068316
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,checkpoint,3.6910159999970347
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_true,,11.24788529984653
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_true,checkpoint,3.805441499920562
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_false,,11.445088099921122
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_false,checkpoint,3.9636570001021028
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,,11.537161200074479
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,checkpoint,3.964085000101477
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,,11.413644599961117
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,checkpoint,4.054354599909857
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,,11.354885400040075
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,checkpoint,4.177745599998161
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,,11.146354499971494
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,checkpoint,4.235036199912429
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,,11.530020800186321
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,checkpoint,4.429429600015283
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,,11.587075700052083
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,checkpoint,4.4407129001338035
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,,11.553435300011188
