symbol,bucket,trade_count,net_pnl,avg_trade,win_rate,sharpe
M2K,first_breakout_downside_then_reclaim,385,-1414.9999999991228,-3.675324675322397,0.44415584415584414,-0.28417783907531996
M2K,first_breakout_upside,820,-6164.49999999785,-7.517682926826646,0.4560975609756098,-0.5410171044511083
M2K,no_downside_breakout_before_trade,820,-6164.49999999785,-7.517682926826646,0.4560975609756098,-0.5410171044511083
MES,first_breakout_downside_then_reclaim,539,-12947.5,-24.021335807050093,0.3877551020408163,-1.6859217877617025
MES,first_breakout_upside,815,6016.25,7.381901840490798,0.43558282208588955,0.4697880829358348
MES,no_downside_breakout_before_trade,815,6016.25,7.381901840490798,0.43558282208588955,0.4697880829358348
MGC,first_breakout_downside_then_reclaim,349,-11000.999999998468,-31.521489971342316,0.3553008595988539,-2.3838093662800954
MGC,first_breakout_upside,512,-1518.4999999974411,-2.965820312495002,0.42578125,-0.19859089361735208
MGC,no_downside_breakout_before_trade,512,-1518.4999999974411,-2.965820312495002,0.42578125,-0.19859089361735208
MNQ,first_breakout_downside_then_reclaim,396,-2305.5,-5.821969696969697,0.4444444444444444,-0.45014995701866994
MNQ,first_breakout_upside,721,17846.0,24.751733703190013,0.47295423023578365,1.6826585063348916
MNQ,no_downside_breakout_before_trade,721,17846.0,24.751733703190013,0.47295423023578365,1.6826585063348916
