name,axis,group,strategy_variant,dataset_key,execution_profile,or_minutes,target_multiple,side_mode,entry_buffer_ticks,stop_buffer_ticks,opening_time,time_exit,one_trade_per_day,risk_per_trade_pct,initial_capital_usd,tick_value_usd,point_value_usd,max_leverage,atr_period,atr_regime,atr_min,atr_max,direction_filter_mode,ema_length,entry_on_next_open,notes,dataset_path,commission_per_side_usd,slippage_ticks,execution_tick_size,n_trades,win_rate,avg_win,avg_loss,average_losing_trade,expectancy,profit_factor,cumulative_pnl,max_drawdown,max_drawdown_pct,sharpe_ratio,max_consecutive_losses,avg_consecutive_losses,longest_loss_streak,number_of_loss_streaks_2_plus,worst_trade,worst_day,stop_hit_rate,target_hit_rate,eod_exit_rate,proportion_filtered_out,trade_count_after_filters,percent_of_days_traded,percent_days_traded,avg_R,median_R,pnl_to_risk_ratio,average_loss_streak_length,count_loss_streaks_2_plus,daily_sharpe_basis,n_sessions,raw_signal_count,prop_constraint_profile,profit_target_usd,max_loss_limit_usd,daily_loss_limit_usd,daily_loss_limit_active,profit_target_reached,days_to_profit_target,days_to_reach_3000_profit_target,estimated_months_to_profit_target,profit_target_reached_before_max_loss,breaches_max_loss_limit,max_loss_limit_buffer_usd,any_daily_loss_limit_breach,number_of_daily_loss_limit_breaches,minimum_equity_before_target_hit,minimum_equity_observed,max_adverse_drawdown_before_target_hit,subscription_drag_estimate,estimated_pnl_after_subscription,profit_target_progress_pct,prop_config_name,prop_config_account_size_usd,prop_config_max_loss_limit_usd,prop_config_daily_loss_limit_usd,prop_config_profit_target_usd,prop_config_monthly_subscription_cost_usd,prop_config_trading_days_per_month,prop_config_daily_loss_limit_basis
focused_long_only_rr5_ema30_none_risk_0p2,focused_prop_branch,focused_long_only_ema_atr_prop,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.2,50000.0,0.5,2.0,,14,none,,,ema_only,30,True,"Focused practical campaign on MNQ_1mim.parquet: long-only current ORB, EMA directional filter, optional ATR regime filter, and prop-style sizing.",C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,343,0.3877551020408163,116.59398496240601,-71.57211538461539,-71.57211538461539,1.8075801749271136,1.0416470746288709,620.0,-1737.0,0.03474,0.11261349823741448,7,2.2857142857142856,7,54,-100.0,-100.0,0.5072886297376094,0.01749271137026239,0.4752186588921283,0.2618657937806874,343,0.1947756956274844,0.1947756956274844,0.021785948749536002,-1.0,0.02246010614211451,2.2857142857142856,54,daily_pnl_over_static_capital,1761,1833,topstep_50k_reference,3000.0,2000.0,1000.0,True,False,,,,False,False,605.5,False,0,,48605.5,,12578.57142857143,-11958.57142857143,0.20666666666666667,topstep_50k_reference,50000.0,2000.0,1000.0,3000.0,150.0,21.0,realized_daily_pnl
focused_long_only_rr5_ema30_none_risk_0p25,focused_prop_branch,focused_long_only_ema_atr_prop,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,none,,,ema_only,30,True,"Focused practical campaign on MNQ_1mim.parquet: long-only current ORB, EMA directional filter, optional ATR regime filter, and prop-style sizing.",C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,563,0.41740674955595025,145.24468085106383,-89.56901840490798,-89.56901840490798,8.761989342806395,1.1689412489939897,4933.0,-1465.5,0.02931,0.5682045963058555,8,2.263888888888889,8,87,-125.0,-125.0,0.4920071047957371,0.017761989342806393,0.49023090586145646,0.2618657937806874,563,0.3197047132311187,0.3197047132311187,0.09004484475514829,-0.6416666666666667,0.08726108452809496,2.263888888888889,87,daily_pnl_over_static_capital,1761,1833,topstep_50k_reference,3000.0,2000.0,1000.0,True,True,1056.0,1056.0,50.285714285714285,True,False,874.0,False,0,48874.0,48874.0,1126.0,7542.857142857143,-2609.857142857143,1.6443333333333334,topstep_50k_reference,50000.0,2000.0,1000.0,3000.0,150.0,21.0,realized_daily_pnl
focused_long_only_rr3_ema30_moderate_band_risk_0p1,focused_prop_branch,focused_long_only_ema_atr_prop,current_orb,current_1m_rth,repo_realistic,15,3.0,long_only,0,2,09:30:00,16:00:00,True,0.1,50000.0,0.5,2.0,,14,moderate_band,9.267857142857142,224.01785714285714,ema_only,30,True,"Focused practical campaign on MNQ_1mim.parquet: long-only current ORB, EMA directional filter, optional ATR regime filter, and prop-style sizing.",C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,2,0.0,0.0,-34.75,-34.75,-34.75,0.0,-69.5,-39.5,0.00079,-0.5303444233466299,2,2.0,2,1,-39.5,-39.5,1.0,0.0,0.0,0.9739415215701058,2,0.001135718341851221,0.001135718341851221,-1.0,-1.0,-1.0,2.0,1,daily_pnl_over_static_capital,1761,42443,topstep_50k_reference,3000.0,2000.0,1000.0,True,False,,,,False,False,1930.5,False,0,,49930.5,,12578.57142857143,-12648.07142857143,-0.023166666666666665,topstep_50k_reference,50000.0,2000.0,1000.0,3000.0,150.0,21.0,realized_daily_pnl
focused_long_only_rr3_ema30_moderate_band_risk_0p15,focused_prop_branch,focused_long_only_ema_atr_prop,current_orb,current_1m_rth,repo_realistic,15,3.0,long_only,0,2,09:30:00,16:00:00,True,0.15,50000.0,0.5,2.0,,14,moderate_band,9.267857142857142,224.01785714285714,ema_only,30,True,"Focused practical campaign on MNQ_1mim.parquet: long-only current ORB, EMA directional filter, optional ATR regime filter, and prop-style sizing.",C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,30,0.3,152.94444444444446,-62.92857142857143,-62.92857142857143,1.8333333333333333,1.0416193719258418,55.0,-394.5,0.00789,0.036688657754631204,5,2.625,5,7,-74.5,-74.5,0.7,0.2,0.1,0.9739415215701058,30,0.017035775127768313,0.017035775127768313,-0.004452742267723542,-1.0,0.028841111693759833,2.625,7,daily_pnl_over_static_capital,1761,42443,topstep_50k_reference,3000.0,2000.0,1000.0,True,False,,,,False,False,1879.5,False,0,,49879.5,,12578.57142857143,-12523.57142857143,0.018333333333333333,topstep_50k_reference,50000.0,2000.0,1000.0,3000.0,150.0,21.0,realized_daily_pnl
focused_long_only_rr3_ema30_moderate_band_risk_0p2,focused_prop_branch,focused_long_only_ema_atr_prop,current_orb,current_1m_rth,repo_realistic,15,3.0,long_only,0,2,09:30:00,16:00:00,True,0.2,50000.0,0.5,2.0,,14,moderate_band,9.267857142857142,224.01785714285714,ema_only,30,True,"Focused practical campaign on MNQ_1mim.parquet: long-only current ORB, EMA directional filter, optional ATR regime filter, and prop-style sizing.",C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,151,0.3841059602649007,160.0,-80.88709677419355,-80.88709677419355,11.639072847682119,1.2336324360252575,1757.5,-792.5,0.01585,0.4147487919018708,10,2.3846153846153846,10,22,-100.0,-100.0,0.5827814569536424,0.15894039735099338,0.2582781456953642,0.9739415215701058,151,0.08574673480976717,0.08574673480976717,0.13572728570497572,-1.0,0.1371172225472986,2.3846153846153846,22,daily_pnl_over_static_capital,1761,42443,topstep_50k_reference,3000.0,2000.0,1000.0,True,False,,,,False,False,1787.0,False,0,,49787.0,,12578.57142857143,-10821.07142857143,0.5858333333333333,topstep_50k_reference,50000.0,2000.0,1000.0,3000.0,150.0,21.0,realized_daily_pnl
focused_long_only_rr3_ema30_moderate_band_risk_0p25,focused_prop_branch,focused_long_only_ema_atr_prop,current_orb,current_1m_rth,repo_realistic,15,3.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,moderate_band,9.267857142857142,224.01785714285714,ema_only,30,True,"Focused practical campaign on MNQ_1mim.parquet: long-only current ORB, EMA directional filter, optional ATR regime filter, and prop-style sizing.",C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,332,0.41566265060240964,173.95289855072463,-95.25773195876289,-95.25773195876289,16.643072289156628,1.2989989177489178,5525.5,-1257.5,0.02515,0.7704911265881179,7,2.3373493975903616,7,53,-125.0,-125.0,0.5301204819277109,0.13253012048192772,0.3373493975903614,0.9739415215701058,332,0.18852924474730268,0.18852924474730268,0.16933067657614934,-1.0,0.16172747362105047,2.3373493975903616,53,daily_pnl_over_static_capital,1761,42443,topstep_50k_reference,3000.0,2000.0,1000.0,True,True,636.0,636.0,30.285714285714285,True,False,1981.0,False,0,49981.0,49981.0,19.0,4542.857142857143,982.6428571428569,1.8418333333333334,topstep_50k_reference,50000.0,2000.0,1000.0,3000.0,150.0,21.0,realized_daily_pnl
focused_long_only_rr4_ema30_moderate_band_risk_0p1,focused_prop_branch,focused_long_only_ema_atr_prop,current_orb,current_1m_rth,repo_realistic,15,4.0,long_only,0,2,09:30:00,16:00:00,True,0.1,50000.0,0.5,2.0,,14,moderate_band,9.267857142857142,224.01785714285714,ema_only,30,True,"Focused practical campaign on MNQ_1mim.parquet: long-only current ORB, EMA directional filter, optional ATR regime filter, and prop-style sizing.",C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,2,0.0,0.0,-34.75,-34.75,-34.75,0.0,-69.5,-39.5,0.00079,-0.5303444233466299,2,2.0,2,1,-39.5,-39.5,1.0,0.0,0.0,0.9739415215701058,2,0.001135718341851221,0.001135718341851221,-1.0,-1.0,-1.0,2.0,1,daily_pnl_over_static_capital,1761,42443,topstep_50k_reference,3000.0,2000.0,1000.0,True,False,,,,False,False,1930.5,False,0,,49930.5,,12578.57142857143,-12648.07142857143,-0.023166666666666665,topstep_50k_reference,50000.0,2000.0,1000.0,3000.0,150.0,21.0,realized_daily_pnl
focused_long_only_rr4_ema30_moderate_band_risk_0p15,focused_prop_branch,focused_long_only_ema_atr_prop,current_orb,current_1m_rth,repo_realistic,15,4.0,long_only,0,2,09:30:00,16:00:00,True,0.15,50000.0,0.5,2.0,,14,moderate_band,9.267857142857142,224.01785714285714,ema_only,30,True,"Focused practical campaign on MNQ_1mim.parquet: long-only current ORB, EMA directional filter, optional ATR regime filter, and prop-style sizing.",C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,30,0.3,195.11111111111111,-62.92857142857143,-62.92857142857143,14.483333333333333,1.3287930382141506,434.5,-359.0,0.00718,0.23504561298725266,5,2.625,5,7,-74.5,-74.5,0.7,0.2,0.1,0.9739415215701058,30,0.017035775127768313,0.017035775127768313,0.18639547501657894,-1.0,0.2278447823807027,2.625,7,daily_pnl_over_static_capital,1761,42443,topstep_50k_reference,3000.0,2000.0,1000.0,True,False,,,,False,False,1879.5,False,0,,49879.5,,12578.57142857143,-12144.07142857143,0.14483333333333334,topstep_50k_reference,50000.0,2000.0,1000.0,3000.0,150.0,21.0,realized_daily_pnl
focused_long_only_rr4_ema30_moderate_band_risk_0p2,focused_prop_branch,focused_long_only_ema_atr_prop,current_orb,current_1m_rth,repo_realistic,15,4.0,long_only,0,2,09:30:00,16:00:00,True,0.2,50000.0,0.5,2.0,,14,moderate_band,9.267857142857142,224.01785714285714,ema_only,30,True,"Focused practical campaign on MNQ_1mim.parquet: long-only current ORB, EMA directional filter, optional ATR regime filter, and prop-style sizing.",C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,151,0.37748344370860926,170.8421052631579,-80.94148936170212,-80.94148936170212,14.102649006622517,1.2798843398830255,2129.5,-792.5,0.01585,0.4701587631255986,10,2.41025641025641,10,22,-100.0,-100.0,0.5894039735099338,0.09271523178807947,0.31788079470198677,0.9739415215701058,151,0.08574673480976717,0.08574673480976717,0.1743851623628627,-1.0,0.16614004291008386,2.41025641025641,22,daily_pnl_over_static_capital,1761,42443,topstep_50k_reference,3000.0,2000.0,1000.0,True,False,,,,False,False,1813.0,False,0,,49813.0,,12578.57142857143,-10449.07142857143,0.7098333333333333,topstep_50k_reference,50000.0,2000.0,1000.0,3000.0,150.0,21.0,realized_daily_pnl
focused_long_only_rr4_ema30_moderate_band_risk_0p25,focused_prop_branch,focused_long_only_ema_atr_prop,current_orb,current_1m_rth,repo_realistic,15,4.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,moderate_band,9.267857142857142,224.01785714285714,ema_only,30,True,"Focused practical campaign on MNQ_1mim.parquet: long-only current ORB, EMA directional filter, optional ATR regime filter, and prop-style sizing.",C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,332,0.4126506024096386,181.1058394160584,-95.2102564102564,-95.2102564102564,18.811746987951807,1.3363944845416353,6245.5,-1182.0,0.02364,0.8299827149936714,7,2.3493975903614457,7,53,-125.0,-125.0,0.5331325301204819,0.06325301204819277,0.4036144578313253,0.9739415215701058,332,0.18852924474730268,0.18852924474730268,0.19438833276097248,-1.0,0.1828013639490129,2.3493975903614457,53,daily_pnl_over_static_capital,1761,42443,topstep_50k_reference,3000.0,2000.0,1000.0,True,True,648.0,648.0,30.857142857142858,True,False,1981.0,False,0,49981.0,49981.0,19.0,4628.571428571428,1616.9285714285716,2.0818333333333334,topstep_50k_reference,50000.0,2000.0,1000.0,3000.0,150.0,21.0,realized_daily_pnl
