hour,trades,net_pnl_usd,avg_trade_pnl_usd,win_rate
09:00,1076,711.0,0.6607806691449815,0.22211895910780668
10:00,757,-2121.5,-2.8025099075297226,0.14663143989431968
11:00,476,-1499.0,-3.149159663865546,0.10084033613445378
12:00,441,-1290.0,-2.925170068027211,0.08390022675736962
13:00,365,-839.0,-2.2986301369863016,0.10410958904109589
14:00,276,-782.0,-2.8333333333333335,0.10507246376811594
15:00,312,982.5,3.1490384615384617,0.1794871794871795
