weekday,days,net_pnl_usd,avg_day_pnl_usd,green_day_pct
Monday,355,-634.5,-1.787323943661972,0.05352112676056338
Tuesday,359,1729.0,4.816155988857939,0.06406685236768803
Wednesday,355,-1305.0,-3.676056338028169,0.05070422535211268
Thursday,356,-2884.0,-8.101123595505618,0.03932584269662921
Friday,322,-1743.5,-5.4145962732919255,0.049689440993788817
