hour,bars,net_bar_pnl_usd,avg_bar_pnl_usd
09:00,52365,3537.0,0.06754511601260384
10:00,104753,824.5,0.00787089629891268
11:00,104652,-230.5,-0.0022025379352520733
12:00,104577,-745.5,-0.007128718551880433
13:00,101107,-1230.0,-0.0121653297991237
14:00,100919,-336.0,-0.0033294027883748354
15:00,100980,2502.5,0.024782135076252723
