timestamp,equity,drawdown
2019-05-06 09:51:00-04:00,25058.5,0.0
2019-05-06 09:52:00-04:00,25037.0,-21.5
2019-05-06 12:08:00-04:00,25083.0,0.0
2019-05-06 12:10:00-04:00,25077.5,-5.5
2019-05-06 12:11:00-04:00,25070.0,-13.0
2019-05-06 12:15:00-04:00,25061.0,-22.0
2019-05-06 12:18:00-04:00,25049.5,-33.5
2019-05-06 12:39:00-04:00,25038.0,-45.0
2019-05-06 12:47:00-04:00,25027.0,-56.0
2019-05-06 13:14:00-04:00,25019.0,-64.0
2019-05-06 13:18:00-04:00,25014.0,-69.0
2019-05-06 13:19:00-04:00,25005.0,-78.0
2019-05-06 13:21:00-04:00,24994.0,-89.0
2019-05-06 13:24:00-04:00,24987.0,-96.0
2019-05-06 16:00:00-04:00,25082.5,-0.5
2019-05-07 09:43:00-04:00,25097.0,0.0
2019-05-07 09:46:00-04:00,25089.0,-8.0
2019-05-07 09:47:00-04:00,25063.5,-33.5
2019-05-07 12:33:00-04:00,25139.0,0.0
2019-05-07 12:34:00-04:00,25125.5,-13.5
2019-05-07 16:00:00-04:00,25178.0,0.0
2019-05-08 09:32:00-04:00,25173.5,-4.5
2019-05-08 09:33:00-04:00,25157.5,-20.5
2019-05-08 09:42:00-04:00,25153.5,-24.5
2019-05-08 10:11:00-04:00,25156.5,-21.5
2019-05-08 10:12:00-04:00,25142.5,-35.5
2019-05-08 10:29:00-04:00,25127.0,-51.0
2019-05-08 10:44:00-04:00,25120.5,-57.5
2019-05-08 10:59:00-04:00,25115.5,-62.5
2019-05-08 11:00:00-04:00,25037.5,-140.5
2019-05-08 11:38:00-04:00,24975.0,-203.0
2019-05-08 11:41:00-04:00,24962.0,-216.0
2019-05-08 11:42:00-04:00,24950.0,-228.0
2019-05-08 11:49:00-04:00,24934.0,-244.0
2019-05-08 12:04:00-04:00,24917.5,-260.5
2019-05-08 12:06:00-04:00,24902.5,-275.5
2019-05-08 12:07:00-04:00,24886.0,-292.0
2019-05-08 12:28:00-04:00,24862.0,-316.0
2019-05-08 15:51:00-04:00,24843.0,-335.0
2019-05-08 16:00:00-04:00,24877.0,-301.0
2019-05-09 09:34:00-04:00,24875.5,-302.5
2019-05-09 09:39:00-04:00,24878.5,-299.5
2019-05-09 09:41:00-04:00,24866.5,-311.5
2019-05-09 10:48:00-04:00,24922.0,-256.0
2019-05-09 10:52:00-04:00,24913.0,-265.0
2019-05-09 11:15:00-04:00,24906.5,-271.5
2019-05-09 11:16:00-04:00,24894.0,-284.0
2019-05-09 11:17:00-04:00,24876.5,-301.5
2019-05-09 11:23:00-04:00,24863.0,-315.0
2019-05-09 11:39:00-04:00,24858.0,-320.0
2019-05-09 11:40:00-04:00,24846.0,-332.0
2019-05-09 11:41:00-04:00,24839.0,-339.0
2019-05-09 11:42:00-04:00,24820.0,-358.0
2019-05-09 11:45:00-04:00,24797.5,-380.5
2019-05-09 16:00:00-04:00,24955.5,-222.5
2019-05-10 09:32:00-04:00,24933.5,-244.5
2019-05-10 09:36:00-04:00,24928.0,-250.0
2019-05-10 09:37:00-04:00,24914.5,-263.5
2019-05-10 09:38:00-04:00,24901.5,-276.5
2019-05-10 09:51:00-04:00,24904.5,-273.5
2019-05-10 12:17:00-04:00,25031.5,-146.5
2019-05-10 16:00:00-04:00,25222.5,0.0
2019-05-13 09:33:00-04:00,25207.0,-15.5
2019-05-13 09:34:00-04:00,25197.5,-25.0
2019-05-13 09:37:00-04:00,25192.0,-30.5
2019-05-13 09:39:00-04:00,25160.5,-62.0
2019-05-13 09:46:00-04:00,25136.5,-86.0
2019-05-13 09:49:00-04:00,25128.5,-94.0
2019-05-13 09:50:00-04:00,25109.0,-113.5
2019-05-13 10:43:00-04:00,25155.5,-67.0
2019-05-13 10:47:00-04:00,25143.5,-79.0
2019-05-13 14:26:00-04:00,25180.0,-42.5
2019-05-13 14:30:00-04:00,25175.0,-47.5
2019-05-13 14:51:00-04:00,25168.0,-54.5
2019-05-13 15:04:00-04:00,25152.5,-70.0
2019-05-13 15:07:00-04:00,25135.5,-87.0
2019-05-13 15:10:00-04:00,25117.0,-105.5
2019-05-13 16:00:00-04:00,25173.5,-49.0
2019-05-14 09:34:00-04:00,25179.0,-43.5
2019-05-14 09:38:00-04:00,25171.0,-51.5
2019-05-14 09:47:00-04:00,25163.5,-59.0
2019-05-14 10:02:00-04:00,25152.5,-70.0
2019-05-14 10:07:00-04:00,25127.0,-95.5
2019-05-14 10:08:00-04:00,25111.0,-111.5
2019-05-14 16:00:00-04:00,25175.5,-47.0
2019-05-15 09:32:00-04:00,25147.0,-75.5
2019-05-15 09:43:00-04:00,25145.5,-77.0
2019-05-15 09:44:00-04:00,25116.0,-106.5
2019-05-15 16:00:00-04:00,25365.5,0.0
2019-05-16 09:32:00-04:00,25344.0,-21.5
2019-05-16 13:49:00-04:00,25487.5,0.0
2019-05-16 13:52:00-04:00,25479.5,-8.0
2019-05-16 13:53:00-04:00,25466.0,-21.5
2019-05-16 13:59:00-04:00,25452.0,-35.5
2019-05-16 14:01:00-04:00,25439.0,-48.5
2019-05-16 14:02:00-04:00,25421.0,-66.5
2019-05-16 14:10:00-04:00,25402.5,-85.0
2019-05-16 14:16:00-04:00,25386.0,-101.5
2019-05-16 15:03:00-04:00,25377.5,-110.0
2019-05-16 15:04:00-04:00,25363.5,-124.0
2019-05-16 15:08:00-04:00,25338.0,-149.5
2019-05-16 15:12:00-04:00,25322.5,-165.0
2019-05-16 15:13:00-04:00,25311.0,-176.5
2019-05-16 15:27:00-04:00,25299.5,-188.0
2019-05-16 15:31:00-04:00,25272.0,-215.5
2019-05-16 16:00:00-04:00,25256.5,-231.0
2019-05-17 09:32:00-04:00,25223.0,-264.5
2019-05-17 09:52:00-04:00,25236.5,-251.0
2019-05-17 09:59:00-04:00,25224.0,-263.5
2019-05-17 10:00:00-04:00,25217.0,-270.5
2019-05-17 10:01:00-04:00,25200.0,-287.5
2019-05-17 10:05:00-04:00,25179.0,-308.5
2019-05-17 10:09:00-04:00,25167.0,-320.5
2019-05-17 10:10:00-04:00,25154.0,-333.5
2019-05-17 10:12:00-04:00,25142.5,-345.0
2019-05-17 10:13:00-04:00,25118.0,-369.5
2019-05-17 10:19:00-04:00,25085.5,-402.0
2019-05-17 11:51:00-04:00,25096.0,-391.5
2019-05-17 11:52:00-04:00,25074.0,-413.5
2019-05-17 12:01:00-04:00,25070.0,-417.5
2019-05-17 12:02:00-04:00,25054.5,-433.0
2019-05-17 12:05:00-04:00,25035.5,-452.0
2019-05-17 12:19:00-04:00,25029.5,-458.0
2019-05-17 12:20:00-04:00,25019.5,-468.0
2019-05-17 12:21:00-04:00,25010.5,-477.0
2019-05-17 12:22:00-04:00,25001.5,-486.0
2019-05-17 12:23:00-04:00,24990.0,-497.5
2019-05-17 12:24:00-04:00,24982.0,-505.5
2019-05-17 12:42:00-04:00,24966.5,-521.0
2019-05-17 13:31:00-04:00,24941.0,-546.5
2019-05-17 13:33:00-04:00,24923.0,-564.5
2019-05-17 13:43:00-04:00,24917.0,-570.5
2019-05-17 13:44:00-04:00,24902.5,-585.0
2019-05-17 14:12:00-04:00,24884.5,-603.0
2019-05-17 14:14:00-04:00,24871.0,-616.5
2019-05-17 14:17:00-04:00,24861.0,-626.5
2019-05-17 14:19:00-04:00,24854.5,-633.0
2019-05-17 14:28:00-04:00,24844.0,-643.5
2019-05-17 14:29:00-04:00,24835.5,-652.0
2019-05-17 14:31:00-04:00,24831.5,-656.0
2019-05-17 14:32:00-04:00,24826.5,-661.0
2019-05-17 14:33:00-04:00,24815.5,-672.0
2019-05-17 14:39:00-04:00,24803.0,-684.5
2019-05-17 14:41:00-04:00,24795.0,-692.5
2019-05-17 14:45:00-04:00,24788.0,-699.5
2019-05-17 14:46:00-04:00,24782.0,-705.5
2019-05-17 14:50:00-04:00,24775.0,-712.5
2019-05-17 15:02:00-04:00,24735.5,-752.0
2019-05-17 16:00:00-04:00,24803.5,-684.0
2019-05-20 09:32:00-04:00,24801.0,-686.5
2019-05-20 09:46:00-04:00,24831.5,-656.0
2019-05-20 09:51:00-04:00,24801.0,-686.5
2019-05-20 09:56:00-04:00,24767.5,-720.0
2019-05-20 10:02:00-04:00,24738.0,-749.5
2019-05-20 10:06:00-04:00,24712.5,-775.0
2019-05-20 10:11:00-04:00,24700.5,-787.0
2019-05-20 10:12:00-04:00,24685.5,-802.0
2019-05-20 11:20:00-04:00,24700.0,-787.5
2019-05-20 11:25:00-04:00,24693.0,-794.5
2019-05-20 11:37:00-04:00,24674.5,-813.0
2019-05-20 11:45:00-04:00,24658.5,-829.0
2019-05-20 11:58:00-04:00,24650.5,-837.0
2019-05-20 11:59:00-04:00,24642.0,-845.5
2019-05-20 12:54:00-04:00,24642.5,-845.0
2019-05-20 13:17:00-04:00,24637.5,-850.0
2019-05-20 13:18:00-04:00,24630.5,-857.0
2019-05-20 13:19:00-04:00,24625.5,-862.0
2019-05-20 13:20:00-04:00,24619.5,-868.0
2019-05-20 13:21:00-04:00,24608.5,-879.0
2019-05-20 13:22:00-04:00,24596.5,-891.0
2019-05-20 13:29:00-04:00,24588.5,-899.0
2019-05-20 13:34:00-04:00,24581.5,-906.0
2019-05-20 13:37:00-04:00,24572.0,-915.5
2019-05-20 13:47:00-04:00,24559.0,-928.5
2019-05-20 13:49:00-04:00,24540.0,-947.5
2019-05-20 13:53:00-04:00,24522.0,-965.5
2019-05-20 16:00:00-04:00,24549.0,-938.5
2019-05-21 09:34:00-04:00,24546.5,-941.0
2019-05-21 09:35:00-04:00,24531.5,-956.0
2019-05-21 09:38:00-04:00,24504.0,-983.5
2019-05-21 09:42:00-04:00,24482.0,-1005.5
2019-05-21 09:45:00-04:00,24469.0,-1018.5
2019-05-21 09:50:00-04:00,24460.5,-1027.0
2019-05-21 09:51:00-04:00,24433.0,-1054.5
2019-05-21 10:01:00-04:00,24411.5,-1076.0
2019-05-21 10:02:00-04:00,24405.0,-1082.5
2019-05-21 10:04:00-04:00,24397.5,-1090.0
2019-05-21 10:05:00-04:00,24381.5,-1106.0
2019-05-21 10:34:00-04:00,24368.5,-1119.0
2019-05-21 11:52:00-04:00,24370.0,-1117.5
2019-05-21 11:58:00-04:00,24364.0,-1123.5
2019-05-21 11:59:00-04:00,24359.0,-1128.5
2019-05-21 12:01:00-04:00,24353.5,-1134.0
2019-05-21 16:00:00-04:00,24366.5,-1121.0
2019-05-22 09:38:00-04:00,24377.5,-1110.0
2019-05-22 09:39:00-04:00,24365.5,-1122.0
2019-05-22 09:44:00-04:00,24353.5,-1134.0
2019-05-22 09:45:00-04:00,24340.0,-1147.5
2019-05-22 09:47:00-04:00,24326.5,-1161.0
2019-05-22 09:49:00-04:00,24318.0,-1169.5
2019-05-22 09:51:00-04:00,24315.5,-1172.0
2019-05-22 09:53:00-04:00,24299.0,-1188.5
2019-05-22 10:13:00-04:00,24290.0,-1197.5
2019-05-22 10:15:00-04:00,24283.0,-1204.5
2019-05-22 10:34:00-04:00,24285.5,-1202.0
2019-05-22 10:51:00-04:00,24274.5,-1213.0
2019-05-22 10:53:00-04:00,24259.0,-1228.5
2019-05-22 11:19:00-04:00,24256.0,-1231.5
2019-05-22 11:20:00-04:00,24249.5,-1238.0
2019-05-22 11:29:00-04:00,24237.0,-1250.5
2019-05-22 11:37:00-04:00,24228.5,-1259.0
2019-05-22 11:59:00-04:00,24224.0,-1263.5
2019-05-22 12:01:00-04:00,24217.0,-1270.5
2019-05-22 12:17:00-04:00,24210.0,-1277.5
2019-05-22 12:18:00-04:00,24204.0,-1283.5
2019-05-22 12:21:00-04:00,24193.5,-1294.0
2019-05-22 12:23:00-04:00,24182.0,-1305.5
2019-05-22 12:24:00-04:00,24173.5,-1314.0
2019-05-22 12:26:00-04:00,24160.5,-1327.0
2019-05-22 13:49:00-04:00,24155.5,-1332.0
2019-05-22 13:51:00-04:00,24150.5,-1337.0
2019-05-22 13:53:00-04:00,24139.0,-1348.5
2019-05-22 14:02:00-04:00,24127.5,-1360.0
2019-05-22 14:04:00-04:00,24119.5,-1368.0
2019-05-22 14:05:00-04:00,24101.5,-1386.0
2019-05-22 14:06:00-04:00,24086.5,-1401.0
2019-05-22 14:15:00-04:00,24083.0,-1404.5
2019-05-22 14:21:00-04:00,24078.0,-1409.5
2019-05-22 14:22:00-04:00,24075.5,-1412.0
2019-05-22 14:23:00-04:00,24070.0,-1417.5
2019-05-22 15:56:00-04:00,24061.0,-1426.5
2019-05-22 16:00:00-04:00,24077.5,-1410.0
2019-05-23 09:32:00-04:00,24068.5,-1419.0
2019-05-23 09:34:00-04:00,24042.0,-1445.5
2019-05-23 09:37:00-04:00,24022.0,-1465.5
2019-05-23 09:38:00-04:00,24013.0,-1474.5
2019-05-23 09:48:00-04:00,24022.5,-1465.0
2019-05-23 09:49:00-04:00,24019.0,-1468.5
2019-05-23 10:01:00-04:00,24020.0,-1467.5
2019-05-23 10:07:00-04:00,24006.5,-1481.0
2019-05-23 10:29:00-04:00,24000.0,-1487.5
2019-05-23 11:02:00-04:00,23990.0,-1497.5
2019-05-23 11:09:00-04:00,23980.5,-1507.0
2019-05-23 11:10:00-04:00,23971.5,-1516.0
2019-05-23 11:26:00-04:00,23948.5,-1539.0
2019-05-23 11:31:00-04:00,23929.5,-1558.0
2019-05-23 11:32:00-04:00,23920.0,-1567.5
2019-05-23 11:34:00-04:00,23909.0,-1578.5
2019-05-23 15:21:00-04:00,23934.0,-1553.5
2019-05-23 15:26:00-04:00,23926.5,-1561.0
2019-05-23 15:27:00-04:00,23910.5,-1577.0
2019-05-23 15:41:00-04:00,23888.5,-1599.0
2019-05-23 15:53:00-04:00,23873.5,-1614.0
2019-05-23 16:00:00-04:00,23886.0,-1601.5
2019-05-24 09:40:00-04:00,23881.5,-1606.0
2019-05-24 09:41:00-04:00,23867.0,-1620.5
2019-05-24 09:47:00-04:00,23858.5,-1629.0
2019-05-24 10:01:00-04:00,23855.5,-1632.0
2019-05-24 10:06:00-04:00,23843.0,-1644.5
2019-05-24 12:46:00-04:00,23876.5,-1611.0
2019-05-24 12:47:00-04:00,23869.5,-1618.0
2019-05-24 13:01:00-04:00,23858.0,-1629.5
2019-05-24 13:03:00-04:00,23844.0,-1643.5
2019-05-24 16:00:00-04:00,23910.0,-1577.5
2019-05-27 09:32:00-04:00,23904.0,-1583.5
2019-05-27 09:41:00-04:00,23901.5,-1586.0
2019-05-27 09:45:00-04:00,23896.0,-1591.5
2019-05-27 09:46:00-04:00,23889.0,-1598.5
