variant_name,scope,from_state,to_state,trigger,transition_count
combo_loss_0p5__profit_1p0,is,neutral,halted,overlay_hard_loss_cap,444
combo_loss_0p5__profit_1p0,is,neutral,locked_profit,overlay_hard_profit_lock,224
combo_loss_0p5__profit_1p0,oos,neutral,halted,overlay_hard_loss_cap,172
combo_loss_0p5__profit_1p0,oos,neutral,locked_profit,overlay_hard_profit_lock,100
combo_loss_0p5__profit_1p5,is,neutral,halted,overlay_hard_loss_cap,466
combo_loss_0p5__profit_1p5,is,neutral,locked_profit,overlay_hard_profit_lock,104
combo_loss_0p5__profit_1p5,oos,neutral,halted,overlay_hard_loss_cap,174
combo_loss_0p5__profit_1p5,oos,neutral,locked_profit,overlay_hard_profit_lock,57
combo_loss_0p75__profit_1p0,is,neutral,halted,overlay_hard_loss_cap,327
combo_loss_0p75__profit_1p0,is,neutral,locked_profit,overlay_hard_profit_lock,254
combo_loss_0p75__profit_1p0,oos,neutral,halted,overlay_hard_loss_cap,119
combo_loss_0p75__profit_1p0,oos,neutral,locked_profit,overlay_hard_profit_lock,113
combo_loss_0p75__profit_1p5,is,neutral,halted,overlay_hard_loss_cap,341
combo_loss_0p75__profit_1p5,is,neutral,locked_profit,overlay_hard_profit_lock,117
combo_loss_0p75__profit_1p5,oos,neutral,halted,overlay_hard_loss_cap,122
combo_loss_0p75__profit_1p5,oos,neutral,locked_profit,overlay_hard_profit_lock,63
continue_only_if_first_trade_wins,is,neutral,halted,continue_only_if_first_trade_wins,409
continue_only_if_first_trade_wins,oos,neutral,halted,continue_only_if_first_trade_wins,153
giveback_after_1p0r__0p5r,is,neutral,locked_profit,overlay_peak_giveback_lock,180
giveback_after_1p0r__0p5r,oos,neutral,locked_profit,overlay_peak_giveback_lock,88
giveback_after_1p25r__0p5r,is,neutral,locked_profit,overlay_peak_giveback_lock,113
giveback_after_1p25r__0p5r,oos,neutral,locked_profit,overlay_peak_giveback_lock,54
giveback_after_1p5r__0p75r,is,neutral,locked_profit,overlay_peak_giveback_lock,45
giveback_after_1p5r__0p75r,oos,neutral,locked_profit,overlay_peak_giveback_lock,26
hard_loss_cap_r_0p5,is,neutral,halted,overlay_hard_loss_cap,471
hard_loss_cap_r_0p5,oos,neutral,halted,overlay_hard_loss_cap,175
hard_loss_cap_r_0p75,is,neutral,halted,overlay_hard_loss_cap,345
hard_loss_cap_r_0p75,oos,neutral,halted,overlay_hard_loss_cap,123
hard_profit_lock_r_0p75,is,neutral,locked_profit,overlay_hard_profit_lock,358
hard_profit_lock_r_0p75,oos,neutral,locked_profit,overlay_hard_profit_lock,160
hard_profit_lock_r_1p0,is,neutral,locked_profit,overlay_hard_profit_lock,265
hard_profit_lock_r_1p0,oos,neutral,locked_profit,overlay_hard_profit_lock,123
hard_profit_lock_r_1p25,is,neutral,locked_profit,overlay_hard_profit_lock,184
hard_profit_lock_r_1p25,oos,neutral,locked_profit,overlay_hard_profit_lock,93
hard_profit_lock_r_1p5,is,neutral,locked_profit,overlay_hard_profit_lock,121
hard_profit_lock_r_1p5,oos,neutral,locked_profit,overlay_hard_profit_lock,66
max_trades_1,is,neutral,halted,max_trades_per_day,795
max_trades_1,oos,neutral,halted,max_trades_per_day,339
state_machine_a,is,neutral,halted,overlay_hard_loss_cap,442
state_machine_a,is,neutral,locked_profit,overlay_hard_profit_lock,218
state_machine_a,is,neutral,defensive,defensive_after_total_losses,25
state_machine_a,is,neutral,locked_profit,overlay_peak_giveback_lock,14
state_machine_a,oos,neutral,halted,overlay_hard_loss_cap,170
state_machine_a,oos,neutral,locked_profit,overlay_hard_profit_lock,93
state_machine_a,oos,neutral,defensive,defensive_after_total_losses,15
state_machine_a,oos,neutral,locked_profit,overlay_peak_giveback_lock,13
state_machine_b,is,neutral,halted,overlay_hard_loss_cap,336
state_machine_b,is,neutral,locked_profit,overlay_hard_profit_lock,175
state_machine_b,is,neutral,defensive,defensive_after_total_losses,79
state_machine_b,is,neutral,locked_profit,overlay_peak_giveback_lock,13
state_machine_b,oos,neutral,halted,overlay_hard_loss_cap,121
state_machine_b,oos,neutral,locked_profit,overlay_hard_profit_lock,85
state_machine_b,oos,neutral,defensive,defensive_after_total_losses,44
state_machine_b,oos,neutral,locked_profit,overlay_peak_giveback_lock,3
state_machine_c,is,neutral,halted,overlay_hard_loss_cap,340
state_machine_c,is,neutral,locked_profit,overlay_hard_profit_lock,116
state_machine_c,is,neutral,defensive,defensive_after_total_losses,86
state_machine_c,is,neutral,locked_profit,overlay_peak_giveback_lock,8
state_machine_c,oos,neutral,halted,overlay_hard_loss_cap,122
state_machine_c,oos,neutral,locked_profit,overlay_hard_profit_lock,61
state_machine_c,oos,neutral,defensive,defensive_after_total_losses,45
state_machine_c,oos,neutral,locked_profit,overlay_peak_giveback_lock,3
