variant_name,box_lookback,compression_threshold,target_r,asset_count,oos_positive_assets,oos_profit_factor_gt_1_assets,oos_total_trades,oos_total_net_pnl,oos_median_profit_factor,oos_median_sharpe,oos_mean_expectancy,oos_median_win_rate,oos_worst_max_drawdown,oos_median_holding_minutes,oos_median_time_in_market_pct,oos_median_top_5_day_contribution_pct,screening_score,pass_screening
vceb_n16_ct15_tr2p2,16,15.0,2.2,4,0,0,42,-467.07499999998026,0.8435207830185734,-0.6176946977644752,-16.6180212148956,0.3205128205128205,-302.74999999998545,40.0,0.026484480431848853,-5.639146093352355,5.246770333001077,False
vceb_n8_ct15_tr2p2,8,15.0,2.2,4,1,1,53,168.65312500000982,0.8700469355920982,-0.40693871635496676,2.9887517755688524,0.3181818181818182,-336.38020833333576,22.5,0.025978407557354928,-2.681434561939029,2.6837924379396854,False
vceb_n8_ct20_tr1p8,8,20.0,1.8,4,1,1,72,52.676041666667516,0.8158226273995868,-0.9702852249399021,0.013676288047746343,0.3764705882352941,-476.2604166666715,20.0,0.033738191632928474,-2.475187166441282,1.8945269167334706,False
vceb_n16_ct20_tr2p2,16,20.0,2.2,4,0,0,49,-580.4749999999772,0.6984214244095275,-1.4408494142625656,-13.944097222221648,0.29166666666666663,-429.0625,42.5,0.03382012724117987,-2.825191065165346,1.4093841906877849,False
vceb_n12_ct20_tr1p8,12,20.0,1.8,4,1,1,47,-51.49999999996817,0.7252980400081488,-1.2695448708361394,-0.4321093749992748,0.4409722222222222,-260.625,27.5,0.0270339309812994,-1.9135738432873248,0.8607083244836049,False
vceb_n8_ct15_tr1p8,8,15.0,1.8,4,2,2,53,166.81354166666824,1.0740712537209849,-0.2501505815643194,4.505406605114072,0.4318181818181818,-336.38020833333576,17.5,0.02277327935222672,0.07855189002214669,0.4101749030195101,False
vceb_n8_ct20_tr2p2,8,20.0,2.2,4,1,1,72,-35.2593749999869,0.7929007950287781,-1.0608030421974817,-2.4505682002062645,0.3246187363834423,-476.2604166666715,27.5,0.03744939271255061,-1.1194998744419582,0.28957203015605487,False
vceb_n16_ct15_tr1p8,16,15.0,1.8,4,1,1,42,-500.3374999999787,0.797925308941654,-0.8338926481813767,-17.88744658119586,0.3205128205128205,-302.74999999998545,35.0,0.025472334682861,-1.0506052209421424,0.12544750520955422,False
vceb_n12_ct20_tr2p2,12,20.0,2.2,4,1,1,47,-151.81249999996817,0.7154432868718801,-1.3844935423930136,-3.116276041665904,0.41875,-260.625,33.75,0.02755446308077887,-1.207029063910915,0.0024368278378399458,False
vceb_n12_ct15_tr2p2,12,15.0,2.2,4,0,0,33,-496.9624999999851,0.5643562147995431,-2.1650442360323434,-16.104024621211604,0.26666666666666666,-227.24999999998545,25.0,0.017081164449585504,-1.6066915131840493,-0.2886908223515179,False
vceb_n16_ct20_tr1p8,16,20.0,1.8,4,1,1,49,-621.6874999999741,0.6422063342006876,-1.706715508305698,-15.433875868054827,0.29166666666666663,-429.0625,37.5,0.03280798149219202,-0.9222114679334735,-0.6442145110812346,False
vceb_n12_ct15_tr1p8,12,15.0,1.8,4,1,1,33,-373.62499999998,0.5322203014926146,-2.3254448844178657,-10.868655303029666,0.28181818181818186,-227.24999999998545,22.5,0.016575091575091575,-0.4419634605003695,-1.3967908937203677,False
