symbol,dataset_path,resampled_dataset_path,variant_name,box_lookback,compression_threshold,target_r,is_sessions,oos_sessions,overall_total_trades,overall_net_pnl,overall_profit_factor,overall_sharpe_ratio,overall_max_drawdown,overall_win_rate,overall_average_trade,overall_expectancy,overall_median_holding_minutes,overall_time_in_market_pct,is_total_trades,is_net_pnl,is_profit_factor,is_sharpe_ratio,oos_total_trades,oos_net_pnl,oos_profit_factor,oos_sharpe_ratio,oos_max_drawdown,oos_win_rate,oos_average_trade,oos_expectancy,oos_median_holding_minutes,oos_time_in_market_pct,oos_top_5_day_contribution_pct
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n12_ct15_tr1p8,12,15.0,1.8,86,38,36,9.8500000000206,1.0160358160358498,0.060341350953440905,-227.34999999999127,0.4166666666666667,0.27361111111168335,0.27361111111168335,32.5,0.023883374689826303,25,71.95000000001187,1.162049549549578,0.5697130808309788,11,-62.09999999999127,0.6352422907489373,-1.8773805633873348,-142.87499999999272,0.36363636363636365,-5.6454545454537515,-5.6454545454537515,20.0,0.019230769230769232,-1.572463768116216
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n12_ct15_tr2p2,12,15.0,2.2,86,38,36,-42.749999999980446,0.931407942238297,-0.24043724718259257,-252.37499999999272,0.3611111111111111,-1.1874999999994569,-1.1874999999994569,35.0,0.026364764267990073,25,2.000000000014097,1.0044150110375587,0.014510852538578293,11,-44.74999999999454,0.737151248164487,-1.2467268467334938,-142.87499999999272,0.36363636363636365,-4.068181818181322,-4.068181818181322,20.0,0.020242914979757085,-2.56983240223495
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n12_ct20_tr1p8,12,20.0,1.8,86,38,44,-25.899999999973033,0.9632102272727648,-0.1535502864087826,-314.59999999999127,0.4318181818181818,-0.5886363636357508,-0.5886363636357508,35.0,0.03236145574855252,28,20.575000000013688,1.0409962640099903,0.1597966468708161,16,-46.47499999998672,0.7700680272109407,-1.2488033962796155,-140.37499999999272,0.4375,-2.90468749999917,-2.90468749999917,27.5,0.03677462887989204,-3.0693921463162197
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n12_ct20_tr2p2,12,20.0,2.2,86,38,44,-78.49999999997408,0.8899018232819412,-0.4295154800117434,-339.6249999999927,0.38636363636363635,-1.78409090909032,-1.78409090909032,40.0,0.0348428453267163,28,-49.374999999984084,0.9033520919990509,-0.3527065499246187,16,-29.124999999989996,0.8559059987631853,-0.7333979616373246,-140.37499999999272,0.4375,-1.8203124999993747,-1.8203124999993747,35.0,0.037786774628879895,-5.493562231761622
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n16_ct15_tr1p8,16,15.0,1.8,86,38,30,-186.67499999998086,0.6500937207123052,-1.4555875774310518,-289.82499999998254,0.4,-6.2224999999993615,-6.2224999999993615,45.0,0.024710504549214227,16,-192.44999999998868,0.48248739495800413,-2.17246723915891,14,5.775000000007822,1.035730858468727,0.14667885483355098,-76.87499999999272,0.5,0.4125000000005587,0.4125000000005587,32.5,0.03576248313090418,28.380952380914113
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n16_ct15_tr2p2,16,15.0,2.2,86,38,30,-202.49999999997613,0.6204311152765121,-1.600434306487007,-271.62499999998545,0.4,-6.749999999999204,-6.749999999999204,57.5,0.026054590570719603,16,-182.87499999998658,0.5082352941176741,-2.0548602357182824,14,-19.62499999998954,0.8785769528229531,-0.5252304491625007,-68.25,0.5,-1.4017857142849672,-1.4017857142849672,42.5,0.03744939271255061,-7.057324840768278
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n16_ct20_tr1p8,16,20.0,1.8,86,38,36,-263.89999999997826,0.5905352986811728,-1.9069310751891313,-367.69999999998254,0.3888888888888889,-7.330555555554952,-7.330555555554952,55.0,0.030707196029776673,20,-278.9499999999862,0.39276190476192435,-2.9238677038213954,16,15.050000000007913,1.08129642133698,0.35526273232575006,-68.25,0.5,0.9406250000004945,0.9406250000004945,37.5,0.04251012145748988,12.303986710956938
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n16_ct20_tr2p2,16,20.0,2.2,86,38,36,-271.7749999999751,0.5783165244375778,-1.9711950317056706,-358.12499999998545,0.3888888888888889,-7.549305555554863,-7.549305555554863,60.0,0.03205128205128205,20,-269.3749999999841,0.4136054421768952,-2.8112620438084437,16,-2.399999999990996,0.9870357866307031,-0.0576852066235988,-68.25,0.5,-0.14999999999943725,-0.14999999999943725,47.5,0.0441970310391363,-71.13541666693351
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n8_ct15_tr1p8,8,15.0,1.8,86,38,41,64.32500000002051,1.1173813868613534,0.42136972213138446,-191.15416666665988,0.5121951219512195,1.5689024390248905,1.5689024390248905,30.0,0.024400330851943756,30,95.65416666668511,1.22495835374821,0.7815892485086142,11,-31.329166666664605,0.7448591788259373,-1.3892617095870932,-62.8708333333343,0.36363636363636365,-2.8481060606058732,-2.8481060606058732,15.0,0.01720647773279352,-2.1533448596889038
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n8_ct15_tr2p2,8,15.0,2.2,86,38,41,114.85000000002401,1.2095802919708505,0.7278361449231948,-161.625,0.5121951219512195,2.8012195121957078,2.8012195121957078,30.0,0.026261373035566585,30,123.18750000002183,1.289710926016715,0.9807819380580011,11,-8.337499999997817,0.9321004411265861,-0.32725852314595993,-51.920833333337214,0.36363636363636365,-0.757954545454347,-0.757954545454347,20.0,0.018556005398110663,-10.759120439782789
