timestamp,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,session_date,minute_of_day,weekday,bar_in_session,session_vwap,continuous_session_date,continuous_session_vwap,or_high,or_low,or_width,or_midpoint,atr_14,open_rth,high_rth,low_rth,close_rth,range_rth,prev_close_rth,prev_high_rth,prev_low_rth,close_position,pattern_nr4,pattern_nr7,pattern_inside_day,pattern_outside_day,pattern_triangle,pattern_strong_close,pattern_weak_close,pattern_nr4_or_nr7,pattern_nr4_or_triangle,pattern_nr4_or_nr7_or_triangle,open_prevclose_max,open_prevclose_min,signal,raw_signal,atr_filter_pass,direction_filter_pass,filter_pass,filtered_out,candidate_base_pass,ensemble_score,ensemble_selected,atr_10,atr_20,vol_std_15,vol_std_60,rth_open,atr_20_open,rth_close,prev_rth_close,overnight_range_pts,trade_id,entry_time,exit_time,direction,quantity,net_pnl_usd,trade_risk_usd,fees,exit_reason,phase,weekday_name,atr_ratio_10_30,opening_range_width_pts,realized_vol_ratio_15_60,gap_abs_atr20,signal_vwap_distance_atr20,signal_extension_over_or,nominal_selected
2019-06-18 13:48:00+00:00,33,1,8078,7669.5,7680.25,7664.5,7678.5,202,MNQ.c.0,2019-06-18,588,1,422,7608.166696382582,2019-06-18,7601.841078600115,7676.5,7598.0,78.5,7637.25,12.25,7616.0,7693.0,7598.0,7638.5,95.0,7530.25,7550.75,7491.75,0.4263157894736842,False,False,False,False,False,False,False,False,False,False,7616.0,7530.25,1,1,True,True,True,False,True,0.8571428571428571,True,14.75,11.4375,0.001098447051997025,0.0006628334878860008,7575.75,1.8875,7654.75,7530.5,70.75,1,2019-06-18 09:49:00-04:00,2019-06-18 16:00:00-04:00,long,1,-83.0,165.0,2.5,time_exit,is,tuesday,1.2040816326530612,78.5,1.6571990885679937,23.973509933774835,6.702419357366995,0.025477707006369428,True
2019-08-06 14:03:00+00:00,33,1,8084,7527.0,7533.25,7526.5,7530.25,1690,MNQ.c.0,2019-08-06,603,1,604,7472.392190180986,2019-08-06,7418.336751122786,7528.5,7489.75,38.75,7509.125,9.232142857142858,7491.0,7548.75,7437.25,7528.75,111.5,7425.25,7540.75,7361.0,0.820627802690583,False,False,False,False,False,False,False,False,False,False,7491.0,7425.25,1,1,True,True,True,False,True,0.8571428571428571,True,8.725,9.825,0.0006301897401354246,0.0007120503098793156,7482.75,4.1375,7487.5,7461.75,260.5,2,2019-08-06 10:04:00-04:00,2019-08-06 10:14:00-04:00,long,2,-171.0,171.0,5.0,stop,is,tuesday,0.9450676982591876,38.75,0.8850354130766892,5.075528700906344,11.390661463329653,0.04516129032258064,True
2019-08-08 14:00:00+00:00,33,1,8084,7620.0,7626.25,7617.0,7624.0,1920,MNQ.c.0,2019-08-08,600,3,601,7595.798913788244,2019-08-08,7591.922639513941,7617.25,7583.5,33.75,7600.375,9.339285714285714,7601.5,7737.25,7578.0,7736.5,159.25,7566.25,7577.25,7387.75,0.9952904238618524,False,False,False,True,False,True,False,False,False,False,7601.5,7566.25,1,1,True,True,True,False,True,0.8571428571428571,True,9.425,9.2375,0.0008310624179686113,0.0006875068167020629,7584.75,3.825,7687.75,7478.0,84.75,3,2019-08-08 10:01:00-04:00,2019-08-08 14:42:00-04:00,long,2,326.0,172.0,5.0,target,is,thursday,1.0091778202676867,33.75,1.208806076942157,27.908496732026144,3.472515343551691,0.2,True
2019-08-13 13:45:00+00:00,33,1,8084,7629.0,7656.5,7613.25,7656.25,3809,MNQ.c.0,2019-08-13,585,1,584,7562.850213631446,2019-08-13,7564.665696989075,7631.0,7555.25,75.75,7593.125,17.428571428571427,7566.75,7789.25,7555.25,7740.5,234.0,7567.0,7633.75,7534.75,0.7916666666666666,True,True,False,False,False,False,False,True,True,True,7567.0,7566.75,1,1,True,True,True,False,True,0.8571428571428571,True,20.3,13.8125,0.0016246036498407132,0.0008877320603141183,7528.0,5.375,7742.25,7612.75,72.5,4,2019-08-13 09:46:00-04:00,2019-08-13 16:00:00-04:00,long,1,167.0,204.5,2.5,time_exit,is,tuesday,1.164754098360656,75.75,1.8300608060340386,15.767441860465116,6.630537774546635,0.3333333333333333,True
2019-09-03 13:51:00+00:00,33,1,8084,7662.75,7674.25,7662.75,7670.5,1413,MNQ.c.0,2019-09-03,591,1,591,7635.183455909408,2019-09-03,7636.271430946321,7669.0,7627.5,41.5,7648.25,9.125,7638.5,7676.75,7587.5,7612.0,89.25,7614.0,7671.75,7581.5,0.27450980392156865,False,False,False,False,False,False,False,False,False,False,7638.5,7614.0,1,1,True,True,True,False,True,0.5714285714285714,True,9.375,9.8875,0.0008183425554131723,0.000571283312347029,7619.25,3.7625,7634.0,7619.0,68.0,5,2019-09-03 09:52:00-04:00,2019-09-03 10:04:00-04:00,long,2,-180.0,180.0,5.0,stop,is,tuesday,1.0273972602739727,41.5,1.4324636090823983,0.06644518272425248,3.4618021798916985,0.03614457831325301,True
2019-09-12 14:10:00+00:00,33,1,8084,7935.25,7977.5,7930.25,7972.25,4262,MNQ.c.0,2019-09-12,610,3,610,7932.596092724956,2019-09-12,7933.943506254815,7957.0,7924.5,32.5,7940.75,8.267857142857142,7936.75,7982.0,7909.5,7921.0,72.5,7888.75,7894.25,7811.0,0.15862068965517243,False,False,False,False,False,True,False,False,False,False,7936.75,7888.75,1,1,True,True,True,False,True,0.5714285714285714,True,9.325,7.925,0.0012412681329717538,0.0007530318094285871,7916.0,1.45,7949.0,7881.75,73.25,6,2019-09-12 10:11:00-04:00,2019-09-12 10:51:00-04:00,long,2,-198.0,198.0,5.0,stop,is,thursday,1.1278617710583154,32.5,1.6483608227833675,23.620689655172413,4.833626971001316,0.46923076923076923,True
2019-10-03 15:08:00+00:00,33,1,8107,7589.75,7604.5,7588.25,7600.0,1916,MNQ.c.0,2019-10-03,668,3,668,7547.1744525881395,2019-10-03,7548.594864385576,7586.0,7549.0,37.0,7567.5,10.892857142857142,7567.5,7659.75,7474.75,7656.0,185.0,7570.25,7652.25,7525.5,0.9797297297297297,False,False,False,False,False,False,False,False,False,False,7570.25,7567.5,1,1,True,True,True,False,True,0.8571428571428571,True,11.425,9.8125,0.0004773055172622888,0.0007390243840823334,7575.5,2.4,7589.0,7556.75,45.0,7,2019-10-03 11:09:00-04:00,2019-10-03 16:00:00-04:00,long,2,215.0,215.0,5.0,time_exit,is,thursday,1.0488524590163935,37.0,0.6458589561357599,7.8125,5.23873993522789,0.3783783783783784,True
2019-12-13 15:01:00+00:00,33,1,8107,8480.5,8495.0,8477.0,8493.5,361,MNQ.c.0,2019-12-13,601,4,575,8482.136822108363,2019-12-13,8487.512645344785,8474.5,8440.0,34.5,8457.25,8.553571428571429,8455.75,8521.75,8440.0,8491.0,81.75,8460.5,8497.0,8381.0,0.6238532110091743,False,False,False,False,False,False,False,False,False,False,8460.5,8455.75,1,1,True,True,True,False,True,0.5714285714285714,True,9.65,8.2875,0.0005090776031555337,0.0006703277318739081,8511.5,1.425,8472.25,8477.75,39.75,8,2019-12-13 10:02:00-05:00,2019-12-13 16:00:00-05:00,long,2,-15.0,221.0,5.0,time_exit,is,friday,1.1281837160751567,34.5,0.7594458336557284,23.684210526315788,0.7224560669943063,0.5507246376811594,True
2020-02-03 14:45:00+00:00,33,1,8196,9090.0,9108.5,9090.0,9108.25,2156,MNQ.c.0,2020-02-03,585,0,586,9059.579652705943,2020-02-03,9055.285982923848,9094.5,9035.75,58.75,9065.125,8.660714285714286,9041.5,9155.75,9035.75,9128.5,120.0,9000.25,9184.0,8965.0,0.7729166666666667,False,False,False,True,False,False,True,False,False,False,9041.5,9000.25,1,1,True,True,True,False,True,0.7142857142857143,True,7.425,8.525,0.0007156710811143805,0.0004984557999937871,9049.75,4.4875,9136.25,9061.75,116.75,9,2020-02-03 09:46:00-05:00,2020-02-03 16:00:00-05:00,long,1,37.5,149.0,2.5,time_exit,is,monday,0.8573195876288658,58.75,1.4357764141239822,2.6740947075208914,6.212787926821376,0.23404255319148937,True
2020-03-04 15:22:00+00:00,33,1,8196,8769.75,8784.75,8766.25,8783.5,1847,MNQ.c.0,2020-03-04,622,2,623,8736.88856807688,2020-03-04,8715.123848520838,8783.0,8687.25,95.75,8735.125,14.410714285714286,8745.5,8950.0,8665.5,8917.25,284.5,8606.25,9003.0,8510.75,0.8848857644991213,False,False,False,False,False,False,True,False,False,False,8745.5,8606.25,1,1,True,True,True,False,True,1.0,True,13.125,16.4875,0.001122758848817971,0.0014338650027113915,8746.0,7.3375,8733.25,8937.75,254.5,10,2020-03-04 10:23:00-05:00,2020-03-04 16:00:00-05:00,long,1,265.0,196.0,2.5,time_exit,is,wednesday,0.9107806691449813,95.75,0.783029676221172,26.132879045996592,4.1471509615867905,0.005221932114882507,True
