name,family,symbol,timeframe,bar_minutes,dataset_path,min_oos_trades,overall_net_pnl,overall_profit_factor,overall_sharpe_ratio,overall_sortino_ratio,overall_max_drawdown,overall_total_trades,overall_expectancy_per_trade,overall_avg_holding_time_min,overall_time_in_market_pct,overall_top_5_day_contribution_pct,overall_positive_month_ratio,is_net_pnl,is_profit_factor,is_sharpe_ratio,oos_net_pnl,oos_profit_factor,oos_sharpe_ratio,oos_sortino_ratio,oos_max_drawdown,oos_total_trades,oos_expectancy_per_trade,oos_avg_holding_time_min,oos_time_in_market_pct,oos_top_5_day_contribution_pct,oos_positive_month_ratio,notes,screening_score,pass_screening
m2k_5m_opening_stretch_open_fade,opening_stretch_fade,M2K,5m,5,data\exports\mean_reversion_full_20260324_170547\data\M2K_c_0_5m_20260322_134808.parquet,16,-406.4374999999359,0.5046088215129654,-0.7825733763256535,-0.1603030720824677,-453.82499999995343,69,-5.890398550723709,14.768115942028986,0.0014956041859304596,-0.5634322620330102,0.1927710843373494,-394.44999999994707,0.37582087190447,-1.0850031842826602,-11.987499999988813,0.9364016181444971,-0.07704466861029685,-0.016533810705018193,-70.48749999999563,20,-0.5993749999994407,15.1,0.001474969474969475,-12.429614181450958,0.2692307692307692,M2K opening stretch fade kept only when follow-through volume is not explosive.,14.28717948120182,False
mes_15m_rsi3_exit_extreme,rsi_stochastic_contrarian,MES,15m,15,data\exports\mean_reversion_full_20260324_170547\data\MES_c_0_15m_20260322_135702.parquet,18,-61.112139485728676,0.8134369045069009,-0.16561617743748983,-0.016495526947889312,-140.5489172164016,38,-1.6082141969928598,18.42105263157895,0.0010274022867039468,-2.046480935671833,0.21686746987951808,-51.330580268579524,0.7250987361682542,-0.2266852878076075,-9.781559217149152,0.9305506553839613,-0.07117151938338379,-0.008480641964500697,-95.01588583565172,13,-0.7524276320883962,16.46153846153846,0.0010451770451770453,-11.580879141340414,0.15384615384615385,"Fast RSI fade around session anchor, only after the oscillator exits the extreme zone.",13.064797346392982,False
mes_5m_bollinger_20x2_immediate,bollinger_zscore_reversion,MES,5m,5,data\exports\mean_reversion_full_20260324_170547\data\MES_c_0_5m_20260322_135702.parquet,28,-2890.7767857142994,0.7065786373275802,-1.2565773709203307,-0.7243730464565296,-3298.883928571442,607,-4.7623999764650735,14.546952224052719,0.01295994598799407,-0.2899739627571658,0.26506024096385544,-2811.4017857142903,0.5959592978494063,-1.9861697644101264,-79.3750000000091,0.9725701943844461,-0.09315015554193563,-0.06062364331229469,-522.6250000000073,162,-0.48996913580252527,14.567901234567902,0.011526251526251526,-9.977165354329554,0.4230769230769231,Classic MES Bollinger fade retained only in low directional pressure regimes.,12.066511443387045,False
mes_5m_bollinger_30x2p5_reentry,bollinger_zscore_reversion,MES,5m,5,data\exports\mean_reversion_full_20260324_170547\data\MES_c_0_5m_20260322_135702.parquet,24,120.7857142857165,2.7870541611624904,0.518078676301674,0.046870154295979474,-67.58928571428987,9,13.420634920635166,8.444444444444445,0.00011154653398499993,1.3719199684604608,0.060240963855421686,44.327380952381645,1.65583443416997,0.26242797460280665,76.45833333333485,inf,1.198828399194896,0.0,0.0,3,25.486111111111615,6.666666666666667,9.768009768009768e-05,1.0,0.07692307692307693,"MES reentry inside wide bands, favored over immediate catch-the-falling-knife variants.",2.8412454450163525,False
mes_15m_bollinger_30x2p5_reentry,bollinger_zscore_reversion,MES,15m,15,data\exports\mean_reversion_full_20260324_170547\data\MES_c_0_15m_20260322_135702.parquet,16,123.95833333333485,inf,0.6366435551196277,0.0,0.0,4,30.989583333333712,30.25,0.00017759382384453936,1.0,0.04819277108433735,58.20833333333212,inf,0.5639825969831737,65.75000000000273,inf,0.796655425691993,0.0,0.0,2,32.875000000001364,15.0,0.00014652014652014652,1.0,0.07692307692307693,"MES reentry inside wide bands, favored over immediate catch-the-falling-knife variants.",2.6620380303763245,False
mes_15m_bollinger_20x2_immediate,bollinger_zscore_reversion,MES,15m,15,data\exports\mean_reversion_full_20260324_170547\data\MES_c_0_15m_20260322_135702.parquet,18,-1052.4017857142735,0.7511001773798491,-0.5084721198065304,-0.15729640671580808,-1650.5267857142826,156,-6.746165293040215,34.46153846153846,0.00789044956188631,-0.8481704264904362,0.3132530120481928,-902.7232142857156,0.7065422459582619,-0.5951346983629401,-149.67857142855792,0.8700767263427225,-0.27386340763727013,-0.07577754979177,-303.3749999999927,45,-3.3261904761901757,32.022222222222226,0.007037851037851038,-3.332557862085716,0.34615384615384615,Classic MES Bollinger fade retained only in low directional pressure regimes.,2.4654714762632235,False
mnq_15m_vwap_ext_atr_filtered,vwap_extension_reversion,MNQ,15m,15,data\exports\mean_reversion_full_20260324_170547\data\MNQ_c_0_15m_20260321_094501.parquet,18,209.82483861784385,1.3040892471286503,0.2114852470277661,0.03247152421238204,-443.4857142857072,30,6.994161287261462,29.1,0.0012813174232750649,2.8992542394445597,0.13253012048192772,-84.70373281072716,0.8444488119904521,-0.13068153386928857,294.528571428571,3.024648924678377,0.8684565485217044,0.10898789815761513,-145.471428571429,9,32.72539682539678,34.22222222222222,0.0015042735042735042,1.3869622156472834,0.23076923076923078,MNQ excess fade only when extension is large but intraday trend pressure stays moderate.,2.4218456994191735,False
m2k_5m_streak3_local_mean,streak_exhaustion_reversion,M2K,5m,5,data\exports\mean_reversion_full_20260324_170547\data\M2K_c_0_5m_20260322_134808.parquet,18,19.950000000003456,inf,0.6498328088927373,0.0,0.0,3,6.650000000001152,7.0,3.08220686011184e-05,1.0,0.03614457831325301,8.175000000001091,inf,0.45429968785836344,11.775000000002365,inf,0.9814876719661363,0.0,0.0,2,5.887500000001182,5.5,5.3724053724053725e-05,1.0,0.07692307692307693,"M2K streak fade toward local mean, especially after a short impulsive run.",2.215542362245915,False
mnq_5m_vwap_ext_atr_filtered,vwap_extension_reversion,MNQ,5m,5,data\exports\mean_reversion_full_20260324_170547\data\MNQ_c_0_5m_20260321_094501.parquet,25,-4539.112978387788,0.8170454970968608,-0.9406885178510055,-0.5974204893517261,-5401.084669708813,1065,-4.262077913979144,16.63568075117371,0.02600355187647689,-0.24834458262257988,0.37349397590361444,-3736.3107324676203,0.7642974368416993,-1.249944404607356,-802.8022459201675,0.9103841391175476,-0.4518607567769554,-0.2764858400480533,-1634.5058023470556,317,-2.5324991984863328,16.57097791798107,0.025655677655677656,-1.235285085672987,0.4230769230769231,MNQ excess fade only when extension is large but intraday trend pressure stays moderate.,-0.20862310025969832,False
m2k_15m_opening_stretch_open_fade,opening_stretch_fade,M2K,15m,15,data\exports\mean_reversion_full_20260324_170547\data\M2K_c_0_15m_20260322_134808.parquet,16,-283.9124999999342,0.7607974471581161,-0.3572480125227614,-0.07149572575108432,-340.68749999994907,76,-3.735690789472818,41.078947368421055,0.004582214198699602,-1.1218245057899248,0.30120481927710846,-131.7999999999563,0.8189062929376748,-0.25933998284910215,-152.1124999999779,0.6686814233984436,-0.5418403467154304,-0.10434782845884874,-210.8874999999971,23,-6.613586956520778,41.91304347826087,0.004708180708180708,-1.4134275618377061,0.3076923076923077,M2K opening stretch fade kept only when follow-through volume is not explosive.,-0.9580548538825693,False
