symbol,dataset_path,resampled_dataset_path,variant_name,ema_fast,ema_slow,slope_lookback,pullback_lookback,pb_min_atr,target_r,is_sessions,oos_sessions,overall_total_trades,overall_net_pnl,overall_profit_factor,overall_sharpe_ratio,overall_max_drawdown,overall_win_rate,overall_average_trade,overall_expectancy,overall_median_holding_minutes,overall_time_in_market_pct,is_total_trades,is_net_pnl,is_profit_factor,is_sharpe_ratio,oos_total_trades,oos_net_pnl,oos_profit_factor,oos_sharpe_ratio,oos_max_drawdown,oos_win_rate,oos_average_trade,oos_expectancy,oos_median_holding_minutes,oos_time_in_market_pct,oos_top_5_day_contribution_pct,oos_pnl_excluding_top_5_days,oos_median_mfe_r,oos_median_mae_r,oos_pct_trades_reaching_1r_mfe
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl3_pb3_pm0p3_tr1p5,12,34,3,3,0.3,1.5,394,169,560,-2345.8281249996776,0.6833735303620734,-2.6173657566548147,-2449.22968749969,0.39107142857142857,-4.188978794642281,-4.188978794642281,30.0,0.08994853577446828,397,-1290.385937499766,0.7399631094838829,-2.160390301789134,163,-1055.4421874999116,0.5685909717964646,-3.570105544899484,-1036.3416666665871,0.37423312883435583,-6.475105444784734,-6.475105444784734,30.0,0.08564709452283417,0.3582562403495226,-1433.5609374999058,0.5400727020946012,-0.8651911468813591,0.2883435582822086
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl3_pb3_pm0p3_tr2p0,12,34,3,3,0.3,2.0,394,169,556,-2096.523958332957,0.7210767547078465,-2.1905900718203464,-2140.147916666312,0.368705035971223,-3.7707265437643116,-3.7707265437643116,40.0,0.09753153891697408,395,-1211.0770833330616,0.7619677034056515,-1.8938608558023458,161,-885.4468749998955,0.6354118011887184,-2.811637387681062,-873.6520833332324,0.36645962732919257,-5.499670031055252,-5.499670031055252,35.0,0.09300561371567288,0.5035122331121054,-1331.280208333228,0.5400727020946012,-0.8651911468813591,0.2857142857142857
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl3_pb3_pm0p3_tr2p5,12,34,3,3,0.3,2.5,394,169,551,-2104.178124999552,0.7186448057657365,-2.1275251035559712,-2142.8578124995765,0.3629764065335753,-3.818835072594468,-3.818835072594468,45.0,0.10174431844058843,391,-1192.0432291663485,0.7642020306836664,-1.7998370033134283,160,-912.1348958332032,0.6236083839975092,-2.8145376696559503,-902.6151041665798,0.3625,-5.70084309895752,-5.70084309895752,40.0,0.09535730541647701,0.5150919403255121,-1381.9682291665367,0.5447095507397353,-0.8651892920687254,0.2875
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,12,34,3,3,0.5,1.5,394,169,553,-2263.5770833330184,0.6904337549285453,-2.531181673786968,-2376.915104166357,0.39421338155515373,-4.093267781795693,-4.093267781795693,30.0,0.08928815411941522,394,-1260.4921874997694,0.7444477741679142,-2.110841216401482,159,-1003.084895833249,0.57847690569545,-3.4103160462847026,-983.9843749999272,0.37735849056603776,-6.308710036687101,-6.308710036687101,30.0,0.08420573509330906,0.3769558803753057,-1381.2036458332432,0.5493463993848694,-0.8648145995583897,0.2893081761006289
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl3_pb3_pm0p5_tr2p0,12,34,3,3,0.5,2.0,394,169,549,-2020.0979166662978,0.7277409688706251,-2.112634281283644,-2073.6583333329763,0.37158469945355194,-3.679595476623493,-3.679595476623493,40.0,0.09682561369950357,392,-1181.183333333065,0.7664711009182293,-1.8475375712498763,157,-838.9145833332327,0.6447970686070803,-2.6685691230146342,-827.1197916665697,0.36942675159235666,-5.3434049893836475,-5.3434049893836475,35.0,0.09141253224093461,0.5314406760720706,-1284.7479166665653,0.5493463993848694,-0.8648145995583897,0.28662420382165604
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl3_pb3_pm0p5_tr2p5,12,34,3,3,0.5,2.5,394,169,544,-2033.5770833328922,0.7245221660404964,-2.0578515536414166,-2082.193229166245,0.36580882352941174,-3.738193167891346,-3.738193167891346,45.0,0.10101562144190919,388,-1162.149479166352,0.7687478520850374,-1.7550857120781245,156,-871.4276041665403,0.6302079810880878,-2.6933646182529123,-870.1223958332557,0.36538461538461536,-5.5860743856829504,-5.5860743856829504,45.0,0.09368836291913216,0.5391536039103286,-1341.2609374998738,0.5558682787785661,-0.8634482337012197,0.28846153846153844
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl5_pb5_pm0p3_tr1p5,12,34,5,5,0.3,1.5,394,169,241,-694.7802083331783,0.7632376980077622,-1.1965315610830147,-887.4052083331917,0.4149377593360996,-2.8829054287683746,-2.8829054287683746,35.0,0.04039713986428018,174,-601.8786458332272,0.7262250030206389,-1.4244701781472198,67,-92.90156249995107,0.8737857688715903,-0.5928381773261713,-140.74270833330957,0.4925373134328358,-1.3865904850738966,-1.3865904850738966,35.0,0.03762706721286603,2.635024751782858,-337.6994791666243,0.7213977080593611,-0.7501352407284915,0.3582089552238806
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl5_pb5_pm0p3_tr2p0,12,34,5,5,0.3,2.0,394,169,239,-632.2343749998186,0.7877675917971367,-1.0077734304491741,-782.4052083332135,0.3891213389121339,-2.6453321129699523,-2.6453321129699523,45.0,0.044427745138224714,172,-580.6322916665476,0.740720790870773,-1.2977349424999745,67,-51.60208333327091,0.9302262035551111,-0.2877056929768691,-157.96666666666715,0.4626865671641791,-0.7701803482577748,-0.7701803482577748,50.0,0.042558033682294036,6.3591586257093,-379.74791666661076,0.7213977080593611,-0.7501352407284915,0.3582089552238806
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,394,169,238,-681.1036458331216,0.7728263864303639,-1.069432532393059,-842.8437499998472,0.37815126050420167,-2.8617800245089144,-2.8617800245089144,50.0,0.04661383613426242,172,-649.0567708331866,0.7126288534985058,-1.4335070698426116,66,-32.04687499993497,0.9566677934590567,-0.1746852791458176,-157.96666666665988,0.45454545454545453,-0.48555871212022683,-0.48555871212022683,52.5,0.043468365953573056,10.92358199254642,-382.1135416666107,0.7233735801347433,-0.7570883889536837,0.36363636363636365
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl5_pb5_pm0p5_tr1p5,12,34,5,5,0.5,1.5,394,169,239,-685.1708333331806,0.7645801509232327,-1.1774500102554974,-877.7958333331917,0.41422594142259417,-2.866823570431718,-2.866823570431718,35.0,0.0402377373958191,173,-577.7942708332296,0.7342690659696887,-1.3620648205783903,66,-107.37656249995098,0.8541203192664271,-0.6873391272271296,-155.2177083333081,0.48484848484848486,-1.626917613635621,-1.626917613635621,37.5,0.03747534516765286,2.2798077249565987,-352.1744791666242,0.7213333882100944,-0.7570883889536837,0.3484848484848485
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl5_pb5_pm0p5_tr2p0,12,34,5,5,0.5,2.0,394,169,237,-628.4499999998206,0.7873184681312401,-0.9990442524719713,-782.4052083332135,0.3881856540084388,-2.6516877637123235,-2.6516877637123235,45.0,0.044222799107346174,171,-556.54791666655,0.7487736938523344,-1.2370380409202744,66,-71.90208333327064,0.9027775430294617,-0.402683655171792,-157.96666666665988,0.45454545454545453,-1.0894255050495552,-1.0894255050495552,50.0,0.042254589591867696,4.563787558315431,-400.0479166666105,0.7213333882100944,-0.7570883889536837,0.3484848484848485
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef12_es34_sl5_pb5_pm0p5_tr2p5,12,34,5,5,0.5,2.5,394,169,236,-683.1442708331235,0.7703005762288361,-1.0751087674608126,-823.6593749998574,0.3771186440677966,-2.894679113699676,-2.894679113699676,52.5,0.04638611832217516,171,-624.972395833189,0.7203098078630488,-1.3806758437215672,65,-58.171874999934516,0.9213428547283873,-0.319314284003725,-157.96666666665988,0.4461538461538462,-0.8949519230759156,-0.8949519230759156,55.0,0.04308906084054013,6.0177992658319805,-408.2385416666102,0.7213977080593611,-0.7640415371788759,0.35384615384615387
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef8_es21_sl3_pb3_pm0p3_tr1p5,8,21,3,3,0.3,1.5,394,169,478,-1995.178645833031,0.6870792215649326,-2.3225396167590207,-2095.928124999693,0.38284518828451886,-4.174013903416383,-4.174013903416383,32.5,0.07701416404791182,340,-1018.7609374997976,0.7599335626949969,-1.7392614573105336,138,-976.4177083332333,0.5420875404427486,-3.600395496362408,-945.115624999904,0.36231884057971014,-7.075490640095894,-7.075490640095894,30.0,0.07297830374753451,0.33516809425613886,-1303.6817708332296,0.4962595619814608,-0.8797695727028816,0.26811594202898553
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef8_es21_sl3_pb3_pm0p3_tr2p0,8,21,3,3,0.3,2.0,394,169,475,-1993.090624999653,0.6946051241911504,-2.1851259482542353,-2045.485416666328,0.35368421052631577,-4.195980263157164,-4.195980263157164,40.0,0.08411895978503439,339,-1078.9802083330949,0.7541810095746388,-1.7238239184837028,136,-914.1104166665582,0.5722351018880484,-3.209438994674392,-887.924999999901,0.3382352941176471,-6.721400122548222,-6.721400122548222,37.5,0.07836443635260203,0.41412757849735576,-1292.6687499998889,0.4962595619814608,-0.8797695727028816,0.2647058823529412
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,394,169,471,-2220.0234374995966,0.6608903919959227,-2.4090885600343426,-2269.488020832934,0.34394904458598724,-4.713425557323984,-4.713425557323984,45.0,0.08760304230996949,336,-1267.0072916663867,0.7130178652618262,-2.0154803047960597,135,-953.01614583321,0.5529294285688168,-3.2700449593409266,-919.8046874998763,0.3333333333333333,-7.059378858023778,-7.059378858023778,40.0,0.0804885449855864,0.4315192281523434,-1364.2609374998779,0.49906425452280606,-0.8807896735004024,0.26666666666666666
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef8_es21_sl3_pb3_pm0p5_tr1p5,8,21,3,3,0.5,1.5,394,169,470,-1939.3822916663726,0.691144790472638,-2.2654842210363815,-2040.1317708330316,0.3851063829787234,-4.126345301417814,-4.126345301417814,35.0,0.07621715170560642,336,-1010.7171874998016,0.7601393793857707,-1.7284359723010856,134,-928.6651041665709,0.550390292464697,-3.4459237209713014,-897.3630208332397,0.3656716417910448,-6.930336598257992,-6.930336598257992,30.0,0.07138522227279624,0.35240267027552297,-1255.9291666665672,0.5062303464175004,-0.8786823035485194,0.26865671641791045
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef8_es21_sl3_pb3_pm0p5_tr2p0,8,21,3,3,0.5,2.0,394,169,467,-1884.3645833329958,0.7063731182373733,-2.0658771236407882,-1936.7593749996668,0.35974304068522484,-4.035041934331897,-4.035041934331897,40.0,0.08295759894338935,335,-1037.5864583330997,0.761361058184521,-1.6583913335327798,132,-846.7781249998961,0.5908520562162469,-2.968089400010438,-820.5927083332354,0.3484848484848485,-6.414985795453759,-6.414985795453759,37.5,0.07616446669701107,0.45482693592261875,-1231.9156249998991,0.5062303464175004,-0.8786823035485194,0.26515151515151514
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,394,169,463,-2111.2973958329394,0.6720517967899874,-2.2895806408384525,-2160.761979166273,0.34989200863930886,-4.56003757199339,-4.56003757199339,50.0,0.08644168146832445,332,-1225.6135416663915,0.7197662839438135,-1.9502969751573478,131,-885.6838541665479,0.5709640909403259,-3.029035181943498,-852.4723958332179,0.3435114503816794,-6.760945451653037,-6.760945451653037,40.0,0.07828857532999545,0.47261502852381254,-1304.2713541665512,0.5133964383121948,-0.8787494719053607,0.26717557251908397
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\intraday_momentum_pullback_continuation_20260328_recent_window\data\M2K_c_0_5m_20260322_134808.parquet,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,8,21,5,5,0.3,1.5,394,169,177,-397.01197916656156,0.8082731522098249,-0.7905230222405573,-650.4770833332441,0.4293785310734463,-2.243005532014472,-2.243005532014472,35.0,0.029466684884091633,128,-395.2630208332562,0.7506004085539035,-1.0696466910438958,49,-1.7489583333053815,0.9964002709981192,-0.013389722275689395,-114.29479166666715,0.5510204081632653,-0.03569302721031391,-0.03569302721031391,45.0,0.02897891063571537,113.54854079991249,-200.34062499997844,0.7749588138385832,-0.6731274885433329,0.3877551020408163
