symbol,variant_name,ema_fast,ema_slow,slope_lookback,pullback_lookback,pb_min_atr,target_r,year,oos_sessions,n_trades,net_pnl,profit_factor,sharpe_ratio,win_rate,average_trade,max_drawdown
M2K,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,12,34,3,3,0.5,1.5,2025,114,101,-316.8463541666165,0.7239363053856678,-1.90268724830322,0.39603960396039606,-3.1370926155110546,-347.94895833329065
M2K,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,12,34,3,3,0.5,1.5,2026,55,58,-686.2385416666325,0.4429604087731072,-5.796668681928743,0.3448275862068966,-11.831698994252285,-686.2385416666348
MES,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,12,34,3,3,0.5,1.5,2025,114,132,-989.7656249999909,0.6388880179458652,-3.0289352433142223,0.3712121212121212,-7.498224431818113,-1017.3007812499918
MES,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,12,34,3,3,0.5,1.5,2026,55,60,-795.3776041666833,0.4857887967028423,-4.4580163435744735,0.4,-13.256293402778056,-793.7526041666661
MGC,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,12,34,3,3,0.5,1.5,2025,97,51,-392.7343749999909,0.718129009105996,-1.4449348811356397,0.4117647058823529,-7.700674019607665,-510.969791666671
MGC,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,12,34,3,3,0.5,1.5,2026,54,34,-1369.2177083335264,0.39003101704726434,-4.840363373779236,0.3235294117647059,-40.27110906863313,-1554.517708333533
MNQ,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,12,34,3,3,0.5,1.5,2025,114,122,-654.7041666666555,0.843314849859064,-1.1549716836858532,0.4098360655737705,-5.366427595628324,-1039.2265624999927
MNQ,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,12,34,3,3,0.5,1.5,2026,55,57,-839.217708333359,0.6478395861754758,-3.3827272257560335,0.3684210526315789,-14.723117690058931,-864.3515625000218
M2K,impc_ef8_es21_sl3_pb3_pm0p3_tr1p5,8,21,3,3,0.3,1.5,2025,114,84,-402.7453124999329,0.6012718733757877,-2.9197785582001687,0.39285714285714285,-4.79458705357063,-382.7213541666015
M2K,impc_ef8_es21_sl3_pb3_pm0p3_tr1p5,8,21,3,3,0.3,1.5,2026,55,54,-573.6723958333005,0.4888189544989314,-4.785424534725714,0.3148148148148148,-10.62356288580186,-573.6723958333027
MES,impc_ef8_es21_sl3_pb3_pm0p3_tr1p5,8,21,3,3,0.3,1.5,2025,114,108,-676.4166666666642,0.690848671243444,-2.405326649096984,0.39814814814814814,-6.263117283950595,-784.3645833333449
MES,impc_ef8_es21_sl3_pb3_pm0p3_tr1p5,8,21,3,3,0.3,1.5,2026,55,49,-660.0520833333485,0.4804167162073971,-4.405450870370989,0.40816326530612246,-13.470450680272418,-627.4869791666697
MGC,impc_ef8_es21_sl3_pb3_pm0p3_tr1p5,8,21,3,3,0.3,1.5,2025,97,50,-599.1260416666591,0.5950973324735332,-2.270016804750063,0.4,-11.982520833333183,-749.6406250000155
MGC,impc_ef8_es21_sl3_pb3_pm0p3_tr1p5,8,21,3,3,0.3,1.5,2026,54,33,-1221.9697916668974,0.368208771145532,-4.514457233948967,0.24242424242424243,-37.02938762626962,-1404.2489583335282
MNQ,impc_ef8_es21_sl3_pb3_pm0p3_tr1p5,8,21,3,3,0.3,1.5,2025,114,107,-762.8739583333372,0.7990956052858028,-1.5066120283917854,0.40186915887850466,-7.129663161993806,-1040.3614583333256
MNQ,impc_ef8_es21_sl3_pb3_pm0p3_tr1p5,8,21,3,3,0.3,1.5,2026,55,46,-509.49270833333867,0.7160387677188005,-2.3119333364444152,0.34782608695652173,-11.0759284420291,-654.4854166666628
M2K,impc_ef8_es21_sl3_pb3_pm0p5_tr1p5,8,21,3,3,0.5,1.5,2025,114,82,-387.4854166666023,0.6028785979806313,-2.772451186616073,0.3902439024390244,-4.725431910568321,-367.4614583332709
M2K,impc_ef8_es21_sl3_pb3_pm0p5_tr1p5,8,21,3,3,0.5,1.5,2026,55,52,-541.1796874999686,0.5033938208659181,-4.594115468213321,0.3269230769230769,-10.407301682691704,-550.6614583333089
MES,impc_ef8_es21_sl3_pb3_pm0p5_tr1p5,8,21,3,3,0.5,1.5,2025,114,106,-674.3749999999955,0.6891833501368312,-2.3838743877390374,0.39622641509433965,-6.36202830188675,-782.3229166666761
MES,impc_ef8_es21_sl3_pb3_pm0p5_tr1p5,8,21,3,3,0.5,1.5,2026,55,49,-642.6145833333521,0.4941432595210342,-4.2688053857387125,0.40816326530612246,-13.114583333333718,-627.4869791666697
MGC,impc_ef8_es21_sl3_pb3_pm0p5_tr1p5,8,21,3,3,0.5,1.5,2025,97,48,-589.9447916666622,0.5945077289878165,-2.2601987477742673,0.3958333333333333,-12.290516493055463,-749.6406250000155
MGC,impc_ef8_es21_sl3_pb3_pm0p5_tr1p5,8,21,3,3,0.5,1.5,2026,54,30,-1175.0052083335413,0.3654351587867165,-4.357947056554778,0.23333333333333334,-39.16684027778471,-1305.005208333514
MNQ,impc_ef8_es21_sl3_pb3_pm0p5_tr1p5,8,21,3,3,0.5,1.5,2025,114,104,-762.3598958333387,0.7967842415535406,-1.5093621603797405,0.40384615384615385,-7.330383613782103,-1030.9786458333256
MNQ,impc_ef8_es21_sl3_pb3_pm0p5_tr1p5,8,21,3,3,0.5,1.5,2026,55,46,-509.49270833333867,0.7160387677188005,-2.3119333364444152,0.34782608695652173,-11.0759284420291,-654.4854166666628
