strategy_id,split_name,is_fraction,oos_start_date,oos_net_pnl,oos_profit_factor,oos_sharpe_ratio,oos_max_drawdown,oos_expectancy_per_trade,oos_total_trades
paper_vwap_baseline,is_60_oos_40,0.6,2023-06-20,-9865.0,0.9486164463832281,-0.576661098507501,-14632.0,-1.8826335877862594,5240
paper_vwap_baseline,is_65_oos_35,0.65,2023-10-20,-6459.0,0.9623576172062813,-0.41920331928952936,-10354.5,-1.4148959474260678,4565
paper_vwap_baseline,is_70_oos_30,0.7,2024-02-23,-3239.5,0.9788696105929163,-0.23176485399542818,-7327.0,-0.8347075496006184,3881
paper_vwap_baseline,is_75_oos_25,0.75,2024-07-01,-815.0,0.9938524435593975,-0.0672671704693095,-7327.0,-0.25758533501896336,3164
baseline_futures_adapted,is_60_oos_40,0.6,2023-06-20,-9865.0,0.9486164463832281,-0.576661098507501,-14632.0,-1.8826335877862594,5240
baseline_futures_adapted,is_65_oos_35,0.65,2023-10-20,-6459.0,0.9623576172062813,-0.41920331928952936,-10354.5,-1.4148959474260678,4565
baseline_futures_adapted,is_70_oos_30,0.7,2024-02-23,-3239.5,0.9788696105929163,-0.23176485399542818,-7327.0,-0.8347075496006184,3881
baseline_futures_adapted,is_75_oos_25,0.75,2024-07-01,-815.0,0.9938524435593975,-0.0672671704693095,-7327.0,-0.25758533501896336,3164
vwap_reclaim,is_60_oos_40,0.6,2023-06-20,-1776.0416666666788,0.8295715799364257,-0.5001811011638347,-2923.2083333333358,-10.963220164609128,162
vwap_reclaim,is_65_oos_35,0.65,2023-10-20,-1303.9166666666788,0.8585530776254046,-0.41085931913242624,-2923.2083333333358,-9.587622549019697,136
vwap_reclaim,is_70_oos_30,0.7,2024-02-23,-1593.1666666666715,0.8105553133298977,-0.5679879592810806,-2923.2083333333358,-13.734195402298893,116
vwap_reclaim,is_75_oos_25,0.75,2024-07-01,-1540.1666666666715,0.7917333393432642,-0.6295985248530719,-2493.7083333333358,-15.878006872852284,97
