zone,split,score_level,n_candidate_days,n_trades,win_rate,expectancy,profit_factor,sharpe_ratio,cumulative_pnl,max_drawdown
narrow_q20_25__q90_95,total,0.0,310,233,0.36909871244635195,-22.111587982832617,0.7755266540313269,-1.4415460704455274,-5152.0,-6656.0
narrow_q20_25__q90_95,total,0.5,144,105,0.49523809523809526,26.023809523809526,1.2799979506096937,1.4624251106930666,2732.5,-1853.5
narrow_q20_25__q90_95,total,1.0,886,787,0.4841168996188056,22.221728081321473,1.2521846340197267,1.4811964580083468,17488.5,-2126.5
narrow_q20_25__q90_95,is,0.0,237,201,0.3880597014925373,-16.912935323383085,0.8223923095007968,-1.1786888598460654,-3399.5,-4209.0
narrow_q20_25__q90_95,is,0.5,94,77,0.5064935064935064,25.37012987012987,1.2698390772843429,1.503553494302804,1953.5,-1853.5
narrow_q20_25__q90_95,is,1.0,619,559,0.4919499105545617,22.83542039355993,1.2590431738623105,1.5360152849065976,12765.0,-2126.5
narrow_q20_25__q90_95,oos,0.0,73,32,0.25,-54.765625,0.5401469430595645,-2.629538363390801,-1752.5,-2711.5
narrow_q20_25__q90_95,oos,0.5,50,28,0.4642857142857143,27.821428571428573,1.3091883310180592,1.3898849245494458,779.0,-916.5
narrow_q20_25__q90_95,oos,1.0,267,228,0.4649122807017544,20.717105263157894,1.2353454074387784,1.3512985591646143,4723.5,-1499.5
expanded_q20_25_30__q90_95,total,0.0,310,233,0.36909871244635195,-22.111587982832617,0.7755266540313269,-1.4415460704455274,-5152.0,-6656.0
expanded_q20_25_30__q90_95,total,0.3333,57,57,0.5263157894736842,20.24561403508772,1.2448546573307873,1.433833322365999,1154.0,-1277.0
expanded_q20_25_30__q90_95,total,0.5,87,48,0.4583333333333333,32.885416666666664,1.3128220372572335,1.491196558076122,1578.5,-1204.0
expanded_q20_25_30__q90_95,total,0.6667,56,55,0.6,48.88181818181818,1.735467104363288,3.6287667393998673,2688.5,-876.0
expanded_q20_25_30__q90_95,total,1.0,830,732,0.47540983606557374,20.218579234972676,1.2252920805266962,1.3382776063763018,14800.0,-2298.5
expanded_q20_25_30__q90_95,is,0.0,237,201,0.3880597014925373,-16.912935323383085,0.8223923095007968,-1.1786888598460654,-3399.5,-4209.0
expanded_q20_25_30__q90_95,is,0.3333,47,47,0.574468085106383,37.138297872340424,1.4704217760409648,2.544308495087904,1745.5,-1277.0
expanded_q20_25_30__q90_95,is,0.5,47,30,0.4,6.933333333333334,1.0589402096911307,0.34255697671697516,208.0,-1204.0
expanded_q20_25_30__q90_95,is,0.6667,47,47,0.5957446808510638,48.648936170212764,1.7066913923659404,3.5964112550369034,2286.5,-876.0
expanded_q20_25_30__q90_95,is,1.0,572,512,0.482421875,20.4658203125,1.2275856826375917,1.36638750368166,10478.5,-2298.5
expanded_q20_25_30__q90_95,oos,0.0,73,32,0.25,-54.765625,0.5401469430595645,-2.629538363390801,-1752.5,-2711.5
expanded_q20_25_30__q90_95,oos,0.3333,10,10,0.3,-59.15,0.40997506234413966,-5.780800366505362,-591.5,-568.5
expanded_q20_25_30__q90_95,oos,0.5,40,18,0.5555555555555556,76.13888888888889,1.9034278180619644,3.077256661749885,1370.5,-370.0
expanded_q20_25_30__q90_95,oos,0.6667,9,8,0.625,50.25,1.957142857142857,3.866054870682447,402.0,-214.5
expanded_q20_25_30__q90_95,oos,1.0,258,220,0.4590909090909091,19.64318181818182,1.2199180682425383,1.2748980655890652,4321.5,-1337.0
