portfolio_name,bucket,pnl_sum,contribution_pct_of_net
baseline_only,top_1_days,1445.0,0.058468884033341426
baseline_only,worst_1_days,-744.0,-0.030104394270453992
baseline_only,top_3_days,4325.0,0.17500202314477625
baseline_only,worst_3_days,-2225.5,-0.09005017399045076
baseline_only,top_5_days,7159.0,0.2896738690620701
baseline_only,worst_5_days,-3691.0,-0.14934854738205067
pullback_m2k_mgc_only,top_1_days,137.5,0.644556427985455
pullback_m2k_mgc_only,worst_1_days,-34.249999999999545,-0.16055314660728393
pullback_m2k_mgc_only,top_3_days,298.49999999999454,1.3992734091174894
pullback_m2k_mgc_only,worst_3_days,-76.49999999999864,-0.35860775811553763
pullback_m2k_mgc_only,top_5_days,379.0749999999946,1.7769834759169663
pullback_m2k_mgc_only,worst_5_days,-110.99999999999795,-0.5203328255009759
pullback_m2k_only,top_1_days,114.64999999999918,-2.3469805527126995
pullback_m2k_only,worst_1_days,-35.99999999999909,0.7369498464688674
pullback_m2k_only,top_3_days,162.15000000000146,-3.3193449334703042
pullback_m2k_only,worst_3_days,-104.99999999999773,2.149437052200871
pullback_m2k_only,top_5_days,171.65000000000305,-3.513817809621848
pullback_m2k_only,worst_5_days,-159.37499999999773,3.2625383828049177
baseline_plus_pullback_equal_notional,top_1_days,1445.0,0.05796851447156884
baseline_plus_pullback_equal_notional,worst_1_days,-744.0,-0.029846764544530946
baseline_plus_pullback_equal_notional,top_3_days,4325.0,0.17350437722459186
baseline_plus_pullback_equal_notional,worst_3_days,-2225.5,-0.0892795356100183
baseline_plus_pullback_equal_notional,top_5_days,7152.25,0.28692408832476
baseline_plus_pullback_equal_notional,worst_5_days,-3691.0,-0.1480704407713222
baseline_plus_pullback_scaled_to_baseline_risk,top_1_days,1446.9667147160876,0.05796851447156883
baseline_plus_pullback_scaled_to_baseline_risk,worst_1_days,-745.012619895342,-0.029846764544530942
baseline_plus_pullback_scaled_to_baseline_risk,top_3_days,4330.886533665798,0.1735043772245918
baseline_plus_pullback_scaled_to_baseline_risk,worst_3_days,-2228.5290128724246,-0.0892795356100183
baseline_plus_pullback_scaled_to_baseline_risk,top_5_days,7161.984557320511,0.28692408832476
baseline_plus_pullback_scaled_to_baseline_risk,worst_5_days,-3696.023629077564,-0.1480704407713222
baseline_plus_pullback_capped_50pct,top_1_days,1445.0,0.05821762412667268
baseline_plus_pullback_capped_50pct,worst_1_days,-744.0,-0.029975025847920053
baseline_plus_pullback_capped_50pct,top_3_days,4325.0,0.17424998224765353
baseline_plus_pullback_capped_50pct,worst_3_days,-2225.5,-0.08966319895772322
baseline_plus_pullback_capped_50pct,top_5_days,7155.625,0.28829307034008456
baseline_plus_pullback_capped_50pct,worst_5_days,-3691.0,-0.14870674785574317
baseline_plus_pullback_when_baseline_flat,top_1_days,1445.0,0.058468884033341426
baseline_plus_pullback_when_baseline_flat,worst_1_days,-744.0,-0.030104394270453992
baseline_plus_pullback_when_baseline_flat,top_3_days,4325.0,0.17500202314477625
baseline_plus_pullback_when_baseline_flat,worst_3_days,-2225.5,-0.09005017399045076
baseline_plus_pullback_when_baseline_flat,top_5_days,7159.0,0.2896738690620701
baseline_plus_pullback_when_baseline_flat,worst_5_days,-3691.0,-0.14934854738205067
baseline_plus_m2k_only_equal_notional,top_1_days,1445.0,0.05858468324741588
baseline_plus_m2k_only_equal_notional,worst_1_days,-744.0,-0.030164016841576064
baseline_plus_m2k_only_equal_notional,top_3_days,4325.0,0.17534861940835547
baseline_plus_m2k_only_equal_notional,worst_3_days,-2225.5,-0.09022852080769829
baseline_plus_m2k_only_equal_notional,top_5_days,7145.500000000001,0.2897002450826368
baseline_plus_m2k_only_equal_notional,worst_5_days,-3691.0,-0.14964433623959308
