variant_name,family,feature_name,bucketing,description,calibration_scope,parameters_json,note,verdict,overall_net_pnl,overall_sharpe,overall_sortino,overall_profit_factor,overall_expectancy,overall_max_drawdown,overall_n_trades,overall_n_days_traded,overall_pct_days_traded,overall_worst_day,overall_longest_losing_streak_daily,overall_median_recovery_days,overall_max_recovery_days,is_net_pnl,is_sharpe,is_sortino,is_profit_factor,is_expectancy,is_max_drawdown,is_n_trades,is_n_days_traded,is_pct_days_traded,is_worst_day,is_longest_losing_streak_daily,is_median_recovery_days,is_max_recovery_days,oos_net_pnl,oos_sharpe,oos_sortino,oos_profit_factor,oos_expectancy,oos_max_drawdown,oos_n_trades,oos_n_days_traded,oos_pct_days_traded,oos_worst_day,oos_longest_losing_streak_daily,oos_median_recovery_days,oos_max_recovery_days,overall_trade_coverage_vs_nominal,overall_day_coverage_vs_nominal,is_trade_coverage_vs_nominal,is_day_coverage_vs_nominal,oos_trade_coverage_vs_nominal,oos_day_coverage_vs_nominal,oos_net_pnl_retention_vs_nominal,oos_sharpe_delta_vs_nominal,oos_max_drawdown_improvement_vs_nominal
nominal,baseline,nominal,none,Validated MNQ ORB ensemble baseline without extra regime overlay.,none,{},Reference official baseline for all retention and coverage comparisons.,baseline_reference,47018.0,0.7762274710418623,0.7395704168781296,1.1534645224674176,41.4620811287478,-11763.0,1134,1134,0.6491127647395535,-750.0,8,10.0,445.0,11443.0,0.27362905317039693,0.2572648622937167,1.0512512736678274,14.3937106918239,-11763.0,795,795,0.6505728314238952,-750.0,8,23.0,403.0,35575.0,1.905281165530738,1.8631780090558772,1.4280754953101216,104.9410029498525,-9765.0,339,339,0.6457142857142857,-750.0,7,3.0,222.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
filter_skip_worst_gap_abs_atr20,regime_filter,gap_abs_atr20,quantile_3,Skip the weakest IS bucket for feature gap_abs_atr20.,is_only,"{""bucket_multipliers"": {""high"": 1.0, ""low"": 0.0, ""mid"": 1.0}}",Bucket low removed using IS-only ranking.,mixed,50210.5,1.0194126110183048,0.7897523190583239,1.2624315311925072,67.66913746630728,-8619.5,742,742,0.42472810532341154,-750.0,4,8.0,221.0,20932.5,0.6078672307054356,0.46871942183016196,1.145686814238437,39.49528301886792,-8619.5,530,530,0.4337152209492635,-750.0,4,11.5,194.0,29278.0,1.9809511586693311,1.5519627790607764,1.614483750118057,138.10377358490567,-8002.0,212,212,0.4038095238095238,-750.0,3,4.0,221.0,0.654320987654321,0.654320987654321,0.6666666666666666,0.6666666666666666,0.6253687315634219,0.6253687315634219,0.8229936753338019,0.07566999313859313,0.18054275473630313
filter_skip_worst_weekday_name,regime_filter,weekday_name,categorical_5,Skip the weakest IS bucket for feature weekday_name.,is_only,"{""bucket_multipliers"": {""friday"": 1.0, ""monday"": 1.0, ""thursday"": 0.0, ""tuesday"": 1.0, ""wednesday"": 1.0}}",Bucket thursday removed using IS-only ranking.,mixed,41075.5,0.7632644055388005,0.6472721338344475,1.170507448064873,45.48781838316722,-19845.0,903,903,0.5168860904407556,-750.0,4,12.0,666.0,12537.5,0.3430848217022458,0.2839703383083076,1.0734123034043401,19.996012759170654,-19845.0,627,627,0.5130932896890343,-750.0,4,14.0,609.0,28538.0,1.6612389856224823,1.476732475533794,1.4069909226392088,103.39855072463769,-9596.0,276,276,0.5257142857142857,-750.0,4,4.0,124.0,0.7962962962962963,0.7962962962962963,0.7886792452830189,0.7886792452830189,0.8141592920353983,0.8141592920353983,0.8021925509486999,-0.24404217990825572,0.017306707629288275
filter_skip_worst_realized_vol_ratio_15_60,regime_filter,realized_vol_ratio_15_60,quantile_3,Skip the weakest IS bucket for feature realized_vol_ratio_15_60.,is_only,"{""bucket_multipliers"": {""high"": 1.0, ""low"": 0.0, ""mid"": 1.0}}",Bucket low removed using IS-only ranking.,mixed,39495.5,0.7945465480966398,0.6189161275781873,1.1990665487251988,54.25206043956044,-7085.0,728,728,0.41671436748712076,-750.0,8,13.5,199.0,15625.0,0.4473906567348661,0.3518733190935097,1.1048777377284658,29.4811320754717,-7085.0,530,530,0.4337152209492635,-750.0,8,19.0,199.0,23870.5,1.617826555329438,1.2249476377462993,1.4830080634554486,120.5580808080808,-5792.0,198,198,0.37714285714285717,-750.0,4,6.0,110.0,0.6419753086419753,0.6419753086419753,0.6666666666666666,0.6666666666666666,0.584070796460177,0.584070796460177,0.670990864371047,-0.28745461020130003,0.4068612391193036
sizing_3state_realized_vol_ratio_15_60,dynamic_sizing,realized_vol_ratio_15_60,quantile_3,Three-state discrete sizing on feature realized_vol_ratio_15_60.,is_only,"{""bucket_multipliers"": {""high"": 0.75, ""low"": 0.5, ""mid"": 1.0}}",Worst bucket keeps reduced participation instead of a full skip.,mixed,40427.5,0.8885241043724983,0.8618900823882352,1.1909763638553819,36.51987353206865,-8354.0,1107,1107,0.6336576989124213,-750.0,8,9.0,320.0,11601.5,0.3650968596719964,0.3475782524717596,1.0734202449134576,14.854673495518567,-8354.0,781,781,0.6391162029459901,-750.0,8,19.0,320.0,28826.0,2.1094191785308154,2.1500604011103985,1.5370620511052941,88.42331288343559,-5934.5,326,326,0.6209523809523809,-744.0,7,3.0,112.0,0.9761904761904762,0.9761904761904762,0.9823899371069182,0.9823899371069182,0.9616519174041298,0.9616519174041298,0.8102881236823612,0.2041380130000774,0.392268305171531
sizing_4state_realized_vol_ratio_15_60,dynamic_sizing,realized_vol_ratio_15_60,quantile_4,Four-state discrete sizing on feature realized_vol_ratio_15_60.,is_only,"{""bucket_multipliers"": {""high"": 0.75, ""high_mid"": 0.5, ""low_mid"": 1.0, ""very_low"": 0.0}}",Bottom quartile is skipped; higher quartiles keep increasing participation.,mixed,47211.0,1.1531599110462878,0.9933908928208706,1.3035081741679577,57.856617647058826,-8154.5,816,816,0.4670864338866629,-750.0,8,14.0,244.0,23677.5,0.8317144325353582,0.720686170407858,1.2060651157933213,40.19949066213922,-8154.5,589,589,0.48199672667757776,-750.0,8,17.0,244.0,23533.5,1.8901310248981433,1.592256533289947,1.5789583743357607,103.67180616740089,-4126.0,227,227,0.43238095238095237,-742.0,4,8.0,98.0,0.7195767195767195,0.7195767195767195,0.740880503144654,0.740880503144654,0.6696165191740413,0.6696165191740413,0.6615179198875615,-0.015150140632594677,0.5774705581157195
