direction,trades,net_pnl_usd,avg_trade_pnl_usd,win_rate,profit_factor
long,3288,157.0,0.047749391727493914,0.23418491484184914,1.0023061104582844
short,3204,-2189.0,-0.6832084893882646,0.23377028714107365,0.9668167417041854
