trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_reason,bars_held,holding_minutes,gross_pnl_usd,r_multiple,entry_signal_time,exit_signal_time
1,2019-05-06,long,1,2019-05-06 09:31:00-04:00,7694.0,,,2019-05-06 09:51:00-04:00,7724.5,signal_flip,50000.0,,,,,,15388.0,0.30776,30.5,122.0,61.0,2.5,58.5,vwap_baseline_with_killswitch,paper_target_position,20,20.0,61.0,,2019-05-06 09:31:00-04:00,2019-05-06 09:51:00-04:00
2,2019-05-06,short,1,2019-05-06 09:51:00-04:00,7724.5,,,2019-05-06 09:52:00-04:00,7734.0,signal_flip,50058.5,,,,,,15449.0,0.30861891586843393,-9.5,-38.0,-19.0,2.5,-21.5,vwap_baseline_with_killswitch,paper_target_position,1,1.0,-19.0,,2019-05-06 09:51:00-04:00,2019-05-06 09:52:00-04:00
3,2019-05-06,long,1,2019-05-06 09:52:00-04:00,7734.0,,,2019-05-06 12:08:00-04:00,7758.25,signal_flip,50037.0,,,,,,15468.0,0.3091312428802686,24.25,97.0,48.5,2.5,46.0,vwap_baseline_with_killswitch,paper_target_position,136,136.0,48.5,,2019-05-06 09:52:00-04:00,2019-05-06 12:08:00-04:00
4,2019-05-06,short,1,2019-05-06 12:08:00-04:00,7758.25,,,2019-05-06 12:10:00-04:00,7759.75,signal_flip,50083.0,,,,,,15516.5,0.30981570592815927,-1.5,-6.0,-3.0,2.5,-5.5,vwap_baseline_with_killswitch,paper_target_position,2,2.0,-3.0,,2019-05-06 12:08:00-04:00,2019-05-06 12:10:00-04:00
5,2019-05-06,long,1,2019-05-06 12:10:00-04:00,7759.75,,,2019-05-06 12:11:00-04:00,7757.25,signal_flip,50077.5,,,,,,15519.5,0.3099096400579102,-2.5,-10.0,-5.0,2.5,-7.5,vwap_baseline_with_killswitch,paper_target_position,1,1.0,-5.0,,2019-05-06 12:10:00-04:00,2019-05-06 12:11:00-04:00
6,2019-05-07,long,1,2019-05-07 09:31:00-04:00,7726.25,,,2019-05-07 09:43:00-04:00,7734.75,signal_flip,50070.0,,,,,,15452.5,0.3086179348911524,8.5,34.0,17.0,2.5,14.5,vwap_baseline_with_killswitch,paper_target_position,12,12.0,17.0,,2019-05-07 09:31:00-04:00,2019-05-07 09:43:00-04:00
7,2019-05-07,short,1,2019-05-07 09:43:00-04:00,7734.75,,,2019-05-07 09:46:00-04:00,7737.5,signal_flip,50084.5,,,,,,15469.5,0.3088680130579321,-2.75,-11.0,-5.5,2.5,-8.0,vwap_baseline_with_killswitch,paper_target_position,3,3.0,-5.5,,2019-05-07 09:43:00-04:00,2019-05-07 09:46:00-04:00
8,2019-05-07,long,1,2019-05-07 09:46:00-04:00,7737.5,,,2019-05-07 09:47:00-04:00,7726.0,signal_flip,50076.5,,,,,,15475.0,0.3090271884017453,-11.5,-46.0,-23.0,2.5,-25.5,vwap_baseline_with_killswitch,paper_target_position,1,1.0,-23.0,,2019-05-07 09:46:00-04:00,2019-05-07 09:47:00-04:00
9,2019-05-07,short,1,2019-05-07 09:47:00-04:00,7726.0,,,2019-05-07 12:33:00-04:00,7687.0,signal_flip,50051.0,,,,,,15452.0,0.30872510039759443,39.0,156.0,78.0,2.5,75.5,vwap_baseline_with_killswitch,paper_target_position,166,166.0,78.0,,2019-05-07 09:47:00-04:00,2019-05-07 12:33:00-04:00
10,2019-05-07,long,1,2019-05-07 12:33:00-04:00,7687.0,,,2019-05-07 12:34:00-04:00,7681.5,signal_flip,50126.5,,,,,,15374.0,0.30670403878188185,-5.5,-22.0,-11.0,2.5,-13.5,vwap_baseline_with_killswitch,paper_target_position,1,1.0,-11.0,,2019-05-07 12:33:00-04:00,2019-05-07 12:34:00-04:00
11,2019-05-08,short,1,2019-05-08 09:31:00-04:00,7638.25,,,2019-05-08 09:32:00-04:00,7639.25,signal_flip,50113.0,,,,,,15276.5,0.304841059206194,-1.0,-4.0,-2.0,2.5,-4.5,vwap_baseline_with_killswitch,paper_target_position,1,1.0,-2.0,,2019-05-08 09:31:00-04:00,2019-05-08 09:32:00-04:00
12,2019-05-08,long,1,2019-05-08 09:32:00-04:00,7639.25,,,2019-05-08 09:33:00-04:00,7632.5,signal_flip,50108.5,,,,,,15278.5,0.30490834888292406,-6.75,-27.0,-13.5,2.5,-16.0,vwap_baseline_with_killswitch,paper_target_position,1,1.0,-13.5,,2019-05-08 09:32:00-04:00,2019-05-08 09:33:00-04:00
13,2019-05-08,short,1,2019-05-08 09:33:00-04:00,7632.5,,,2019-05-08 09:42:00-04:00,7633.25,signal_flip,50092.5,,,,,,15265.0,0.3047362379597744,-0.75,-3.0,-1.5,2.5,-4.0,vwap_baseline_with_killswitch,paper_target_position,9,9.0,-1.5,,2019-05-08 09:33:00-04:00,2019-05-08 09:42:00-04:00
14,2019-05-09,long,1,2019-05-09 09:31:00-04:00,7552.0,,,2019-05-09 09:34:00-04:00,7552.5,signal_flip,50088.5,,,,,,15104.0,0.3015462631142877,0.5,2.0,1.0,2.5,-1.5,vwap_baseline_with_killswitch,paper_target_position,3,3.0,1.0,,2019-05-09 09:31:00-04:00,2019-05-09 09:34:00-04:00
15,2019-05-09,short,1,2019-05-09 09:34:00-04:00,7552.5,,,2019-05-09 09:39:00-04:00,7549.75,signal_flip,50087.0,,,,,,15105.0,0.3015752590492543,2.75,11.0,5.5,2.5,3.0,vwap_baseline_with_killswitch,paper_target_position,5,5.0,5.5,,2019-05-09 09:34:00-04:00,2019-05-09 09:39:00-04:00
16,2019-05-09,long,1,2019-05-09 09:39:00-04:00,7549.75,,,2019-05-09 09:41:00-04:00,7545.0,signal_flip,50090.0,,,,,,15099.5,0.3014473946895588,-4.75,-19.0,-9.5,2.5,-12.0,vwap_baseline_with_killswitch,paper_target_position,2,2.0,-9.5,,2019-05-09 09:39:00-04:00,2019-05-09 09:41:00-04:00
17,2019-05-09,short,1,2019-05-09 09:41:00-04:00,7545.0,,,2019-05-09 10:48:00-04:00,7516.0,signal_flip,50078.0,,,,,,15090.0,0.30132992531650626,29.0,116.0,58.0,2.5,55.5,vwap_baseline_with_killswitch,paper_target_position,67,67.0,58.0,,2019-05-09 09:41:00-04:00,2019-05-09 10:48:00-04:00
18,2019-05-09,long,1,2019-05-09 10:48:00-04:00,7516.0,,,2019-05-09 10:52:00-04:00,7512.75,signal_flip,50133.5,,,,,,15032.0,0.29983942872530345,-3.25,-13.0,-6.5,2.5,-9.0,vwap_baseline_with_killswitch,paper_target_position,4,4.0,-6.5,,2019-05-09 10:48:00-04:00,2019-05-09 10:52:00-04:00
19,2019-05-10,long,1,2019-05-10 09:31:00-04:00,7574.75,,,2019-05-10 09:32:00-04:00,7565.0,signal_flip,50124.5,,,,,,15149.5,0.3022374288022823,-9.75,-39.0,-19.5,2.5,-22.0,vwap_baseline_with_killswitch,paper_target_position,1,1.0,-19.5,,2019-05-10 09:31:00-04:00,2019-05-10 09:32:00-04:00
20,2019-05-10,short,1,2019-05-10 09:32:00-04:00,7565.0,,,2019-05-10 09:36:00-04:00,7566.5,signal_flip,50102.5,,,,,,15130.0,0.3019809390748965,-1.5,-6.0,-3.0,2.5,-5.5,vwap_baseline_with_killswitch,paper_target_position,4,4.0,-3.0,,2019-05-10 09:32:00-04:00,2019-05-10 09:36:00-04:00
21,2019-05-10,long,1,2019-05-10 09:36:00-04:00,7566.5,,,2019-05-10 09:37:00-04:00,7561.0,signal_flip,50097.0,,,,,,15133.0,0.3020739764856179,-5.5,-22.0,-11.0,2.5,-13.5,vwap_baseline_with_killswitch,paper_target_position,1,1.0,-11.0,,2019-05-10 09:36:00-04:00,2019-05-10 09:37:00-04:00
22,2019-05-13,long,1,2019-05-13 09:31:00-04:00,7424.5,,,2019-05-13 09:33:00-04:00,7418.0,signal_flip,50083.5,,,,,,14849.0,0.2964848702666547,-6.5,-26.0,-13.0,2.5,-15.5,vwap_baseline_with_killswitch,paper_target_position,2,2.0,-13.0,,2019-05-13 09:31:00-04:00,2019-05-13 09:33:00-04:00
23,2019-05-13,short,1,2019-05-13 09:33:00-04:00,7418.0,,,2019-05-13 09:34:00-04:00,7421.5,signal_flip,50068.0,,,,,,14836.0,0.2963170088679396,-3.5,-14.0,-7.0,2.5,-9.5,vwap_baseline_with_killswitch,paper_target_position,1,1.0,-7.0,,2019-05-13 09:33:00-04:00,2019-05-13 09:34:00-04:00
24,2019-05-13,long,1,2019-05-13 09:34:00-04:00,7421.5,,,2019-05-13 09:37:00-04:00,7420.0,signal_flip,50058.5,,,,,,14843.0,0.2965130796967548,-1.5,-6.0,-3.0,2.5,-5.5,vwap_baseline_with_killswitch,paper_target_position,3,3.0,-3.0,,2019-05-13 09:34:00-04:00,2019-05-13 09:37:00-04:00
25,2019-05-14,long,1,2019-05-14 09:31:00-04:00,7374.0,,,2019-05-14 09:34:00-04:00,7378.0,signal_flip,50053.0,,,,,,14748.0,0.2946476734661259,4.0,16.0,8.0,2.5,5.5,vwap_baseline_with_killswitch,paper_target_position,3,3.0,8.0,,2019-05-14 09:31:00-04:00,2019-05-14 09:34:00-04:00
26,2019-05-14,short,1,2019-05-14 09:34:00-04:00,7378.0,,,2019-05-14 09:38:00-04:00,7380.75,signal_flip,50058.5,,,,,,14756.0,0.29477511311765237,-2.75,-11.0,-5.5,2.5,-8.0,vwap_baseline_with_killswitch,paper_target_position,4,4.0,-5.5,,2019-05-14 09:34:00-04:00,2019-05-14 09:38:00-04:00
27,2019-05-14,long,1,2019-05-14 09:38:00-04:00,7380.75,,,2019-05-14 09:47:00-04:00,7378.25,signal_flip,50050.5,,,,,,14761.5,0.29493211856025414,-2.5,-10.0,-5.0,2.5,-7.5,vwap_baseline_with_killswitch,paper_target_position,9,9.0,-5.0,,2019-05-14 09:38:00-04:00,2019-05-14 09:47:00-04:00
28,2019-05-14,short,1,2019-05-14 09:47:00-04:00,7378.25,,,2019-05-14 10:02:00-04:00,7382.5,signal_flip,50043.0,,,,,,14756.5,0.2948764062905901,-4.25,-17.0,-8.5,2.5,-11.0,vwap_baseline_with_killswitch,paper_target_position,15,15.0,-8.5,,2019-05-14 09:47:00-04:00,2019-05-14 10:02:00-04:00
