portfolio_name,month,net_pnl
baseline_only,2024-01,-1652.0
baseline_only,2024-02,-2319.5
baseline_only,2024-03,343.0
baseline_only,2024-04,4250.0
baseline_only,2024-05,3887.0
baseline_only,2024-06,2786.0
baseline_only,2024-07,4989.0
baseline_only,2024-08,2465.0
baseline_only,2024-09,-2932.0
baseline_only,2024-10,2113.0
baseline_only,2024-11,1258.5
baseline_only,2024-12,1742.5
baseline_only,2025-01,1591.5
baseline_only,2025-02,329.0
baseline_only,2025-03,1045.0
baseline_only,2025-04,917.5
baseline_only,2025-05,-1968.0
baseline_only,2025-06,-2111.5
baseline_only,2025-07,-646.0
baseline_only,2025-08,2372.5
baseline_only,2025-09,763.0
baseline_only,2025-10,5568.0
baseline_only,2025-11,-313.0
baseline_only,2025-12,-145.0
baseline_only,2026-01,380.5
pullback_m2k_mgc_only,2024-01,-4.124999999999659
pullback_m2k_mgc_only,2024-02,0.0
pullback_m2k_mgc_only,2024-03,33.950000000000955
pullback_m2k_mgc_only,2024-04,-19.249999999998977
pullback_m2k_mgc_only,2024-05,5.812500000000682
pullback_m2k_mgc_only,2024-06,0.0
pullback_m2k_mgc_only,2024-07,38.00000000000068
pullback_m2k_mgc_only,2024-08,0.7500000000004547
pullback_m2k_mgc_only,2024-09,-17.624999999999318
pullback_m2k_mgc_only,2024-10,0.0
pullback_m2k_mgc_only,2024-11,-9.74999999999909
pullback_m2k_mgc_only,2024-12,0.0
pullback_m2k_mgc_only,2025-01,53.500000000001364
pullback_m2k_mgc_only,2025-02,0.0
pullback_m2k_mgc_only,2025-03,0.0
pullback_m2k_mgc_only,2025-04,0.0
pullback_m2k_mgc_only,2025-05,-51.124999999999545
pullback_m2k_mgc_only,2025-06,0.0
pullback_m2k_mgc_only,2025-07,123.75000000000227
pullback_m2k_mgc_only,2025-08,0.0
pullback_m2k_mgc_only,2025-09,8.250000000000455
pullback_m2k_mgc_only,2025-10,0.0
pullback_m2k_mgc_only,2025-11,83.24999999999363
pullback_m2k_mgc_only,2025-12,-14.0625
pullback_m2k_mgc_only,2026-01,-17.999999999999545
pullback_m2k_only,2024-01,-8.249999999999318
pullback_m2k_only,2024-02,0.0
pullback_m2k_only,2024-03,88.39999999999918
pullback_m2k_only,2024-04,-38.499999999997954
pullback_m2k_only,2024-05,11.625000000001364
pullback_m2k_only,2024-06,0.0
pullback_m2k_only,2024-07,29.50000000000045
pullback_m2k_only,2024-08,1.5000000000009095
pullback_m2k_only,2024-09,-35.24999999999864
pullback_m2k_only,2024-10,0.0
pullback_m2k_only,2024-11,0.0
pullback_m2k_only,2024-12,0.0
pullback_m2k_only,2025-01,0.0
pullback_m2k_only,2025-02,0.0
pullback_m2k_only,2025-03,0.0
pullback_m2k_only,2025-04,0.0
pullback_m2k_only,2025-05,-33.75
pullback_m2k_only,2025-06,0.0
pullback_m2k_only,2025-07,0.0
pullback_m2k_only,2025-08,0.0
pullback_m2k_only,2025-09,0.0
pullback_m2k_only,2025-10,0.0
pullback_m2k_only,2025-11,0.0
pullback_m2k_only,2025-12,-28.125
pullback_m2k_only,2026-01,-35.99999999999909
baseline_plus_pullback_equal_notional,2024-01,-1656.1249999999995
baseline_plus_pullback_equal_notional,2024-02,-2319.5
baseline_plus_pullback_equal_notional,2024-03,376.95000000000095
baseline_plus_pullback_equal_notional,2024-04,4230.750000000001
baseline_plus_pullback_equal_notional,2024-05,3892.812500000001
baseline_plus_pullback_equal_notional,2024-06,2786.0
baseline_plus_pullback_equal_notional,2024-07,5027.000000000001
baseline_plus_pullback_equal_notional,2024-08,2465.7500000000005
baseline_plus_pullback_equal_notional,2024-09,-2949.624999999999
baseline_plus_pullback_equal_notional,2024-10,2113.0
baseline_plus_pullback_equal_notional,2024-11,1248.750000000001
baseline_plus_pullback_equal_notional,2024-12,1742.5
baseline_plus_pullback_equal_notional,2025-01,1645.0000000000014
baseline_plus_pullback_equal_notional,2025-02,329.0
baseline_plus_pullback_equal_notional,2025-03,1045.0
baseline_plus_pullback_equal_notional,2025-04,917.5
baseline_plus_pullback_equal_notional,2025-05,-2019.1249999999995
baseline_plus_pullback_equal_notional,2025-06,-2111.5
baseline_plus_pullback_equal_notional,2025-07,-522.2499999999977
baseline_plus_pullback_equal_notional,2025-08,2372.5
baseline_plus_pullback_equal_notional,2025-09,771.2500000000005
baseline_plus_pullback_equal_notional,2025-10,5568.0
baseline_plus_pullback_equal_notional,2025-11,-229.75000000000637
baseline_plus_pullback_equal_notional,2025-12,-159.0625
baseline_plus_pullback_equal_notional,2026-01,362.50000000000045
baseline_plus_pullback_scaled_to_baseline_risk,2024-01,-1658.3790660271147
baseline_plus_pullback_scaled_to_baseline_risk,2024-02,-2322.6569514075886
