session_date,daily_pnl_usd,daily_trade_count,equity,peak_equity,drawdown_usd,drawdown_pct
2019-05-07,230.0,1.0,50230.0,50230.0,0.0,0.0
2019-05-09,-544.0,1.0,49686.0,50230.0,-544.0,-0.010830181166633486
2019-05-13,207.0,1.0,49893.0,50230.0,-337.0,-0.006709137965359347
2019-05-20,-166.5,1.0,49726.5,50230.0,-503.5,-0.010023890105514632
2019-06-03,358.5,1.0,50085.0,50230.0,-145.0,-0.0028867210830181168
2019-06-18,-180.0,1.0,49905.0,50230.0,-325.0,-0.00647023691021302
2019-08-02,102.0,1.0,50007.0,50230.0,-223.0,-0.004439577941469241
2019-08-06,-374.0,1.0,49633.0,50230.0,-597.0,-0.011885327493529763
2019-08-07,792.0,1.0,50425.0,50425.0,0.0,0.0
2019-08-13,0.0,0.0,50425.0,50425.0,0.0,0.0
2019-08-14,603.0,1.0,51028.0,51028.0,0.0,0.0
2019-08-23,-500.0,1.0,50528.0,51028.0,-500.0,-0.00979854197695383
2019-09-03,-10.0,1.0,50518.0,51028.0,-510.0,-0.009994512816492905
2019-10-03,-460.5,1.0,50057.5,51028.0,-970.5,-0.019018969977267382
2019-10-04,276.0,1.0,50333.5,51028.0,-694.5,-0.013610174805988869
2019-12-12,-28.5,1.0,50305.0,51028.0,-723.0,-0.014168691698675236
2019-12-13,-22.5,1.0,50282.5,51028.0,-745.5,-0.01460962608763816
2020-01-31,774.0,1.0,51056.5,51056.5,0.0,0.0
2020-02-05,-94.0,1.0,50962.5,51056.5,-94.0,-0.0018410976075524173
2020-02-21,36.5,1.0,50999.0,51056.5,-57.5,-0.001126203323768766
2020-02-25,405.0,1.0,51404.0,51404.0,0.0,0.0
2020-02-26,-277.0,1.0,51127.0,51404.0,-277.0,-0.005388685705392577
2020-02-27,-248.0,1.0,50879.0,51404.0,-525.0,-0.010213212979534666
2020-03-04,265.0,1.0,51144.0,51404.0,-260.0,-0.0050579721422457395
2020-03-05,-337.0,1.0,50807.0,51404.0,-597.0,-0.011613882188156564
2020-03-06,-234.5,1.0,50572.5,51404.0,-831.5,-0.01617578398568205
2020-03-10,-230.5,1.0,50342.0,51404.0,-1062.0,-0.020659870827172983
2020-03-11,389.0,1.0,50731.0,51404.0,-673.0,-0.01309236635281301
2020-03-24,-233.5,1.0,50497.5,51404.0,-906.5,-0.017634814411329858
2020-03-27,-510.0,1.0,49987.5,51404.0,-1416.5,-0.027556221305734964
2020-03-30,1400.0,1.0,51387.5,51404.0,-16.5,-0.0003209866936425181
2020-03-31,-489.0,1.0,50898.5,51404.0,-505.5,-0.009833865068866236
2020-04-01,-307.0,1.0,50591.5,51404.0,-812.5,-0.015806162944517935
2020-04-02,176.0,1.0,50767.5,51404.0,-636.5,-0.012382304878997743
2020-04-03,94.0,1.0,50861.5,51404.0,-542.5,-0.010553653412185822
2020-04-06,874.0,1.0,51735.5,51735.5,0.0,0.0
2020-04-07,223.0,1.0,51958.5,51958.5,0.0,0.0
2020-04-08,-208.0,1.0,51750.5,51958.5,-208.0,-0.004003194857434299
2020-04-09,-54.0,1.0,51696.5,51958.5,-262.0,-0.005042485830037434
2020-04-13,-684.0,1.0,51012.5,51958.5,-946.0,-0.018206838149677145
2020-04-14,283.0,1.0,51295.5,51958.5,-663.0,-0.012760183608071827
2020-04-16,-487.5,1.0,50808.0,51958.5,-1150.5,-0.022142671555183464
2020-04-17,-301.5,1.0,50506.5,51958.5,-1452.0,-0.027945379485550967
2020-04-20,-635.0,1.0,49871.5,51958.5,-2087.0,-0.04016667147819895
2020-04-21,174.5,1.0,50046.0,51958.5,-1912.5,-0.03680822194636104
2020-04-22,165.0,1.0,50211.0,51958.5,-1747.5,-0.03363261064118479
2020-04-23,-349.0,1.0,49862.0,51958.5,-2096.5,-0.04034950970486061
2020-04-27,-309.0,1.0,49553.0,51958.5,-2405.5,-0.046296563603645216
2020-04-28,1162.0,1.0,50715.0,51958.5,-1243.5,-0.02393256156355553
2020-04-29,718.0,1.0,51433.0,51958.5,-525.5,-0.010113840853758289
2020-04-30,-178.5,1.0,51254.5,51958.5,-704.0,-0.013549274902085318
2020-05-01,-542.0,1.0,50712.5,51958.5,-1246.0,-0.02398067688636123
2020-05-04,688.0,1.0,51400.5,51958.5,-558.0,-0.010739340050232396
2020-05-06,-532.0,1.0,50868.5,51958.5,-1090.0,-0.020978280743285508
2020-05-07,-665.0,1.0,50203.5,51958.5,-1755.0,-0.033776956609601894
2020-05-13,-215.0,1.0,49988.5,51958.5,-1970.0,-0.03791487437089215
2020-05-14,-504.0,1.0,49484.5,51958.5,-2474.0,-0.04761492344852142
2020-05-15,203.0,1.0,49687.5,51958.5,-2271.0,-0.04370795923669852
2020-05-18,105.0,1.0,49792.5,51958.5,-2166.0,-0.04168711567885909
2020-05-19,-292.0,1.0,49500.5,51958.5,-2458.0,-0.047306985382564934
2020-05-21,846.0,1.0,50346.5,51958.5,-1612.0,-0.031024760145115814
2020-05-27,-234.0,1.0,50112.5,51958.5,-1846.0,-0.0355283543597294
2020-05-28,-505.5,1.0,49607.0,51958.5,-2351.5,-0.04525727263104208
2020-05-29,-444.0,1.0,49163.0,51958.5,-2795.5,-0.05380255396133453
2020-06-01,41.0,1.0,49204.0,51958.5,-2754.5,-0.053013462667321036
2020-06-03,-749.0,1.0,48455.0,51958.5,-3503.5,-0.06742881337990897
2020-06-08,-512.0,1.0,47943.0,51958.5,-4015.5,-0.07728283149051647
2020-06-09,591.0,1.0,48534.0,51958.5,-3424.5,-0.06590836917924882
2020-06-10,-487.5,1.0,48046.5,51958.5,-3912.0,-0.07529085712636047
2020-06-12,1341.0,1.0,49387.5,51958.5,-2571.0,-0.049481797973382605
2020-06-15,475.0,1.0,49862.5,51958.5,-2096.0,-0.04033988664029947
2020-06-16,-165.0,1.0,49697.5,51958.5,-2261.0,-0.04351549794547572
2020-06-17,-508.0,1.0,49189.5,51958.5,-2769.0,-0.053292531539594096
2020-06-18,-301.5,1.0,48888.0,51958.5,-3070.5,-0.059095239469961605
2020-06-22,950.0,1.0,49838.0,51958.5,-2120.5,-0.04081141680379534
2020-06-24,303.0,1.0,50141.0,51958.5,-1817.5,-0.03497983967974441
2020-06-26,237.5,1.0,50378.5,51958.5,-1580.0,-0.030408884013202846
2020-06-29,212.0,1.0,50590.5,51958.5,-1368.0,-0.026328704639279426
2020-06-30,520.5,1.0,51111.0,51958.5,-847.5,-0.016311094431132538
2020-07-01,245.0,1.0,51356.0,51958.5,-602.5,-0.011595792796173869
2020-07-02,18.0,1.0,51374.0,51958.5,-584.5,-0.011249362471972824
2020-07-06,984.0,1.0,52358.0,52358.0,0.0,0.0
2020-07-07,-326.0,1.0,52032.0,52358.0,-326.0,-0.006226364643416479
2020-07-08,-432.0,1.0,51600.0,52358.0,-758.0,-0.014477252759845677
2020-07-09,711.0,1.0,52311.0,52358.0,-47.0,-0.0008976660682226212
2020-07-10,-436.0,1.0,51875.0,52358.0,-483.0,-0.00922495129684098
2020-07-13,-287.0,1.0,51588.0,52358.0,-770.0,-0.014706444096413156
2020-07-15,-110.0,1.0,51478.0,52358.0,-880.0,-0.016807364681615033
2020-07-16,-690.0,1.0,50788.0,52358.0,-1570.0,-0.029985866534245006
2020-07-17,-188.5,1.0,50599.5,52358.0,-1758.5,-0.033586080446159135
2020-07-20,730.0,1.0,51329.5,52358.0,-1028.5,-0.019643607471637573
2020-07-21,390.0,1.0,51719.5,52358.0,-638.5,-0.012194889033194545
2020-07-22,-109.0,1.0,51610.5,52358.0,-747.5,-0.014276710340349134
2020-07-23,873.0,1.0,52483.5,52483.5,0.0,0.0
2020-07-24,68.5,1.0,52552.0,52552.0,0.0,0.0
2020-07-27,-718.5,1.0,51833.5,52552.0,-718.5,-0.013672172324554727
2020-07-29,240.0,1.0,52073.5,52552.0,-478.5,-0.009105267163951896
2020-07-30,-196.0,1.0,51877.5,52552.0,-674.5,-0.012834906378444208
2020-07-31,-514.0,1.0,51363.5,52552.0,-1188.5,-0.022615694930735272
2020-08-03,-187.5,1.0,51176.0,52552.0,-1376.0,-0.026183589587456233
2020-08-04,-256.0,1.0,50920.0,52552.0,-1632.0,-0.031054955092099254
2020-08-05,-78.0,1.0,50842.0,52552.0,-1710.0,-0.032539199269295174
2020-08-10,-180.0,1.0,50662.0,52552.0,-1890.0,-0.035964378139747295
2020-08-11,-565.5,1.0,50096.5,52552.0,-2455.5,-0.04672514842441772
2020-08-12,121.0,1.0,50217.5,52552.0,-2334.5,-0.04442266707261379
2020-08-13,-280.0,1.0,49937.5,52552.0,-2614.5,-0.049750723093317094
2020-08-14,-217.5,1.0,49720.0,52552.0,-2832.0,-0.05388948089511341
2020-08-18,-504.0,1.0,49216.0,52552.0,-3336.0,-0.06347998173237936
2020-08-21,253.5,1.0,49469.5,52552.0,-3082.5,-0.058656188156492615
2020-08-24,-34.0,1.0,49435.5,52552.0,-3116.5,-0.059303166387578016
2020-08-25,702.0,1.0,50137.5,52552.0,-2414.5,-0.04594496879281473
2020-08-27,-226.5,1.0,49911.0,52552.0,-2641.0,-0.05025498553813366
2020-08-28,-516.0,1.0,49395.0,52552.0,-3157.0,-0.06007383163342975
2020-08-31,180.0,1.0,49575.0,52552.0,-2977.0,-0.05664865276297762
