trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd
1,2019-05-07,short,1,2019-05-07 10:02:00-04:00,7693.75,7753.25,7574.75,2019-05-07 16:00:00-04:00,7663.75,time_exit,,,,122.0,,122.0,15387.5,,30.0,120.0,60.0,2.5,57.5
2,2019-05-09,short,1,2019-05-09 10:05:00-04:00,7499.75,7566.25,7366.75,2019-05-09 12:30:00-04:00,7566.5,stop,,,,136.0,,136.0,14999.5,,-66.75,-267.0,-133.5,2.5,-136.0
3,2019-05-13,short,1,2019-05-13 10:02:00-04:00,7372.75,7445.25,7227.75,2019-05-13 16:00:00-04:00,7337.0,time_exit,,,,148.0,,148.0,14745.5,,35.75,143.0,71.5,2.5,69.0
4,2019-05-20,long,1,2019-05-20 10:26:00-04:00,7418.5,7361.0,7533.5,2019-05-20 16:00:00-04:00,7392.0,time_exit,,,,118.0,,118.0,14837.0,,-26.5,-106.0,-53.0,2.5,-55.5
5,2019-06-03,short,1,2019-06-03 10:02:00-04:00,7042.25,7133.0,6860.75,2019-06-03 16:00:00-04:00,6981.25,time_exit,,,,184.5,,184.5,14084.5,,61.0,244.0,122.0,2.5,119.5
7,2019-08-02,short,1,2019-08-02 10:05:00-04:00,7716.75,7766.5,7617.25,2019-08-02 16:00:00-04:00,7698.5,time_exit,,,,102.5,,102.5,15433.5,,18.25,73.0,36.5,2.5,34.0
8,2019-08-06,long,1,2019-08-06 10:04:00-04:00,7530.5,7485.25,7621.0,2019-08-06 10:14:00-04:00,7485.0,stop,,,,93.5,,93.5,15061.0,,-45.5,-182.0,-91.0,2.5,-93.5
9,2019-08-07,long,1,2019-08-07 10:11:00-04:00,7465.75,7387.25,7622.75,2019-08-07 16:00:00-04:00,7566.0,time_exit,,,,160.0,,160.0,14931.5,,100.25,401.0,200.5,2.5,198.0
10,2019-08-13,long,1,2019-08-13 10:27:00-04:00,7775.75,7554.75,8217.75,2019-08-13 16:00:00-04:00,7740.25,time_exit,,,,445.0,,445.0,15551.5,,-35.5,-142.0,-71.0,2.5,-73.5
11,2019-08-14,short,1,2019-08-14 10:13:00-04:00,7583.75,7634.75,7481.75,2019-08-14 16:09:00-04:00,7482.0,target,,,,105.0,,105.0,15167.5,,101.75,407.0,203.5,2.5,201.0
12,2019-08-23,long,1,2019-08-23 10:06:00-04:00,7688.25,7627.25,7810.25,2019-08-23 11:02:00-04:00,7627.0,stop,,,,125.0,,125.0,15376.5,,-61.25,-245.0,-122.5,2.5,-125.0
13,2019-09-03,short,1,2019-09-03 10:05:00-04:00,7612.25,7677.25,7482.25,2019-09-03 16:00:00-04:00,7612.25,time_exit,,,,133.0,,133.0,15224.5,,-0.0,-0.0,-0.0,2.5,-2.5
14,2019-10-03,short,1,2019-10-03 10:01:00-04:00,7511.25,7586.5,7360.75,2019-10-03 11:06:00-04:00,7586.75,stop,,,,153.5,,153.5,15022.5,,-75.5,-302.0,-151.0,2.5,-153.5
15,2019-10-04,long,1,2019-10-04 10:01:00-04:00,7723.25,7681.75,7806.25,2019-10-04 16:00:00-04:00,7759.0,time_exit,,,,86.0,,86.0,15446.5,,35.75,143.0,71.5,2.5,69.0
16,2019-12-12,long,1,2019-12-12 10:01:00-05:00,8473.25,8380.5,8658.75,2019-12-12 16:00:00-05:00,8460.25,time_exit,,,,188.5,,188.5,16946.5,,-13.0,-52.0,-26.0,2.5,-28.5
17,2019-12-13,long,1,2019-12-13 10:02:00-05:00,8493.25,8439.5,8600.75,2019-12-13 16:00:00-05:00,8490.75,time_exit,,,,110.5,,110.5,16986.5,,-2.5,-10.0,-5.0,2.5,-7.5
