direction,trades,net_pnl_usd,avg_trade_pnl_usd,win_rate,profit_factor
long,14454,-18173.0,-1.2572990175729901,0.1595406115954061,0.9315669964113437
short,14286,-24501.5,-1.7150706985860282,0.15238695226095478,0.907498400197828
