group,value,n,median_oos_prop_score,median_oos_net_pnl,median_oos_max_dd,median_oos_return_over_dd
atr_window,14,36,3.547493113233306,4070.8803156652975,-627.75,5.873716450047256
atr_window,30,6,2.811334352474084,2285.5,-533.2192299490816,4.952183830911768
atr_window,10,7,2.7233604378677163,3201.1862309920907,-348.4010790920511,5.664694311963124
atr_window,20,17,2.5126232734806653,2913.5,-602.5003887953208,3.8125
compression_mode,weak_close,3,4.193645366054787,5128.5,-590.5,8.50497512437811
compression_mode,inside_day,8,3.5346390783730124,4498.5,-596.75,7.167755821914181
compression_mode,none,25,3.396319683153391,3635.8011432860512,-637.0,5.492850453627437
compression_mode,nr7,7,2.9325449647528483,3505.1810064187302,-499.50038879532076,5.90973630831643
compression_mode,nr4_or_nr7_or_triangle,8,2.593040116871016,1679.978376062696,-500.71922994908164,4.027982686689621
compression_mode,strong_close,4,2.374738594982743,2748.5931154960454,-737.0072402843107,3.704430940692155
compression_mode,nr4,5,2.125044009092592,1381.3800737574857,-386.71913519235386,3.5720499661088354
compression_mode,nr4_or_nr7,4,2.0655659131798982,3296.371346301381,-814.3348801172942,3.3412055006803185
compression_mode,triangle,2,1.9221956518174474,3205.1950856712356,-1004.6673302997806,3.1947882740268936
dynamic_mode,noise_area_gate,27,3.5191466460621545,4137.068256738334,-590.5,6.6202143950995405
dynamic_mode,noise_area_gate_plus_discrete_schedule,13,3.470657713012375,3427.5,-581.5,5.492850453627437
dynamic_mode,close_confirmation_gate,5,2.7233604378677163,4706.233393242648,-814.0623227295437,5.03943661971831
dynamic_mode,noise_area_gate_plus_close_confirmation,7,2.714100260859109,2296.0,-605.0,5.315996847911742
dynamic_mode,atr_threshold_gate,11,2.2324923526475913,3350.7485999151468,-806.5144805686214,3.7594924253055666
dynamic_mode,disabled,3,1.7751380710370905,4995.0,-1399.6819527866319,2.944297082228117
exit_mode,baseline,29,3.2970076089955667,3485.0,-603.0,5.540849673202614
exit_mode,trailing_vwap,18,3.060158225381582,3371.074219671995,-680.6350927770509,6.064590089741065
exit_mode,time_stop_plus_vwap,1,2.730722720481036,123.5,-26.5,4.660377358490566
exit_mode,trailing_struct_plus_vwap,2,2.6994587789456554,41.25,-10.5,9.107142857142858
exit_mode,partial_1R_then_vwap,1,2.568483992361902,122.0,-32.0,3.8125
exit_mode,fail_fast_vwap,15,2.5399391377946756,3505.1810064187302,-685.769796758781,4.127760347648012
vote_threshold,0.5,36,3.4673211351117885,3812.5,-613.6765501817645,5.835033443414414
vote_threshold,0.75,17,2.568483992361902,2913.5,-602.5003887953208,3.9691615068524753
vote_threshold,0.67,13,2.5399391377946756,2488.0,-519.5,4.127760347648012
