session_date,entry_time,direction,net_pnl_retained,net_pnl_3state,contracts_retained,contracts_3state,risk_multiplier,pnl_ratio,flag_pnl_ratio_gt_1_with_multiplier_le_1,match_status
2019-05-07 00:00:00,2019-05-07 14:02:00+00:00,short,,230.0,,4.0,0.75,,False,sizing_3state_only
2019-05-09 00:00:00,2019-05-09 14:05:00+00:00,short,,-544.0,,4.0,0.75,,False,sizing_3state_only
2019-05-13 00:00:00,2019-05-13 14:02:00+00:00,short,,207.0,,3.0,0.75,,False,sizing_3state_only
2019-05-20 00:00:00,2019-05-20 14:26:00+00:00,long,,-166.5,,3.0,0.5,,False,sizing_3state_only
2019-06-03 00:00:00,2019-06-03 14:02:00+00:00,short,,358.5,,3.0,0.75,,False,sizing_3state_only
2019-06-18,2019-06-18 13:49:00+00:00,long,-83.0,,1.0,,,,False,retained_only
2019-06-18 00:00:00,2019-06-18 14:04:00+00:00,long,,-180.0,,2.0,0.5,,False,sizing_3state_only
2019-08-02 00:00:00,2019-08-02 14:05:00+00:00,short,,102.0,,3.0,0.5,,False,sizing_3state_only
2019-08-06,2019-08-06 14:04:00+00:00,long,-171.0,-374.0,2.0,4.0,0.5,2.1871345029239766,True,matched_on_entry_time_and_direction
2019-08-07 00:00:00,2019-08-07 14:11:00+00:00,long,,792.0,,4.0,1.0,,False,sizing_3state_only
2019-08-08,2019-08-08 14:01:00+00:00,long,326.0,,2.0,,,,False,retained_only
2019-08-13,2019-08-13 13:46:00+00:00,long,167.0,,1.0,,,,False,retained_only
2019-08-14 00:00:00,2019-08-14 14:13:00+00:00,short,,603.0,,3.0,0.5,,False,sizing_3state_only
2019-08-23 00:00:00,2019-08-23 14:06:00+00:00,long,,-500.0,,4.0,0.75,,False,sizing_3state_only
2019-09-03,2019-09-03 13:52:00+00:00,long,-180.0,,2.0,,,,False,retained_only
2019-09-03 00:00:00,2019-09-03 14:05:00+00:00,short,,-10.0,,4.0,0.75,,False,sizing_3state_only
2019-09-12,2019-09-12 14:11:00+00:00,long,-198.0,,2.0,,,,False,retained_only
2019-10-03 00:00:00,2019-10-03 14:01:00+00:00,short,,-460.5,,3.0,0.75,,False,sizing_3state_only
2019-10-03,2019-10-03 15:09:00+00:00,long,215.0,,2.0,,,,False,retained_only
2019-10-04 00:00:00,2019-10-04 14:01:00+00:00,long,,276.0,,4.0,0.5,,False,sizing_3state_only
2019-12-12 00:00:00,2019-12-12 15:01:00+00:00,long,,-28.5,,1.0,0.5,,False,sizing_3state_only
2019-12-13,2019-12-13 15:02:00+00:00,long,-15.0,-22.5,2.0,3.0,0.5,1.5,True,matched_on_entry_time_and_direction
2020-01-31 00:00:00,2020-01-31 15:09:00+00:00,short,,774.0,,4.0,1.0,,False,sizing_3state_only
2020-02-03,2020-02-03 14:46:00+00:00,long,37.5,,1.0,,,,False,retained_only
2020-02-05 00:00:00,2020-02-05 15:15:00+00:00,short,,-94.0,,4.0,1.0,,False,sizing_3state_only
2020-02-21 00:00:00,2020-02-21 15:41:00+00:00,short,,36.5,,1.0,0.5,,False,sizing_3state_only
2020-02-25 00:00:00,2020-02-25 15:21:00+00:00,short,,405.0,,1.0,0.5,,False,sizing_3state_only
2020-02-26 00:00:00,2020-02-26 15:36:00+00:00,long,,-277.0,,1.0,0.5,,False,sizing_3state_only
2020-02-27 00:00:00,2020-02-27 15:24:00+00:00,short,,-248.0,,1.0,0.5,,False,sizing_3state_only
2020-03-04,2020-03-04 15:23:00+00:00,long,265.0,265.0,1.0,1.0,0.5,1.0,False,matched_on_entry_time_and_direction
2020-03-05 00:00:00,2020-03-05 15:19:00+00:00,long,,-337.0,,2.0,0.5,,False,sizing_3state_only
2020-03-06 00:00:00,2020-03-06 15:26:00+00:00,long,,-234.5,,1.0,0.5,,False,sizing_3state_only
2020-03-10 00:00:00,2020-03-10 14:21:00+00:00,long,,-230.5,,1.0,0.5,,False,sizing_3state_only
2020-03-11 00:00:00,2020-03-11 14:31:00+00:00,short,,389.0,,1.0,0.5,,False,sizing_3state_only
2020-03-24,2020-03-24 14:26:00+00:00,long,-228.5,-233.5,1.0,1.0,0.5,1.0218818380743981,True,matched_on_entry_time_and_direction
2020-03-27 00:00:00,2020-03-27 17:40:00+00:00,long,,-510.0,,2.0,0.75,,False,sizing_3state_only
2020-03-30 00:00:00,2020-03-30 14:04:00+00:00,long,,1400.0,,4.0,1.0,,False,sizing_3state_only
2020-03-30,2020-03-30 14:05:00+00:00,long,377.0,,1.0,,,,False,retained_only
2020-03-31 00:00:00,2020-03-31 14:07:00+00:00,long,,-489.0,,3.0,0.75,,False,sizing_3state_only
2020-03-31,2020-03-31 14:15:00+00:00,long,-243.0,,1.0,,,,False,retained_only
2020-04-01 00:00:00,2020-04-01 14:33:00+00:00,long,,-307.0,,2.0,0.5,,False,sizing_3state_only
2020-04-02 00:00:00,2020-04-02 14:13:00+00:00,long,,176.0,,1.0,0.5,,False,sizing_3state_only
2020-04-03 00:00:00,2020-04-03 14:23:00+00:00,short,,94.0,,1.0,0.5,,False,sizing_3state_only
2020-04-06 00:00:00,2020-04-06 14:03:00+00:00,long,,874.0,,2.0,0.75,,False,sizing_3state_only
2020-04-07 00:00:00,2020-04-07 14:15:00+00:00,short,,223.0,,1.0,0.5,,False,sizing_3state_only
2020-04-08 00:00:00,2020-04-08 14:08:00+00:00,short,,-208.0,,1.0,0.5,,False,sizing_3state_only
2020-04-09 00:00:00,2020-04-09 14:16:00+00:00,short,,-54.0,,3.0,1.0,,False,sizing_3state_only
2020-04-13 00:00:00,2020-04-13 15:03:00+00:00,short,,-684.0,,4.0,1.0,,False,sizing_3state_only
2020-04-14,2020-04-14 13:49:00+00:00,long,243.5,,1.0,,,,False,retained_only
2020-04-14 00:00:00,2020-04-14 14:17:00+00:00,long,,283.0,,2.0,1.0,,False,sizing_3state_only
2020-04-16 00:00:00,2020-04-16 14:04:00+00:00,short,,-487.5,,3.0,0.75,,False,sizing_3state_only
2020-04-17 00:00:00,2020-04-17 14:46:00+00:00,short,,-301.5,,3.0,1.0,,False,sizing_3state_only
2020-04-20 00:00:00,2020-04-20 14:26:00+00:00,long,,-635.0,,5.0,1.0,,False,sizing_3state_only
2020-04-21 00:00:00,2020-04-21 14:20:00+00:00,short,,174.5,,1.0,0.5,,False,sizing_3state_only
2020-04-22 00:00:00,2020-04-22 14:41:00+00:00,long,,165.0,,2.0,0.5,,False,sizing_3state_only
2020-04-23 00:00:00,2020-04-23 14:20:00+00:00,long,,-349.0,,2.0,0.5,,False,sizing_3state_only
2020-04-23,2020-04-23 14:31:00+00:00,long,-204.0,,1.0,,,,False,retained_only
2020-04-27 00:00:00,2020-04-27 14:04:00+00:00,long,,-309.0,,3.0,0.5,,False,sizing_3state_only
2020-04-28 00:00:00,2020-04-28 14:01:00+00:00,short,,1162.0,,4.0,1.0,,False,sizing_3state_only
2020-04-29 00:00:00,2020-04-29 14:17:00+00:00,long,,718.0,,2.0,0.5,,False,sizing_3state_only
2020-04-30 00:00:00,2020-04-30 16:01:00+00:00,short,,-178.5,,3.0,0.75,,False,sizing_3state_only
2020-05-01 00:00:00,2020-05-01 14:01:00+00:00,long,,-542.0,,4.0,0.75,,False,sizing_3state_only
2020-05-04 00:00:00,2020-05-04 14:02:00+00:00,long,,688.0,,4.0,1.0,,False,sizing_3state_only
2020-05-05,2020-05-05 13:49:00+00:00,long,-204.0,,2.0,,,,False,retained_only
2020-05-06 00:00:00,2020-05-06 14:05:00+00:00,short,,-532.0,,4.0,0.75,,False,sizing_3state_only
2020-05-07 00:00:00,2020-05-07 14:13:00+00:00,short,,-665.0,,5.0,1.0,,False,sizing_3state_only
2020-05-13 00:00:00,2020-05-13 14:03:00+00:00,long,,-215.0,,1.0,0.5,,False,sizing_3state_only
2020-05-14 00:00:00,2020-05-14 14:30:00+00:00,short,,-504.0,,2.0,1.0,,False,sizing_3state_only
2020-05-15 00:00:00,2020-05-15 14:11:00+00:00,long,,203.0,,1.0,0.5,,False,sizing_3state_only
2020-05-18 00:00:00,2020-05-18 14:27:00+00:00,long,,105.0,,2.0,0.5,,False,sizing_3state_only
2020-05-19,2020-05-19 13:57:00+00:00,long,-248.0,,2.0,,,,False,retained_only
2020-05-19 00:00:00,2020-05-19 14:02:00+00:00,long,,-292.0,,2.0,0.5,,False,sizing_3state_only
2020-05-20,2020-05-20 13:47:00+00:00,long,156.0,,2.0,,,,False,retained_only
2020-05-21 00:00:00,2020-05-21 14:05:00+00:00,short,,846.0,,3.0,0.75,,False,sizing_3state_only
2020-05-27 00:00:00,2020-05-27 14:02:00+00:00,short,,-234.0,,1.0,0.5,,False,sizing_3state_only
2020-05-28 00:00:00,2020-05-28 14:09:00+00:00,long,,-505.5,,3.0,0.75,,False,sizing_3state_only
2020-05-28,2020-05-28 14:11:00+00:00,long,-179.5,,1.0,,,,False,retained_only
2020-05-29,2020-05-29 13:47:00+00:00,long,-219.0,,2.0,,,,False,retained_only
2020-05-29 00:00:00,2020-05-29 14:09:00+00:00,short,,-444.0,,3.0,0.75,,False,sizing_3state_only
2020-06-01 00:00:00,2020-06-01 14:06:00+00:00,long,,41.0,,2.0,0.5,,False,sizing_3state_only
2020-06-03 00:00:00,2020-06-03 14:01:00+00:00,long,,-749.0,,7.0,1.0,,False,sizing_3state_only
2020-06-04,2020-06-04 13:46:00+00:00,long,-186.0,,2.0,,,,False,retained_only
2020-06-05,2020-06-05 13:46:00+00:00,long,85.0,,1.0,,,,False,retained_only
2020-06-08 00:00:00,2020-06-08 14:02:00+00:00,short,,-512.0,,4.0,0.75,,False,sizing_3state_only
2020-06-09 00:00:00,2020-06-09 14:23:00+00:00,long,,591.0,,6.0,1.0,,False,sizing_3state_only
2020-06-10 00:00:00,2020-06-10 14:01:00+00:00,long,,-487.5,,5.0,0.75,,False,sizing_3state_only
2020-06-10,2020-06-10 18:15:00+00:00,long,-35.5,,1.0,,,,False,retained_only
2020-06-11 00:00:00,2020-06-11 14:34:00+00:00,long,,-588.0,,3.0,1.0,,False,sizing_3state_only
2020-06-12 00:00:00,2020-06-12 14:38:00+00:00,short,,1341.0,,3.0,1.0,,False,sizing_3state_only
2020-06-15 00:00:00,2020-06-15 14:04:00+00:00,long,,475.0,,1.0,0.5,,False,sizing_3state_only
2020-06-16 00:00:00,2020-06-16 14:46:00+00:00,short,,-165.0,,3.0,0.75,,False,sizing_3state_only
2020-06-17 00:00:00,2020-06-17 14:19:00+00:00,short,,-508.0,,4.0,0.75,,False,sizing_3state_only
