fold_id,rule_id,family,allocation_scheme,fitted_params_json,train_score,train_net_pnl,train_profit_factor,train_trades,train_max_drawdown,train_monthly_hit_rate,train_top1_contribution_pct,train_top3_contribution_pct,mgc_retained_trades_train,mgc_retention_rate_train,mgc_active_months_train,selected_in_fold
fold_1,always_on__conditional_equal_weight,always_on,conditional_equal_weight,{},0.8720554587689503,138.50000000001046,1.8445121951220513,14,-104.99999999999545,0.4166666666666667,0.7779783393501283,1.7635379061370642,4,1.0,4,True
fold_1,atr_pct_mid_q20_q80__conditional_equal_weight,atr_pct_between,conditional_equal_weight,"{""high_quantile"": 0.8, ""high_threshold"": 0.76, ""low_quantile"": 0.2, ""low_threshold"": 0.288}",0.8720554587689503,138.50000000001046,1.8445121951220513,14,-104.99999999999545,0.4166666666666667,0.7779783393501283,1.7635379061370642,4,1.0,4,False
fold_1,slope_dir_q60__conditional_equal_weight,slope_dir_above,conditional_equal_weight,"{""feature"": ""ema50_slope_3_atr"", ""quantile"": 0.6, ""threshold"": 0.407348467346467}",0.7898917324506316,149.50000000000955,1.9771241830066375,12,-104.99999999999545,0.45454545454545453,0.7207357859531373,1.6337792642139546,2,0.5,2,False
fold_1,atr_ratio_mid_q20_q80__conditional_equal_weight,atr_ratio_between,conditional_equal_weight,"{""high_quantile"": 0.8, ""high_threshold"": 1.4199054768461443, ""low_quantile"": 0.2, ""low_threshold"": 0.9375975473801469}",0.7716846033114553,144.25000000000978,1.9115323854661332,13,-104.99999999999545,0.45454545454545453,0.7469670710571481,1.6932409012130694,3,0.75,3,False
fold_1,always_on__conditional_capped_mgc_40,always_on,conditional_capped_mgc_40,{},0.7681276296427811,117.20000000001005,1.7243510506799444,14,-104.99999999999545,0.4166666666666667,0.7807167235494289,1.9001706484640148,4,1.0,4,False
fold_1,atr_pct_mid_q20_q80__conditional_capped_mgc_40,atr_pct_between,conditional_capped_mgc_40,"{""high_quantile"": 0.8, ""high_threshold"": 0.76, ""low_quantile"": 0.2, ""low_threshold"": 0.288}",0.7681276296427811,117.20000000001005,1.7243510506799444,14,-104.99999999999545,0.4166666666666667,0.7807167235494289,1.9001706484640148,4,1.0,4,False
fold_1,atr_ratio_above_q60__conditional_equal_weight,atr_ratio_above,conditional_equal_weight,"{""quantile"": 0.6, ""threshold"": 1.2822166851236614}",0.70179919369737,134.50000000000955,1.8499210110585464,12,-104.99999999999545,0.45454545454545453,0.8011152416356376,1.8159851301114087,2,0.5,2,False
fold_1,atr_pct_mid_q30_q70__conditional_equal_weight,atr_pct_between,conditional_equal_weight,"{""high_quantile"": 0.7, ""high_threshold"": 0.72, ""low_quantile"": 0.3, ""low_threshold"": 0.397}",0.6729261033682505,128.75000000001023,1.7850609756098523,13,-104.99999999999545,0.4166666666666667,0.8368932038834357,1.8970873786406401,3,0.75,3,False
fold_1,always_on__conditional_inverse_vol,always_on,conditional_inverse_vol,{},0.6688970500988599,97.08076899763302,1.607811039893915,14,-104.99999999999545,0.4166666666666667,0.9425141657276309,2.084291563384817,4,1.0,4,False
fold_1,atr_pct_mid_q20_q80__conditional_inverse_vol,atr_pct_between,conditional_inverse_vol,"{""high_quantile"": 0.8, ""high_threshold"": 0.76, ""low_quantile"": 0.2, ""low_threshold"": 0.288}",0.6688970500988599,97.08076899763302,1.607811039893915,14,-104.99999999999545,0.4166666666666667,0.9425141657276309,2.084291563384817,4,1.0,4,False
