entity_name,selection_basis,deployable,net_pnl,profit_factor,trades,positive_folds,max_drawdown,max_daily_drawdown,win_rate,avg_trade,median_trade,monthly_hit_rate,active_months,mgc_trade_retention_rate,mgc_contribution_pnl,top1_contribution_pct,top3_contribution_pct,top5_contribution_pct,worst1_contribution_pct,worst3_contribution_pct,worst5_contribution_pct,verdict
m2k_only_baseline,strict_train_only,False,474.77500000002465,1.9134680134680884,39,4,-133.12499999999545,-52.5,0.38461538461538464,12.173717948718581,-11.62499999999909,0.44,25,0.0,0.0,0.47390869359167676,1.0578695171396433,1.5018166499920238,-0.11057869517139124,-0.2614396292980707,-0.406771628666182,baseline
mgc_only_baseline,strict_train_only,False,1217.2000000000003,3.4891615541923406,23,2,-264.99999999999545,-81.50000000000091,0.4782608695652174,52.921739130434794,-11.499999999996362,0.625,16,1.0,1217.2000000000003,0.40461715412421195,0.8084127505750722,1.0729543213933346,-0.06695695037791727,-0.18361813999342488,-0.26248767663489636,baseline
raw_m2k_mgc_equal_weight,strict_train_only,False,845.9875000000125,2.677298636926977,62,4,-107.81249999999602,-40.750000000000455,0.41935483870967744,13.644959677419555,-5.781249999998863,0.53125,32,1.0,608.6000000000001,0.29107995094489203,0.5865925914980873,0.8129552741618199,-0.048168560410171375,-0.13209415032727642,-0.19178770371902135,baseline
