entity_name,year,pnl
m2k_only_baseline,2022,-42.37499999999841
m2k_only_baseline,2023,130.12500000001182
m2k_only_baseline,2024,140.40000000000646
m2k_only_baseline,2025,69.62500000000205
m2k_only_baseline,2026,177.00000000000273
mgc_only_baseline,2023,-48.49999999999227
mgc_only_baseline,2024,-5.2999999999883585
mgc_only_baseline,2025,562.0000000000027
mgc_only_baseline,2026,708.9999999999782
raw_m2k_mgc_equal_weight,2022,-21.187499999999204
raw_m2k_mgc_equal_weight,2023,40.81250000000978
raw_m2k_mgc_equal_weight,2024,67.55000000000905
raw_m2k_mgc_equal_weight,2025,315.8125000000024
raw_m2k_mgc_equal_weight,2026,442.99999999999045
strict_best_regime_gated,2022,-42.37499999999841
strict_best_regime_gated,2023,105.87500000001569
strict_best_regime_gated,2024,199.4146768946734
strict_best_regime_gated,2025,226.62500000000023
strict_best_regime_gated,2026,310.7499999999982
