session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,equity,peak_equity,drawdown_usd,drawdown_pct,green_day,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2019-05-06,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-07,339.0,354.0,15.0,1.0,0.0,50339.0,50339.0,0.0,0.0,True,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2019-05-08,0.0,0.0,0.0,0.0,0.0,50339.0,50339.0,0.0,0.0,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-09,-685.0,-672.5,12.5,1.0,1.0,49654.0,50339.0,-685.0,0.013607739526013627,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2019-05-10,0.0,0.0,0.0,0.0,0.0,49654.0,50339.0,-685.0,0.013607739526013627,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-13,340.0,352.5,12.5,1.0,0.0,49994.0,50339.0,-345.0,0.006853533045948469,True,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2019-05-14,0.0,0.0,0.0,0.0,0.0,49994.0,50339.0,-345.0,0.006853533045948469,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-15,0.0,0.0,0.0,0.0,0.0,49994.0,50339.0,-345.0,0.006853533045948469,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-16,0.0,0.0,0.0,0.0,0.0,49994.0,50339.0,-345.0,0.006853533045948469,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-17,0.0,0.0,0.0,0.0,0.0,49994.0,50339.0,-345.0,0.006853533045948469,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-20,-339.0,-324.0,15.0,1.0,1.0,49655.0,50339.0,-684.0,0.013587874212836965,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2019-05-21,0.0,0.0,0.0,0.0,0.0,49655.0,50339.0,-684.0,0.013587874212836965,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-22,0.0,0.0,0.0,0.0,0.0,49655.0,50339.0,-684.0,0.013587874212836965,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-23,0.0,0.0,0.0,0.0,0.0,49655.0,50339.0,-684.0,0.013587874212836965,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-24,0.0,0.0,0.0,0.0,0.0,49655.0,50339.0,-684.0,0.013587874212836965,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-27,0.0,0.0,0.0,0.0,0.0,49655.0,50339.0,-684.0,0.013587874212836965,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-28,0.0,0.0,0.0,0.0,0.0,49655.0,50339.0,-684.0,0.013587874212836965,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-29,0.0,0.0,0.0,0.0,0.0,49655.0,50339.0,-684.0,0.013587874212836965,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-30,0.0,0.0,0.0,0.0,0.0,49655.0,50339.0,-684.0,0.013587874212836965,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-31,0.0,0.0,0.0,0.0,0.0,49655.0,50339.0,-684.0,0.013587874212836965,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-03,474.0,484.0,10.0,1.0,0.0,50129.0,50339.0,-210.0,0.004171715767099069,True,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2019-06-04,0.0,0.0,0.0,0.0,0.0,50129.0,50339.0,-210.0,0.004171715767099069,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-05,0.0,0.0,0.0,0.0,0.0,50129.0,50339.0,-210.0,0.004171715767099069,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-06,0.0,0.0,0.0,0.0,0.0,50129.0,50339.0,-210.0,0.004171715767099069,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-07,0.0,0.0,0.0,0.0,0.0,50129.0,50339.0,-210.0,0.004171715767099069,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-10,0.0,0.0,0.0,0.0,0.0,50129.0,50339.0,-210.0,0.004171715767099069,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-11,0.0,0.0,0.0,0.0,0.0,50129.0,50339.0,-210.0,0.004171715767099069,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-12,0.0,0.0,0.0,0.0,0.0,50129.0,50339.0,-210.0,0.004171715767099069,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-13,0.0,0.0,0.0,0.0,0.0,50129.0,50339.0,-210.0,0.004171715767099069,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
