scope,net_pnl,sharpe,sortino,profit_factor,expectancy,max_drawdown,n_trades,n_days_traded,pct_days_traded,worst_day,longest_losing_streak_daily,median_recovery_days,max_recovery_days,daily_loss_limit_breach_freq,days_to_profit_target,profit_target_reached_before_max_loss,max_loss_limit_buffer_usd
overall,43787.0,0.7269016116328221,0.6910509405875156,1.1431146482763128,38.61287477954145,-11510.5,1134,1134,0.6491127647395535,-750.0,8,9.0,442.0,0.0,471.0,False,-2113.5
is,9437.5,0.22709563500867141,0.2131882213356836,1.04236717469866,11.871069182389936,-11510.5,795,795,0.6505728314238952,-750.0,8,24.5,403.0,0.0,471.0,False,-2113.5
oos,34349.5,1.846813742003976,1.7981267301665242,1.4128421621946456,101.3259587020649,-9901.5,339,339,0.6457142857142857,-750.0,7,3.0,222.0,0.0,35.0,True,488.5
