config_name,comparison_group,policy_family,opposite_confirmation,opposite_breakout_buffer_ticks,opposite_breakout_confirm_bars,require_reclaim_vwap,net_pnl,Sharpe,Sortino,max_drawdown,max_daily_drawdown,profit_factor,number_of_trades,win_rate,avg_trade,worst_day,daily_loss_limit_breaches,prop_pass,invalidated_days_count,invalidated_days_pct,trades_removed,pnl_removed_by_invalidation,Sharpe_delta,DD_delta,baseline_net_pnl,baseline_sharpe,baseline_sortino,baseline_max_drawdown,baseline_max_daily_drawdown,baseline_profit_factor,baseline_trade_count,net_pnl_delta_vs_baseline,Sharpe_delta_vs_baseline,Sortino_delta_vs_baseline,max_drawdown_improvement_vs_baseline,max_daily_drawdown_improvement_vs_baseline,profit_factor_delta_vs_baseline,trade_count_delta_vs_baseline,avg_trade_delta_vs_baseline,rank_main_by_live_score
invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,primary_invalidation,invalidate_for_day,n_closes_1m,0,2,False,30191.75999999998,0.8723911042527189,2.100542761653297,-6843.699999999994,-6843.699999999994,1.190573144197831,602,0.526578073089701,50.15242524916941,-749.22,0,False,725,0.6473214285714286,183,-2782.1200000000035,0.3636748877052784,1801.4199999999646,27409.639999999985,0.7158807084047569,1.7057457151342097,-8645.119999999959,-8645.119999999959,1.13737670892405,785.0,2782.1199999999953,0.156510395847962,0.3947970465190871,1801.4199999999646,1801.4199999999646,0.05319643527378082,-183.0,15.23568639566625,1.0
invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,primary_invalidation,invalidate_for_day,n_closes_1m,1,2,False,30191.75999999998,0.8723911042527189,2.100542761653297,-6843.699999999994,-6843.699999999994,1.190573144197831,602,0.526578073089701,50.15242524916941,-749.22,0,False,724,0.6464285714285715,183,-2782.1200000000035,0.3636748877052784,1801.4199999999646,27409.639999999985,0.7158807084047569,1.7057457151342097,-8645.119999999959,-8645.119999999959,1.13737670892405,785.0,2782.1199999999953,0.156510395847962,0.3947970465190871,1801.4199999999646,1801.4199999999646,0.05319643527378082,-183.0,15.23568639566625,1.0
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_2,primary_invalidation,invalidate_for_day,n_closes_1m,2,2,False,30191.75999999998,0.8723911042527189,2.100542761653297,-6843.699999999994,-6843.699999999994,1.190573144197831,602,0.526578073089701,50.15242524916941,-749.22,0,False,724,0.6464285714285715,183,-2782.1200000000035,0.3636748877052784,1801.4199999999646,27409.639999999985,0.7158807084047569,1.7057457151342097,-8645.119999999959,-8645.119999999959,1.13737670892405,785.0,2782.1199999999953,0.156510395847962,0.3947970465190871,1801.4199999999646,1801.4199999999646,0.05319643527378082,-183.0,15.23568639566625,1.0
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_3,primary_invalidation,invalidate_for_day,n_closes_1m,2,3,False,30356.61999999998,0.8672842597735096,2.1140785263482704,-6832.060000000001,-6832.060000000001,1.1872018835741038,616,0.5275974025974026,49.28022727272724,-749.22,0,False,706,0.6303571428571428,169,-2946.980000000003,0.4661803520669954,1813.0599999999577,27409.639999999985,0.7158807084047569,1.7057457151342097,-8645.119999999959,-8645.119999999959,1.13737670892405,785.0,2946.979999999996,0.15140355136875272,0.40833281121406073,1813.0599999999577,1813.0599999999577,0.04982517465005376,-169.0,14.363488419224076,2.0
invalidate_on_opposite_close_1m__buffer_1,primary_invalidation,invalidate_for_day,close_1m,1,1,False,27103.65999999998,0.8023098004213003,1.9052463146032412,-7775.340000000004,-7775.340000000004,1.1772960830706414,581,0.5283993115318416,46.650017211703926,-749.22,0,False,744,0.6642857142857143,204,305.9799999999932,0.408081693693386,869.7799999999552,27409.639999999985,0.7158807084047569,1.7057457151342097,-8645.119999999959,-8645.119999999959,1.13737670892405,785.0,-305.9800000000032,0.08642909201654336,0.19950059946903154,869.7799999999552,869.7799999999552,0.0399193741465913,-204.0,11.733278358200764,3.0
invalidate_on_opposite_close_1m__buffer_2,primary_invalidation,invalidate_for_day,close_1m,2,1,False,27103.65999999998,0.8023098004213003,1.9052463146032412,-7775.340000000004,-7775.340000000004,1.1772960830706414,581,0.5283993115318416,46.650017211703926,-749.22,0,False,743,0.6633928571428571,204,305.9799999999932,0.408081693693386,869.7799999999552,27409.639999999985,0.7158807084047569,1.7057457151342097,-8645.119999999959,-8645.119999999959,1.13737670892405,785.0,-305.9800000000032,0.08642909201654336,0.19950059946903154,869.7799999999552,869.7799999999552,0.0399193741465913,-204.0,11.733278358200764,3.0
invalidate_on_opposite_close_1m__buffer_0,primary_invalidation,invalidate_for_day,close_1m,0,1,False,26839.859999999982,0.794588936310838,1.8867025467950436,-7775.340000000004,-7775.340000000004,1.175570459788987,580,0.5275862068965518,46.27562068965515,-749.22,0,False,745,0.6651785714285714,205,569.7799999999934,0.408081693693386,869.7799999999552,27409.639999999985,0.7158807084047569,1.7057457151342097,-8645.119999999959,-8645.119999999959,1.13737670892405,785.0,-569.7800000000025,0.07870822790608112,0.18095683166083387,869.7799999999552,869.7799999999552,0.03819375086493704,-205.0,11.358881836151987,4.0
invalidate_on_opposite_touch__buffer_0,primary_invalidation,invalidate_for_day,touch,0,1,False,24766.059999999983,0.7472217949242879,1.7456563733525698,-7263.720000000005,-7263.720000000005,1.166826738935176,562,0.5266903914590747,44.0677224199288,-749.22,0,False,768,0.6857142857142857,223,2643.579999999997,0.1271168336002626,1381.3999999999542,27409.639999999985,0.7158807084047569,1.7057457151342097,-8645.119999999959,-8645.119999999959,1.13737670892405,785.0,-2643.5800000000017,0.031341086519530936,0.03991065821836015,1381.3999999999542,1381.3999999999542,0.029450030011126005,-223.0,9.150983566425637,5.0
invalidate_on_opposite_touch__buffer_1,primary_invalidation,invalidate_for_day,touch,1,1,False,24123.099999999984,0.7271738185793567,1.7029620305710225,-7263.720000000005,-7263.720000000005,1.1617949527266662,563,0.5257548845470693,42.84742451154526,-749.22,0,False,768,0.6857142857142857,222,3286.539999999997,0.1271168336002626,1381.3999999999542,27409.639999999985,0.7158807084047569,1.7057457151342097,-8645.119999999959,-8645.119999999959,1.13737670892405,785.0,-3286.540000000001,0.011293110174599774,-0.0027836845631872276,1381.3999999999542,1381.3999999999542,0.024418243802616146,-222.0,7.930685658042101,6.0
invalidate_on_opposite_touch__buffer_2,primary_invalidation,invalidate_for_day,touch,2,1,False,24123.099999999984,0.7271738185793567,1.7029620305710225,-7263.720000000005,-7263.720000000005,1.1617949527266662,563,0.5257548845470693,42.84742451154526,-749.22,0,False,768,0.6857142857142857,222,3286.539999999997,0.1271168336002626,1381.3999999999542,27409.639999999985,0.7158807084047569,1.7057457151342097,-8645.119999999959,-8645.119999999959,1.13737670892405,785.0,-3286.540000000001,0.011293110174599774,-0.0027836845631872276,1381.3999999999542,1381.3999999999542,0.024418243802616146,-222.0,7.930685658042101,6.0
