row_type,config_name,policy_family,opposite_confirmation,buffer_ticks,confirm_bars,subset,trade_count,net_pnl,avg_trade,win_rate,sharpe,max_drawdown,profit_factor,invalidated_downside_trade_days,captured_losing_downside_trade_days,captured_losing_downside_trade_days_pct,removed_winning_downside_trade_days,removed_winning_downside_trade_days_pct,baseline_net_pnl_on_invalidated_downside_trade_days,avg_baseline_trade_on_invalidated_downside_days
baseline_subset,baseline_no_opposite_invalidation,baseline,none,0,1,all_baseline,785.0,27409.639999999985,34.91673885350316,0.5222929936305732,0.7158807084047569,-8645.119999999959,1.13737670892405,,,,,,,
baseline_subset,baseline_no_opposite_invalidation,baseline,none,0,1,downside_first_breakout_only,207.0,1915.4199999999937,9.253236714975815,0.5072463768115942,0.1556630453972111,-6404.3200000000015,1.0413770905430335,,,,,,,
baseline_subset,baseline_no_opposite_invalidation,baseline,none,0,1,no_downside_breakout_before_trade,578.0,25494.21999999999,44.10764705882351,,,,,,,,,,,
rule_invalidation_effect,invalidate_on_opposite_touch__buffer_0,invalidate_for_day,touch,0,1,,,,,,,,,207.0,102.0,1.0,105.0,1.0,1915.4199999999937,9.253236714975815
rule_invalidation_effect,invalidate_on_opposite_touch__buffer_1,invalidate_for_day,touch,1,1,,,,,,,,,207.0,102.0,1.0,105.0,1.0,1915.4199999999937,9.253236714975815
rule_invalidation_effect,invalidate_on_opposite_touch__buffer_2,invalidate_for_day,touch,2,1,,,,,,,,,207.0,102.0,1.0,105.0,1.0,1915.4199999999937,9.253236714975815
rule_invalidation_effect,invalidate_on_opposite_close_1m__buffer_0,invalidate_for_day,close_1m,0,1,,,,,,,,,196.0,101.0,0.9901960784313726,95.0,0.9047619047619048,-4576.420000000004,-23.349081632653082
rule_invalidation_effect,invalidate_on_opposite_close_1m__buffer_1,invalidate_for_day,close_1m,1,1,,,,,,,,,195.0,101.0,0.9901960784313726,94.0,0.8952380952380953,-4840.220000000005,-24.82164102564105
rule_invalidation_effect,invalidate_on_opposite_close_1m__buffer_2,invalidate_for_day,close_1m,2,1,,,,,,,,,195.0,101.0,0.9901960784313726,94.0,0.8952380952380953,-4840.220000000005,-24.82164102564105
rule_invalidation_effect,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,invalidate_for_day,n_closes_1m,0,2,,,,,,,,,184.0,97.0,0.9509803921568627,87.0,0.8285714285714286,-8658.660000000005,-47.057934782608726
rule_invalidation_effect,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,invalidate_for_day,n_closes_1m,1,2,,,,,,,,,184.0,97.0,0.9509803921568627,87.0,0.8285714285714286,-8658.660000000005,-47.057934782608726
rule_invalidation_effect,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_2,invalidate_for_day,n_closes_1m,2,2,,,,,,,,,184.0,97.0,0.9509803921568627,87.0,0.8285714285714286,-8658.660000000005,-47.057934782608726
rule_invalidation_effect,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_3,invalidate_for_day,n_closes_1m,2,3,,,,,,,,,175.0,95.0,0.9313725490196079,80.0,0.7619047619047619,-10548.480000000001,-60.27702857142858
rule_invalidation_effect,invalidate_on_opposite_close_5m__buffer_0,invalidate_for_day,close_5m,0,1,,,,,,,,,180.0,96.0,0.9411764705882353,84.0,0.8,-9551.3,-53.062777777777775
rule_invalidation_effect,invalidate_on_opposite_close_5m__buffer_1,invalidate_for_day,close_5m,1,1,,,,,,,,,178.0,95.0,0.9313725490196079,83.0,0.7904761904761904,-9109.919999999998,-51.17932584269662
rule_invalidation_effect,invalidate_on_opposite_close_5m__buffer_2,invalidate_for_day,close_5m,2,1,,,,,,,,,177.0,95.0,0.9313725490196079,82.0,0.780952380952381,-9442.199999999997,-53.34576271186439
rule_invalidation_effect,invalidate_on_opposite_close_5m__buffer_4,invalidate_for_day,close_5m,4,1,,,,,,,,,177.0,95.0,0.9313725490196079,82.0,0.780952380952381,-9442.199999999997,-53.34576271186439
rule_invalidation_effect,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,reclaim_conservative,touch,0,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rule_invalidation_effect,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,reclaim_conservative,touch,0,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
