feature_name,family,description,bucket_kind,bucket_label,bucket_position,lower_bound,upper_bound,overall_n_obs,overall_net_pnl,overall_sharpe,overall_profit_factor,overall_expectancy,overall_max_drawdown,overall_nb_trades,overall_worst_day,overall_composite_score,overall_coverage_vs_nominal,overall_pnl_contribution,is_n_obs,is_net_pnl,is_sharpe,is_profit_factor,is_expectancy,is_max_drawdown,is_nb_trades,is_worst_day,is_composite_score,is_coverage_vs_nominal,is_pnl_contribution,oos_n_obs,oos_net_pnl,oos_sharpe,oos_profit_factor,oos_expectancy,oos_max_drawdown,oos_nb_trades,oos_worst_day,oos_composite_score,oos_coverage_vs_nominal,oos_pnl_contribution,variant_name,risk_multiplier
gap_abs_atr20,extension,Absolute RTH opening gap normalized by ATR20 at the open.,quantile,low,1,0.0392156862745098,6.225150984389505,392,-3192.5,-0.1912670234872275,0.9722509539413641,-8.144132653061224,-14862.0,392,-750.0,-2.966227786751557,0.345679012345679,-0.06789952784040156,265,-9489.5,-0.8609951258918779,0.8807716952921812,-35.80943396226415,-13420.5,265,-750.0,-4.258907803428454,0.3333333333333333,-0.8292842785982697,127,6297.0,1.1179027713194416,1.1775903886288002,49.58267716535433,-3185.5,127,-746.0,0.9022151262621606,0.3746312684365782,0.17700632466619817,filter_skip_worst_gap_abs_atr20,0.0
gap_abs_atr20,extension,Absolute RTH opening gap normalized by ATR20 at the open.,quantile,mid,2,6.225150984389505,14.652037521614702,373,28156.5,1.7831583632315502,1.3021780775608107,75.48659517426273,-7392.5,373,-750.0,1.582707382288437,0.3289241622574956,0.5988451231443277,265,12903.0,1.1624799196257232,1.186745592960315,48.69056603773585,-7392.5,265,-750.0,0.3519457706694956,0.3333333333333333,1.1275889189897754,108,15253.5,3.2743741190434137,1.6333326413253337,141.23611111111111,-6555.0,108,-750.0,2.1238404045506645,0.3185840707964602,0.42877020379479974,filter_skip_worst_gap_abs_atr20,1.0
gap_abs_atr20,extension,Absolute RTH opening gap normalized by ATR20 at the open.,quantile,high,3,14.652037521614702,61.94736842105263,369,22054.0,1.360350931514039,1.2246980371779785,59.766937669376695,-9971.5,369,-750.0,0.7030666856269561,0.3253968253968254,0.46905440469607385,265,8029.5,0.6951537807858739,1.1076520864756159,30.3,-9971.5,265,-750.0,-0.8329357879441686,0.3333333333333333,0.7016953596084943,104,14024.5,3.03314238994251,1.5952168746286393,134.85096153846155,-4176.0,104,-750.0,2.5239419644957555,0.30678466076696165,0.3942234715390021,filter_skip_worst_gap_abs_atr20,1.0
weekday_name,structural,Simple weekday context.,categorical,tuesday,1,,,244,20068.0,1.908125065563471,1.329377779966189,82.24590163934427,-4857.0,244,-750.0,1.9015269155034655,0.21516754850088182,0.4268152622399932,170,4457.5,0.6359298464671846,1.10102440903837,26.220588235294116,-4857.0,170,-750.0,-0.6022548301616725,0.2138364779874214,0.3895394564362492,74,15610.5,4.575098090475038,1.9289752439895262,210.9527027027027,-3104.0,74,-750.0,3.133528728115741,0.2182890855457227,0.438805340829234,filter_skip_worst_weekday_name,1.0
weekday_name,structural,Simple weekday context.,categorical,thursday,2,,,231,5942.5,0.5874355260852551,1.090759138914556,25.725108225108226,-10906.0,231,-747.5,-0.9996147165002781,0.2037037037037037,0.126387766387341,168,-1094.5,-0.14519921651930998,0.979148607843324,-6.5148809523809526,-10906.0,168,-747.5,-2.76472187084993,0.21132075471698114,-0.09564799440706108,63,7037.0,2.77264598879262,1.5419329996149402,111.6984126984127,-2902.0,63,-744.0,2.658891128156699,0.18584070796460178,0.19780744905130007,filter_skip_worst_weekday_name,0.0
weekday_name,structural,Simple weekday context.,categorical,monday,3,,,217,-4316.0,-0.47610500788140264,0.9315045666267269,-19.889400921658986,-15951.0,217,-750.0,-3.5229528862562267,0.19135802469135801,-0.0917946318431239,145,949.0,0.15587652448751482,1.0233032118652392,6.544827586206897,-10450.5,145,-750.0,-2.2331859121766815,0.18238993710691823,0.08293279734335401,72,-5265.0,-1.7774273168233472,0.7637689287717331,-73.125,-8058.0,72,-750.0,-4.8575688497569205,0.21238938053097345,-0.14799718903724526,filter_skip_worst_weekday_name,1.0
weekday_name,structural,Simple weekday context.,categorical,friday,4,,,200,14503.5,1.8043803698517604,1.3091046652884637,72.5175,-6708.0,200,-750.0,1.081605488460371,0.1763668430335097,0.30846697009655877,143,5481.5,0.9463429844293187,1.1494329643967067,38.33216783216783,-6708.0,143,-750.0,-0.42937468281095426,0.17987421383647798,0.4790264790701739,57,9022.0,4.072640439924961,1.881140736400039,158.28070175438597,-3402.5,57,-718.5,2.134011762648267,0.168141592920354,0.25360505973295855,filter_skip_worst_weekday_name,1.0
weekday_name,structural,Simple weekday context.,categorical,wednesday,5,,,242,10820.0,0.9900439537398277,1.1544787413266326,44.710743801652896,-15956.0,242,-750.0,-0.4440693460514641,0.21340388007054673,0.23012463311923093,169,1649.5,0.22691091279648615,1.03349034576574,9.7603550295858,-15956.0,169,-750.0,-1.906883634846967,0.21257861635220127,0.14414926155728394,73,9170.5,2.542968366618108,1.441122709125018,125.62328767123287,-7788.0,73,-746.0,0.6598851035849241,0.2153392330383481,0.25777933942375264,filter_skip_worst_weekday_name,1.0
realized_vol_ratio_15_60,volatility,Realized volatility ratio using rolling close-return stdev 15 vs 60 bars.,quantile,low,1,0.3365519907179088,0.9429454367121718,406,7522.5,0.4505093753156763,1.0696698727002458,18.528325123152708,-12455.0,406,-750.0,-1.1935082329214066,0.35802469135802467,0.15999191798885534,265,-4182.0,-0.39069132925461375,0.9437067149462576,-15.781132075471698,-12455.0,265,-750.0,-3.313401951284902,0.3333333333333333,-0.3654636022022197,141,11704.5,1.9682312401990272,1.3474795154969719,83.01063829787235,-9419.5,141,-750.0,0.7578217887004309,0.415929203539823,0.3290091356289529,filter_skip_worst_realized_vol_ratio_15_60,0.0
realized_vol_ratio_15_60,volatility,Realized volatility ratio using rolling close-return stdev 15 vs 60 bars.,quantile,mid,2,0.9429454367121718,1.1407799880685539,363,42050.0,2.6692492860944443,1.4865574756865898,115.84022038567493,-6781.0,363,-750.0,2.603682064870999,0.3201058201058201,0.8943383385086563,265,19378.0,1.703681570429694,1.284834454121192,73.1245283018868,-6781.0,265,-750.0,1.6218521154982644,0.3333333333333333,1.6934370357423751,98,22672.0,5.276851200620095,2.232776901745419,231.3469387755102,-2439.5,98,-744.0,3.4873931005986583,0.2890855457227139,0.6373014757554463,filter_skip_worst_realized_vol_ratio_15_60,1.0
realized_vol_ratio_15_60,volatility,Realized volatility ratio using rolling close-return stdev 15 vs 60 bars.,quantile,high,3,1.1407799880685539,1.822058261096651,365,-2554.5,-0.15814444447691697,0.977187890694767,-6.998630136986302,-10840.0,365,-750.0,-2.930500161529377,0.3218694885361552,-0.05433025649751159,265,-3753.0,-0.32445065669499046,0.9536383345377731,-14.162264150943397,-8522.5,265,-750.0,-3.2539514001111125,0.3333333333333333,-0.32797343354015557,100,1198.5,0.2616982371210023,1.038624534716963,11.985,-10840.0,100,-750.0,-2.009457741919206,0.2949852507374631,0.03368938861560084,filter_skip_worst_realized_vol_ratio_15_60,1.0
realized_vol_ratio_15_60,volatility,Realized volatility ratio using rolling close-return stdev 15 vs 60 bars.,quantile,low,1,0.3365519907179088,0.9429454367121718,406,7522.5,0.4505093753156763,1.0696698727002458,18.528325123152708,-12455.0,406,-750.0,-1.1935082329214066,0.35802469135802467,0.15999191798885534,265,-4182.0,-0.39069132925461375,0.9437067149462576,-15.781132075471698,-12455.0,265,-750.0,-3.313401951284902,0.3333333333333333,-0.3654636022022197,141,11704.5,1.9682312401990272,1.3474795154969719,83.01063829787235,-9419.5,141,-750.0,0.7578217887004309,0.415929203539823,0.3290091356289529,sizing_3state_realized_vol_ratio_15_60,0.5
realized_vol_ratio_15_60,volatility,Realized volatility ratio using rolling close-return stdev 15 vs 60 bars.,quantile,mid,2,0.9429454367121718,1.1407799880685539,363,42050.0,2.6692492860944443,1.4865574756865898,115.84022038567493,-6781.0,363,-750.0,2.603682064870999,0.3201058201058201,0.8943383385086563,265,19378.0,1.703681570429694,1.284834454121192,73.1245283018868,-6781.0,265,-750.0,1.6218521154982644,0.3333333333333333,1.6934370357423751,98,22672.0,5.276851200620095,2.232776901745419,231.3469387755102,-2439.5,98,-744.0,3.4873931005986583,0.2890855457227139,0.6373014757554463,sizing_3state_realized_vol_ratio_15_60,1.0
realized_vol_ratio_15_60,volatility,Realized volatility ratio using rolling close-return stdev 15 vs 60 bars.,quantile,high,3,1.1407799880685539,1.822058261096651,365,-2554.5,-0.15814444447691697,0.977187890694767,-6.998630136986302,-10840.0,365,-750.0,-2.930500161529377,0.3218694885361552,-0.05433025649751159,265,-3753.0,-0.32445065669499046,0.9536383345377731,-14.162264150943397,-8522.5,265,-750.0,-3.2539514001111125,0.3333333333333333,-0.32797343354015557,100,1198.5,0.2616982371210023,1.038624534716963,11.985,-10840.0,100,-750.0,-2.009457741919206,0.2949852507374631,0.03368938861560084,sizing_3state_realized_vol_ratio_15_60,0.75
realized_vol_ratio_15_60,volatility,Realized volatility ratio using rolling close-return stdev 15 vs 60 bars.,quantile,very_low,1,0.3365519907179088,0.8897015181625826,306,-4904.5,-0.40449543280620553,0.941459076856969,-16.02777777777778,-12311.0,306,-750.0,-3.3796584691026257,0.2698412698412698,-0.10431111489216896,199,-9542.0,-1.2493382934784298,0.8319123449830891,-47.949748743718594,-12311.0,199,-748.0,-4.4849577471367486,0.25031446540880503,-0.8338722363016692,107,4637.5,1.0423127599817956,1.1716893117618747,43.3411214953271,-7202.0,107,-750.0,-0.5182819506309749,0.31563421828908556,0.1303583977512298,sizing_4state_realized_vol_ratio_15_60,0.0
