session_date,signal_index,timestamp,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,minute_of_day,weekday,bar_in_session,session_vwap,continuous_session_date,continuous_session_vwap,or_high,or_low,or_width,or_midpoint,atr_25,atr_26,atr_27,atr_28,atr_29,atr_30,signal,raw_signal,atr_filter_pass,direction_filter_pass,filter_pass,filtered_out,atr_10,atr_20,vol_std_15,vol_std_60,rth_open,atr_20_open,rth_close,prev_rth_close,overnight_range_pts,trade_id,entry_time,exit_time,direction,quantity,net_pnl_usd,trade_risk_usd,fees,exit_reason,phase,weekday_name,atr_ratio_10_30,opening_range_width_pts,realized_vol_ratio_15_60,gap_abs_atr20,signal_vwap_distance_atr20,signal_extension_over_or,nominal_selected
2019-05-07,1801,2019-05-07 10:01:00-04:00,33,1,8078,7702.75,7703.75,7694.5,7694.75,339,MNQ.c.0,601,1,476,7729.015120991288,2019-05-07,7731.261067646468,7752.75,7695.25,57.5,7724.0,9.31,9.298076923076923,9.148148148148149,9.142857142857142,9.017241379310345,9.05,-1,-1,True,True,True,False,8.775,9.7875,0.0009768817423923839,0.0007378115392716817,7719.5,4.675,7663.5,7808.75,101.5,2,2019-05-07 10:02:00-04:00,2019-05-07 16:00:00-04:00,short,6,345.0,732.0,15.0,time_exit,is,tuesday,0.9696132596685082,57.5,1.3240261101862087,19.09090909090909,3.7303772818869265,0.008695652173913044,True
2019-05-09,4331,2019-05-09 10:04:00-04:00,33,1,8078,7504.75,7508.5,7500.0,7501.25,408,MNQ.c.0,604,3,561,7541.615859455184,2019-05-09,7551.037078573826,7565.75,7501.75,64.0,7533.75,9.69,9.567307692307692,9.87037037037037,9.8125,9.767241379310345,9.775,-1,-1,True,True,True,False,9.675,9.5375,0.0010211056456433225,0.0007417254040522435,7550.5,4.2375,7592.5,7635.25,108.75,4,2019-05-09 10:05:00-04:00,2019-05-09 12:30:00-04:00,short,5,-680.0,680.0,12.5,stop,is,thursday,0.989769820971867,64.0,1.376662630219688,20.0,5.220139300007965,0.0078125,True
2019-05-13,6927,2019-05-13 10:01:00-04:00,33,1,8078,7383.25,7383.75,7368.25,7373.0,1090,MNQ.c.0,601,0,563,7431.5878780376615,2019-05-13,7442.858194839237,7444.75,7375.25,69.5,7410.0,10.89,10.903846153846153,10.87962962962963,11.008928571428571,11.043103448275861,11.2,-1,-1,True,True,True,False,10.525,10.6875,0.000976554563467841,0.0008388124792581839,7405.0,5.1125,7336.75,7600.5,197.5,6,2019-05-13 10:02:00-04:00,2019-05-13 16:00:00-04:00,short,5,345.0,740.0,12.5,time_exit,is,monday,0.9397321428571429,69.5,1.1642108190038747,38.23960880195599,6.536439283203425,0.03237410071942446,True
2019-05-20,13585,2019-05-20 10:25:00-04:00,33,1,8078,7410.5,7420.25,7408.75,7418.25,1005,MNQ.c.0,625,0,605,7408.158356341692,2019-05-20,7418.194133704282,7416.75,7361.5,55.25,7389.125,8.99,9.096153846153847,9.11111111111111,9.008928571428571,8.982758620689655,8.958333333333334,1,1,True,True,True,False,8.05,8.7875,0.0005097016878725784,0.0007870509828600761,7410.5,3.9125,7392.25,7509.25,180.75,11,2019-05-20 10:26:00-04:00,2019-05-20 16:00:00-04:00,long,6,-333.0,708.0,15.0,time_exit,is,monday,0.8986046511627908,55.25,0.6476094928696563,25.23961661341853,0.006357473196957101,0.027149321266968326,True
2019-06-03,26618,2019-06-03 10:01:00-04:00,33,1,8078,7062.0,7063.0,7042.75,7042.75,1471,MNQ.c.0,601,0,599,7093.4556267569005,2019-06-03,7092.4810507995735,7132.5,7052.0,80.5,7092.25,10.31,10.028846153846153,9.953703703703704,9.830357142857142,9.836206896551724,9.766666666666667,-1,-1,True,True,True,False,11.375,10.825,0.0013211661709777564,0.0007951799555445762,7115.25,2.5625,6981.0,7137.5,50.0,21,2019-06-03 10:02:00-04:00,2019-06-03 16:00:00-04:00,short,4,478.0,738.0,10.0,time_exit,is,monday,1.1646757679180886,80.5,1.661468151662551,8.682926829268293,4.594092452616489,0.11490683229813664,True
2019-06-18,40718,2019-06-18 10:03:00-04:00,33,1,8078,7682.5,7682.5,7677.75,7682.0,46,MNQ.c.0,603,1,437,7620.838686119671,2019-06-18,7614.626534717908,7681.5,7598.0,83.5,7639.75,10.49,10.23076923076923,10.11111111111111,9.982142857142858,9.870689655172415,10.033333333333333,1,1,True,True,True,False,7.575,8.5625,0.0004771880605602789,0.0006932933830959307,7616.0,2.725,7638.5,7530.25,107.0,32,2019-06-18 10:04:00-04:00,2019-06-18 16:00:00-04:00,long,4,-360.0,688.0,10.0,time_exit,is,tuesday,0.7549833887043189,83.5,0.6882916701575537,31.46788990825688,7.868433901558212,0.005988023952095809,True
2019-08-02,82183,2019-08-02 10:04:00-04:00,33,1,8084,7719.75,7724.0,7713.5,7717.25,1869,MNQ.c.0,604,4,605,7754.802716834057,2019-08-02,7758.734463556736,7766.0,7719.0,47.0,7742.5,11.73,12.115384615384615,12.175925925925926,12.071428571428571,12.310344827586206,12.6,-1,-1,True,True,True,False,10.675,11.3375,0.0008244386026594012,0.0009055902928431998,7758.5,7.5625,7698.25,7814.0,80.75,64,2019-08-02 10:05:00-04:00,2019-08-02 16:00:00-04:00,short,7,238.0,717.5,17.5,time_exit,is,friday,0.8472222222222223,47.0,0.9103880741377935,7.338842975206612,3.6590486047837745,0.03723404255319149,True
2019-08-06,84910,2019-08-06 10:03:00-04:00,33,1,8084,7527.0,7533.25,7526.5,7530.25,1690,MNQ.c.0,603,1,604,7472.392190180986,2019-08-06,7418.336751122786,7528.5,7485.75,42.75,7507.125,9.73,9.701923076923077,9.935185185185185,9.9375,10.068965517241379,9.95,1,1,True,True,True,False,8.725,9.825,0.0006301897401354246,0.0007120503098793156,7491.0,4.6125,7528.75,7425.25,271.0,66,2019-08-06 10:04:00-04:00,2019-08-06 10:14:00-04:00,long,8,-748.0,748.0,20.0,stop,is,tuesday,0.8768844221105528,42.75,0.8850354130766892,14.254742547425474,11.390661463329653,0.04093567251461988,True
2019-08-07,86277,2019-08-07 10:10:00-04:00,33,1,8084,7459.0,7466.5,7457.5,7466.25,1599,MNQ.c.0,610,2,611,7455.392435574086,2019-08-07,7459.033719037668,7463.25,7387.75,75.5,7425.5,12.77,13.384615384615385,13.481481481481481,13.517857142857142,13.655172413793103,13.683333333333334,1,1,True,True,True,False,12.65,12.475,0.0011412914522980651,0.0011765387038978948,7446.5,9.075,7566.25,7528.75,154.0,67,2019-08-07 10:11:00-04:00,2019-08-07 16:00:00-04:00,long,4,792.0,640.0,10.0,time_exit,is,wednesday,0.9244823386114495,75.5,0.9700415706826687,9.0633608815427,0.5784593957781442,0.039735099337748346,True
2019-08-13,91731,2019-08-13 10:26:00-04:00,33,1,8084,7768.25,7776.75,7766.25,7775.75,1020,MNQ.c.0,626,1,625,7632.858269642475,2019-08-13,7629.582096514036,7774.0,7555.25,218.75,7664.625,9.78,10.096153846153847,10.166666666666666,10.276785714285714,10.525862068965518,10.616666666666667,1,1,True,True,True,False,9.7,9.6375,0.0006300988884091702,0.0016224891348277162,7566.75,3.425,7740.5,7567.0,81.25,71,2019-08-13 10:27:00-04:00,2019-08-13 16:00:00-04:00,long,1,-73.5,445.0,2.5,time_exit,is,tuesday,0.9136577708006278,218.75,0.38835322522888704,0.07299270072992702,15.166578831228476,0.008,True
