variant_name,ema_fast,ema_slow,slope_lookback,pullback_lookback,pb_min_atr,target_r,asset_count,oos_positive_assets,oos_profit_factor_gt_1_assets,oos_total_trades,oos_total_net_pnl,oos_median_profit_factor,oos_median_sharpe,oos_mean_expectancy,oos_median_win_rate,oos_worst_max_drawdown,oos_median_holding_minutes,oos_median_time_in_market_pct,oos_median_top_5_day_contribution_pct,best_asset_symbol,best_asset_oos_total_trades,best_asset_oos_net_pnl,best_asset_oos_profit_factor,best_asset_oos_sharpe,best_asset_oos_average_trade,best_asset_oos_top_5_day_contribution_pct,best_asset_oos_pnl_excluding_top_5_days,worst_asset_symbol,worst_asset_oos_net_pnl,portfolio_pass,mono_asset_pass,pass_screening,screening_score
impc_ef12_es34_sl3_pb3_pm0p3_tr2p5,12,34,3,3,0.3,2.5,4,3,3,72,416.4570312500248,1.2125915918965426,1.2815956441786298,6.107383214116993,0.4330357142857143,-603.7890625,51.25,0.10128954865796971,2.443644049543343,MNQ,20,822.4151041666701,1.9681772084530604,5.6284686582476455,41.120755208333506,1.3021689802075533,-248.5083333333314,MES,-491.0638020833312,False,False,False,0.10417693392719513
impc_ef12_es34_sl3_pb3_pm0p5_tr2p5,12,34,3,3,0.5,2.5,4,3,3,72,416.4570312500248,1.2125915918965426,1.2815956441786298,6.107383214116993,0.4330357142857143,-603.7890625,51.25,0.10128954865796971,2.443644049543343,MNQ,20,822.4151041666701,1.9681772084530604,5.6284686582476455,41.120755208333506,1.3021689802075533,-248.5083333333314,MES,-491.0638020833312,False,False,False,0.10417693392719513
impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,8,21,5,5,0.3,1.5,4,2,2,14,242.33281249999618,1.413952781468965,0.13647096315575968,17.699652777777544,0.41666666666666663,-130.04791666667006,46.25,0.021892337681811366,1.1954924610619668,MNQ,4,162.05833333332703,2.246143248482049,1.9455916115360816,40.51458333333176,1.8024759603024125,-130.04791666667006,MGC,-42.31041666666442,False,False,False,-0.32541187918018377
impc_ef8_es21_sl5_pb5_pm0p5_tr1p5,8,21,5,5,0.5,1.5,4,2,2,14,242.33281249999618,1.413952781468965,0.13647096315575968,17.699652777777544,0.41666666666666663,-130.04791666667006,46.25,0.021892337681811366,1.1954924610619668,MNQ,4,162.05833333332703,2.246143248482049,1.9455916115360816,40.51458333333176,1.8024759603024125,-130.04791666667006,MGC,-42.31041666666442,False,False,False,-0.32541187918018377
impc_ef12_es34_sl5_pb5_pm0p3_tr2p5,12,34,5,5,0.3,2.5,4,2,2,17,96.21041666667588,0.8908322629055605,-0.8986261838760363,5.211703559028414,0.3666666666666667,-220.13124999999854,42.5,0.029802069275753486,0.8518431885184636,MES,4,120.33072916666697,3.6938144930916126,3.629865537269093,30.082682291666742,1.0388036444694502,-4.66927083333303,MGC,-75.18958333333103,False,False,False,-0.33963626434794286
impc_ef12_es34_sl5_pb5_pm0p5_tr2p5,12,34,5,5,0.5,2.5,4,2,2,17,96.21041666667588,0.8908322629055605,-0.8986261838760363,5.211703559028414,0.3666666666666667,-220.13124999999854,42.5,0.029802069275753486,0.8518431885184636,MES,4,120.33072916666697,3.6938144930916126,3.629865537269093,30.082682291666742,1.0388036444694502,-4.66927083333303,MGC,-75.18958333333103,False,False,False,-0.33963626434794286
impc_ef12_es34_sl5_pb5_pm0p3_tr2p0,12,34,5,5,0.3,2.0,4,2,2,17,54.61927083334558,0.7585070875840185,-1.197064519457709,3.3404796006952697,0.3666666666666667,-220.13124999999854,42.5,0.028789923526765633,0.8494828246447916,MES,4,136.99739583333667,4.066927068151439,3.6434041521342273,34.24934895833417,1.0340829167221062,-4.66927083333303,MGC,-75.18958333333103,False,False,False,-0.5411010773688922
impc_ef12_es34_sl5_pb5_pm0p5_tr2p0,12,34,5,5,0.5,2.0,4,2,2,17,54.61927083334558,0.7585070875840185,-1.197064519457709,3.3404796006952697,0.3666666666666667,-220.13124999999854,42.5,0.028789923526765633,0.8494828246447916,MES,4,136.99739583333667,4.066927068151439,3.6434041521342273,34.24934895833417,1.0340829167221062,-4.66927083333303,MGC,-75.18958333333103,False,False,False,-0.5411010773688922
impc_ef8_es21_sl5_pb5_pm0p3_tr2p0,8,21,5,5,0.3,2.0,4,1,1,14,84.2197916666737,0.6149101130808378,-1.3696338767716605,8.359114583333943,0.41666666666666663,-130.04791666667006,48.75,0.023241865347128503,0.8324413662837385,MES,3,181.6666666666697,inf,4.727991503585115,60.555555555556566,1.0,0.0,MGC,-42.31041666666442,False,False,False,-0.7931908912807043
impc_ef8_es21_sl5_pb5_pm0p5_tr2p0,8,21,5,5,0.5,2.0,4,1,1,14,84.2197916666737,0.6149101130808378,-1.3696338767716605,8.359114583333943,0.41666666666666663,-130.04791666667006,48.75,0.023241865347128503,0.8324413662837385,MES,3,181.6666666666697,inf,4.727991503585115,60.555555555556566,1.0,0.0,MGC,-42.31041666666442,False,False,False,-0.7931908912807043
impc_ef8_es21_sl5_pb5_pm0p3_tr2p5,8,21,5,5,0.3,2.5,4,1,1,14,67.553125000004,0.6149101130808378,-1.3696338767716605,6.970225694444801,0.41666666666666663,-130.04791666667006,48.75,0.024254011096116357,0.8324413662837385,MES,3,165.0,inf,4.829293943373251,55.0,1.0,0.0,MGC,-42.31041666666442,False,False,False,-0.8072671106638244
impc_ef8_es21_sl5_pb5_pm0p5_tr2p5,8,21,5,5,0.5,2.5,4,1,1,14,67.553125000004,0.6149101130808378,-1.3696338767716605,6.970225694444801,0.41666666666666663,-130.04791666667006,48.75,0.024254011096116357,0.8324413662837385,MES,3,165.0,inf,4.829293943373251,55.0,1.0,0.0,MGC,-42.31041666666442,False,False,False,-0.8072671106638244
impc_ef12_es34_sl5_pb5_pm0p3_tr1p5,12,34,5,5,0.3,1.5,4,1,1,17,-29.63177083332903,0.7173845216980037,-1.0900324600246452,-0.9876453993053287,0.3666666666666667,-220.13124999999854,40.0,0.02631578947368421,1.2186177996231127,MES,4,100.95572916666697,3.260071124584643,3.6085535045305464,25.238932291666742,1.0462506771222917,-4.66927083333303,MGC,-75.18958333333103,False,False,False,-1.16265786895446
impc_ef12_es34_sl5_pb5_pm0p5_tr1p5,12,34,5,5,0.5,1.5,4,1,1,17,-29.63177083332903,0.7173845216980037,-1.0900324600246452,-0.9876453993053287,0.3666666666666667,-220.13124999999854,40.0,0.02631578947368421,1.2186177996231127,MES,4,100.95572916666697,3.260071124584643,3.6085535045305464,25.238932291666742,1.0462506771222917,-4.66927083333303,MGC,-75.18958333333103,False,False,False,-1.16265786895446
impc_ef12_es34_sl3_pb3_pm0p3_tr2p0,12,34,3,3,0.3,2.0,4,3,3,73,199.5656250000327,1.1283229107434776,0.7850897123820921,3.509133204742991,0.4330357142857143,-603.7890624999927,47.5,0.10329509671614935,3.985739407509665,MNQ,20,639.8427083333372,1.753246291397966,4.735814365418736,31.992135416666862,1.4389099534553473,-280.8333333333285,MES,-494.4010416666606,False,False,False,-2.0452705119270536
impc_ef12_es34_sl3_pb3_pm0p5_tr2p0,12,34,3,3,0.5,2.0,4,3,3,73,199.5656250000327,1.1283229107434776,0.7850897123820921,3.509133204742991,0.4330357142857143,-603.7890624999927,47.5,0.10329509671614935,3.985739407509665,MNQ,20,639.8427083333372,1.753246291397966,4.735814365418736,31.992135416666862,1.4389099534553473,-280.8333333333285,MES,-494.4010416666606,False,False,False,-2.0452705119270536
impc_ef12_es34_sl3_pb3_pm0p3_tr1p5,12,34,3,3,0.3,1.5,4,3,3,76,49.32187500002192,1.0911745661035135,0.6202119213471876,1.551881200397145,0.45208333333333334,-549.02734375,37.5,0.09493552256710153,4.07600540323849,MNQ,21,548.8953125000044,1.6461796831026168,4.192158929842204,26.13787202380973,1.5705246997045963,-313.1583333333256,MES,-538.0598958333303,False,False,False,-2.4949673824684884
impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,12,34,3,3,0.5,1.5,4,3,3,76,49.32187500002192,1.0911745661035135,0.6202119213471876,1.551881200397145,0.45208333333333334,-549.02734375,37.5,0.09493552256710153,4.07600540323849,MNQ,21,548.8953125000044,1.6461796831026168,4.192158929842204,26.13787202380973,1.5705246997045963,-313.1583333333256,MES,-538.0598958333303,False,False,False,-2.4949673824684884
impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,4,3,3,63,29.075781250023283,1.1692781570359108,1.0236618794414185,1.1436813061303326,0.4007936507936508,-584.7124999999942,47.5,0.08635102714050083,3.1158495216867528,MNQ,18,240.16875000000437,1.2438808193038264,1.5226841644134606,13.342708333333576,3.9540297186873157,-709.4656249999971,MES,-295.81901041666697,False,False,False,-4.039517928593492
impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,4,3,3,63,29.075781250023283,1.1692781570359108,1.0236618794414185,1.1436813061303326,0.4007936507936508,-584.7124999999942,47.5,0.08635102714050083,3.1158495216867528,MNQ,18,240.16875000000437,1.2438808193038264,1.5226841644134606,13.342708333333576,3.9540297186873157,-709.4656249999971,MES,-295.81901041666697,False,False,False,-4.039517928593492
impc_ef8_es21_sl3_pb3_pm0p3_tr2p0,8,21,3,3,0.3,2.0,4,3,3,64,-85.34895833330438,1.118403136681763,0.7320148434562627,-0.37321841931163746,0.4007936507936508,-584.7124999999942,47.5,0.08633228370070475,4.309398473783787,MNQ,18,148.1791666666686,1.1504694368872916,0.9928163366243077,8.232175925926034,5.787890504175606,-709.4656249999971,MES,-299.15624999999636,False,False,False,-7.313534146935711
impc_ef8_es21_sl3_pb3_pm0p5_tr2p0,8,21,3,3,0.5,2.0,4,3,3,64,-85.34895833330438,1.118403136681763,0.7320148434562627,-0.37321841931163746,0.4007936507936508,-584.7124999999942,47.5,0.08633228370070475,4.309398473783787,MNQ,18,148.1791666666686,1.1504694368872916,0.9928163366243077,8.232175925926034,5.787890504175606,-709.4656249999971,MES,-299.15624999999636,False,False,False,-7.313534146935711
impc_ef8_es21_sl3_pb3_pm0p3_tr1p5,8,21,3,3,0.3,1.5,4,2,2,67,-159.2682291666481,1.047973895150062,0.33977144277670246,-1.431946653492361,0.4273182957393483,-584.7124999999942,36.25,0.07999700104963263,4.439577908168644,MNQ,19,147.81458333333285,1.1500992185219197,1.008564259285942,7.779714912280676,5.799699792814756,-709.4656249999971,MES,-342.81510416666606,False,False,False,-7.928366405663806
impc_ef8_es21_sl3_pb3_pm0p5_tr1p5,8,21,3,3,0.5,1.5,4,2,2,67,-159.2682291666481,1.047973895150062,0.33977144277670246,-1.431946653492361,0.4273182957393483,-584.7124999999942,36.25,0.07999700104963263,4.439577908168644,MNQ,19,147.81458333333285,1.1500992185219197,1.008564259285942,7.779714912280676,5.799699792814756,-709.4656249999971,MES,-342.81510416666606,False,False,False,-7.928366405663806
